,Mozambique
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,1.0
3/23/20,0.0
3/24/20,2.0
3/25/20,2.0
3/26/20,2.0
3/27/20,0.0
3/28/20,1.0
3/29/20,0.0
3/30/20,0.0
3/31/20,0.0
4/1/20,2.0
4/2/20,0.0
4/3/20,0.0
4/4/20,0.0
4/5/20,0.0
4/6/20,0.0
4/7/20,0.0
4/8/20,7.0
4/9/20,0.0
4/10/20,3.0
4/11/20,0.0
4/12/20,1.0
4/13/20,0.0
4/14/20,7.0
4/15/20,1.0
4/16/20,2.0
4/17/20,3.0
4/18/20,1.0
4/19/20,4.0
4/20/20,0.0
4/21/20,0.0
4/22/20,2.0
4/23/20,5.0
4/24/20,19.0
4/25/20,5.0
4/26/20,6.0
4/27/20,0.0
4/28/20,0.0
4/29/20,0.0
4/30/20,0.0
5/1/20,3.0
5/2/20,0.0
5/3/20,1.0
5/4/20,0.0
5/5/20,1.0
5/6/20,0.0
5/7/20,0.0
5/8/20,1.0
5/9/20,5.0
5/10/20,4.0
5/11/20,12.0
5/12/20,1.0
5/13/20,0.0
5/14/20,11.0
5/15/20,4.0
5/16/20,10.0
5/17/20,8.0
5/18/20,8.0
5/19/20,1.0
5/20/20,10.0
5/21/20,6.0
5/22/20,2.0
5/23/20,4.0
5/24/20,26.0
5/25/20,15.0
5/26/20,4.0
5/27/20,14.0
5/28/20,6.0
5/29/20,1.0
5/30/20,10.0
5/31/20,10.0
6/1/20,0.0
6/2/20,53.0
6/3/20,9.0
6/4/20,36.0
6/5/20,2.0
6/6/20,55.0
6/7/20,15.0
6/8/20,9.0
6/9/20,20.0
6/10/20,19.0
6/11/20,17.0
6/12/20,20.0
6/13/20,44.0
6/14/20,30.0
6/15/20,26.0
6/16/20,29.0
6/17/20,13.0
6/18/20,11.0
6/19/20,6.0
6/20/20,20.0
6/21/20,45.0
6/22/20,4.0
6/23/20,20.0
6/24/20,5.0
6/25/20,26.0
6/26/20,28.0
6/27/20,23.0
6/28/20,20.0
6/29/20,24.0
6/30/20,6.0
7/1/20,14.0
7/2/20,15.0
7/3/20,21.0
7/4/20,30.0
7/5/20,18.0
7/6/20,25.0
7/7/20,28.0
7/8/20,31.0
7/9/20,21.0
7/10/20,19.0
7/11/20,24.0
7/12/20,22.0
7/13/20,62.0
7/14/20,49.0
7/15/20,62.0
7/16/20,53.0
7/17/20,19.0
7/18/20,33.0
7/19/20,56.0
7/20/20,16.0
7/21/20,29.0
7/22/20,21.0
7/23/20,25.0
7/24/20,8.0
7/25/20,26.0
7/26/20,53.0
7/27/20,32.0
7/28/20,19.0
7/29/20,28.0
7/30/20,60.0
7/31/20,56.0
8/1/20,43.0
8/2/20,39.0
8/3/20,27.0
8/4/20,56.0
8/5/20,50.0
8/6/20,41.0
8/7/20,93.0
8/8/20,28.0
8/9/20,28.0
8/10/20,142.0
8/11/20,70.0
8/12/20,78.0
8/13/20,79.0
8/14/20,70.0
8/15/20,83.0
8/16/20,64.0
8/17/20,59.0
8/18/20,77.0
8/19/20,54.0
8/20/20,70.0
8/21/20,80.0
8/22/20,109.0
8/23/20,91.0
8/24/20,45.0
8/25/20,68.0
8/26/20,82.0
8/27/20,61.0
8/28/20,46.0
8/29/20,63.0
8/30/20,61.0
8/31/20,95.0
9/1/20,123.0
9/2/20,78.0
9/3/20,90.0
9/4/20,58.0
9/5/20,76.0
9/6/20,103.0
9/7/20,113.0
9/8/20,90.0
9/9/20,117.0
9/10/20,68.0
9/11/20,86.0
9/12/20,122.0
9/13/20,229.0
9/14/20,213.0
9/15/20,231.0
9/16/20,281.0
9/17/20,167.0
9/18/20,103.0
9/19/20,273.0
9/20/20,234.0
9/21/20,141.0
9/22/20,202.0
9/23/20,148.0
9/24/20,137.0
9/25/20,190.0
9/26/20,168.0
9/27/20,226.0
9/28/20,305.0
9/29/20,268.0
9/30/20,172.0
10/1/20,160.0
10/2/20,91.0
10/3/20,70.0
10/4/20,147.0
10/5/20,100.0
10/6/20,102.0
10/7/20,96.0
10/8/20,145.0
10/9/20,103.0
10/10/20,102.0
10/11/20,157.0
10/12/20,87.0
10/13/20,170.0
10/14/20,134.0
10/15/20,145.0
10/16/20,75.0
10/17/20,95.0
10/18/20,159.0
10/19/20,214.0
10/20/20,110.0
10/21/20,141.0
10/22/20,228.0
10/23/20,189.0
10/24/20,147.0
10/25/20,91.0
10/26/20,175.0
10/27/20,112.0
10/28/20,142.0
10/29/20,110.0
10/30/20,252.0
10/31/20,92.0
11/1/20,119.0
11/2/20,142.0
11/3/20,72.0
11/4/20,81.0
11/5/20,108.0
11/6/20,94.0
11/7/20,92.0
11/8/20,191.0
11/9/20,55.0
11/10/20,69.0
11/11/20,99.0
11/12/20,103.0
11/13/20,133.0
11/14/20,113.0
11/15/20,108.0
11/16/20,66.0
11/17/20,52.0
11/18/20,63.0
11/19/20,94.0
11/20/20,154.0
11/21/20,104.0
11/22/20,56.0
11/23/20,72.0
11/24/20,122.0
11/25/20,71.0
11/26/20,165.0
11/27/20,39.0
11/28/20,80.0
11/29/20,27.0
11/30/20,88.0
12/1/20,69.0
12/2/20,96.0
12/3/20,52.0
12/4/20,120.0
12/5/20,95.0
12/6/20,111.0
12/7/20,82.0
12/8/20,47.0
12/9/20,67.0
12/10/20,81.0
12/11/20,159.0
12/12/20,132.0
12/13/20,142.0
12/14/20,48.0
12/15/20,40.0
12/16/20,101.0
12/17/20,113.0
12/18/20,82.0
12/19/20,139.0
12/20/20,91.0
12/21/20,127.0
12/22/20,72.0
12/23/20,0.0
12/24/20,264.0
12/25/20,77.0
12/26/20,54.0
12/27/20,103.0
12/28/20,45.0
12/29/20,62.0
12/30/20,113.0
12/31/20,157.0
1/1/21,152.0
1/2/21,174.0
1/3/21,341.0
1/4/21,154.0
1/5/21,79.0
1/6/21,125.0
1/7/21,294.0
1/8/21,521.0
1/9/21,879.0
1/10/21,578.0
1/11/21,395.0
1/12/21,662.0
1/13/21,730.0
1/14/21,543.0
1/15/21,735.0
1/16/21,858.0
1/17/21,689.0
1/18/21,895.0
1/19/21,824.0
1/20/21,1126.0
1/21/21,829.0
1/22/21,623.0
1/23/21,780.0
1/24/21,790.0
1/25/21,363.0
1/26/21,1274.0
1/27/21,871.0
1/28/21,907.0
1/29/21,1275.0
1/30/21,597.0
1/31/21,949.0
2/1/21,806.0
2/2/21,800.0
2/3/21,1173.0
2/4/21,1055.0
2/5/21,696.0
2/6/21,928.0
2/7/21,488.0
2/8/21,312.0
2/9/21,873.0
2/10/21,951.0
2/11/21,1054.0
2/12/21,798.0
2/13/21,547.0
2/14/21,1130.0
2/15/21,426.0
2/16/21,1109.0
2/17/21,829.0
2/18/21,898.0
2/19/21,677.0
2/20/21,764.0
2/21/21,675.0
2/22/21,517.0
2/23/21,435.0
2/24/21,325.0
2/25/21,677.0
2/26/21,621.0
2/27/21,554.0
2/28/21,578.0
3/1/21,257.0
3/2/21,307.0
3/3/21,481.0
3/4/21,775.0
3/5/21,359.0
3/6/21,602.0
3/7/21,389.0
3/8/21,183.0
3/9/21,179.0
3/10/21,292.0
3/11/21,471.0
3/12/21,359.0
3/13/21,292.0
3/14/21,220.0
3/15/21,0.0
3/16/21,413.0
3/17/21,268.0
3/18/21,255.0
3/19/21,347.0
3/20/21,265.0
3/21/21,148.0
3/22/21,94.0
3/23/21,190.0
3/24/21,153.0
3/25/21,113.0
3/26/21,117.0
3/27/21,132.0
3/28/21,186.0
3/29/21,0.0
3/30/21,95.0
3/31/21,287.0
4/1/21,150.0
4/2/21,194.0
4/3/21,82.0
4/4/21,114.0
4/5/21,108.0
4/6/21,65.0
4/7/21,139.0
4/8/21,35.0
4/9/21,40.0
4/10/21,72.0
4/11/21,180.0
4/12/21,34.0
4/13/21,79.0
4/14/21,56.0
4/15/21,75.0
4/16/21,65.0
4/17/21,67.0
4/18/21,69.0
4/19/21,25.0
4/20/21,81.0
4/21/21,128.0
4/22/21,86.0
4/23/21,74.0
4/24/21,46.0
4/25/21,22.0
4/26/21,50.0
4/27/21,47.0
4/28/21,42.0
4/29/21,60.0
4/30/21,53.0
5/1/21,48.0
5/2/21,19.0
5/3/21,16.0
5/4/21,31.0
5/5/21,21.0
5/6/21,56.0
5/7/21,30.0
5/8/21,28.0
5/9/21,46.0
5/10/21,71.0
5/11/21,-16.0
5/12/21,20.0
5/13/21,28.0
5/14/21,46.0
5/15/21,49.0
5/16/21,32.0
5/17/21,21.0
5/18/21,22.0
5/19/21,24.0
5/20/21,18.0
5/21/21,24.0
5/22/21,17.0
5/23/21,22.0
5/24/21,16.0
5/25/21,30.0
5/26/21,15.0
5/27/21,22.0
5/28/21,24.0
5/29/21,27.0
5/30/21,56.0
5/31/21,15.0
6/1/21,55.0
6/2/21,73.0
6/3/21,42.0
6/4/21,54.0
6/5/21,63.0
6/6/21,32.0
6/7/21,31.0
6/8/21,20.0
6/9/21,74.0
6/10/21,40.0
6/11/21,76.0
6/12/21,106.0
6/13/21,77.0
6/14/21,30.0
6/15/21,83.0
6/16/21,113.0
6/17/21,165.0
6/18/21,194.0
6/19/21,244.0
6/20/21,140.0
6/21/21,70.0
6/22/21,198.0
6/23/21,436.0
6/24/21,441.0
6/25/21,534.0
6/26/21,518.0
6/27/21,434.0
6/28/21,284.0
6/29/21,406.0
6/30/21,576.0
7/1/21,801.0
7/2/21,869.0
7/3/21,1139.0
7/4/21,938.0
