,Singapore
12/6/20,5.0
12/7/20,13.0
12/8/20,12.0
12/9/20,6.0
12/10/20,6.0
12/11/20,8.0
12/12/20,8.0
12/13/20,7.0
12/14/20,5.0
12/15/20,16.0
12/16/20,12.0
12/17/20,24.0
12/18/20,9.0
12/19/20,17.0
12/20/20,19.0
12/21/20,10.0
12/22/20,29.0
12/23/20,21.0
12/24/20,13.0
12/25/20,14.0
12/26/20,10.0
12/27/20,5.0
12/28/20,5.0
12/29/20,13.0
12/30/20,27.0
12/31/20,30.0
1/1/21,30.0
1/2/21,33.0
1/3/21,35.0
1/4/21,24.0
1/5/21,28.0
1/6/21,31.0
1/7/21,33.0
1/8/21,23.0
1/9/21,29.0
1/10/21,42.0
1/11/21,22.0
1/12/21,17.0
1/13/21,38.0
1/14/21,45.0
1/15/21,30.0
1/16/21,24.0
1/17/21,30.0
1/18/21,14.0
1/19/21,30.0
1/20/21,40.0
1/21/21,38.0
1/22/21,15.0
1/23/21,10.0
1/24/21,48.0
1/25/21,44.0
1/26/21,14.0
1/27/21,25.0
1/28/21,34.0
1/29/21,24.0
1/30/21,58.0
1/31/21,29.0
2/1/21,29.0
2/2/21,19.0
2/3/21,18.0
2/4/21,22.0
2/5/21,25.0
2/6/21,26.0
2/7/21,24.0
2/8/21,22.0
2/9/21,11.0
2/10/21,15.0
2/11/21,12.0
2/12/21,18.0
2/13/21,9.0
2/14/21,14.0
2/15/21,9.0
2/16/21,1.0
2/17/21,11.0
2/18/21,11.0
2/19/21,14.0
2/20/21,12.0
2/21/21,11.0
2/22/21,10.0
2/23/21,4.0
2/24/21,7.0
2/25/21,10.0
2/26/21,13.0
2/27/21,12.0
2/28/21,11.0
3/1/21,12.0
3/2/21,8.0
3/3/21,23.0
3/4/21,19.0
3/5/21,9.0
3/6/21,13.0
3/7/21,13.0
3/8/21,13.0
3/9/21,6.0
3/10/21,10.0
3/11/21,8.0
3/12/21,10.0
3/13/21,8.0
3/14/21,17.0
3/15/21,12.0
3/16/21,11.0
3/17/21,9.0
3/18/21,15.0
3/19/21,15.0
3/20/21,17.0
3/21/21,12.0
3/22/21,12.0
3/23/21,13.0
3/24/21,15.0
3/25/21,17.0
3/26/21,12.0
3/27/21,23.0
3/28/21,12.0
3/29/21,21.0
3/30/21,26.0
3/31/21,34.0
4/1/21,26.0
4/2/21,43.0
4/3/21,18.0
4/4/21,10.0
4/5/21,17.0
4/6/21,24.0
4/7/21,35.0
4/8/21,21.0
4/9/21,26.0
4/10/21,32.0
4/11/21,20.0
4/12/21,25.0
4/13/21,14.0
4/14/21,27.0
4/15/21,16.0
4/16/21,34.0
4/17/21,39.0
4/18/21,23.0
4/19/21,20.0
4/20/21,14.0
4/21/21,15.0
4/22/21,24.0
4/23/21,39.0
4/24/21,23.0
4/25/21,40.0
4/26/21,45.0
4/27/21,12.0
4/28/21,23.0
4/29/21,35.0
