,Peru
11/17/20,1257.0
11/18/20,1663.0
11/19/20,0.0
11/20/20,3986.0
11/21/20,4164.0
11/22/20,0.0
11/23/20,1589.0
11/24/20,887.0
11/25/20,1882.0
11/26/20,0.0
11/27/20,3908.0
11/28/20,4021.0
11/29/20,2162.0
11/30/20,0.0
12/1/20,1075.0
12/2/20,0.0
12/3/20,3470.0
12/4/20,0.0
12/5/20,3785.0
12/6/20,1828.0
12/7/20,1224.0
12/8/20,0.0
12/9/20,2709.0
12/10/20,2490.0
12/11/20,0.0
12/12/20,1832.0
12/13/20,0.0
12/14/20,4030.0
12/15/20,1157.0
12/16/20,0.0
12/17/20,3327.0
12/18/20,0.0
12/19/20,0.0
12/20/20,6442.0
12/21/20,1618.0
12/22/20,958.0
12/23/20,1678.0
12/24/20,0.0
12/25/20,3829.0
12/26/20,1564.0
12/27/20,0.0
12/28/20,2111.0
12/29/20,1251.0
12/30/20,1588.0
12/31/20,4641.0
1/1/21,0.0
1/2/21,0.0
1/3/21,2962.0
1/4/21,1376.0
1/5/21,0.0
1/6/21,2543.0
1/7/21,0.0
1/8/21,4162.0
1/9/21,0.0
1/10/21,0.0
1/11/21,9004.0
1/12/21,2166.0
1/13/21,2881.0
1/14/21,0.0
1/15/21,15792.0
1/16/21,0.0
1/17/21,4544.0
1/18/21,0.0
1/19/21,0.0
1/20/21,12647.0
1/21/21,0.0
1/22/21,9693.0
1/23/21,0.0
1/24/21,11031.0
1/25/21,0.0
1/26/21,13301.0
1/27/21,0.0
1/28/21,6731.0
1/29/21,5715.0
1/30/21,13337.0
1/31/21,5217.0
2/1/21,0.0
2/2/21,4477.0
2/3/21,15621.0
2/4/21,0.0
2/5/21,6715.0
2/6/21,7993.0
2/7/21,13653.0
2/8/21,0.0
2/9/21,10080.0
2/10/21,0.0
2/11/21,6724.0
2/12/21,8807.0
2/13/21,8439.0
2/14/21,14550.0
2/15/21,3203.0
2/16/21,0.0
2/17/21,6228.0
2/18/21,7408.0
2/19/21,9667.0
2/20/21,7719.0
2/21/21,13786.0
2/22/21,0.0
2/23/21,3448.0
2/24/21,6740.0
2/25/21,7302.0
2/26/21,15564.0
2/27/21,7500.0
2/28/21,0.0
3/1/21,5942.0
3/2/21,8492.0
3/3/21,0.0
3/4/21,6672.0
3/5/21,4878.0
3/6/21,8447.0
3/7/21,6670.0
3/8/21,6212.0
3/9/21,8847.0
3/10/21,0.0
3/11/21,7434.0
3/12/21,7114.0
3/13/21,8039.0
3/14/21,5353.0
3/15/21,4443.0
3/16/21,6568.0
3/17/21,16624.0
3/18/21,0.0
3/19/21,16047.0
3/20/21,0.0
3/21/21,14681.0
3/22/21,0.0
3/23/21,14933.0
3/24/21,0.0
3/25/21,19206.0
3/26/21,11919.0
3/27/21,8589.0
3/28/21,8909.0
3/29/21,3239.0
3/30/21,0.0
3/31/21,15686.0
4/1/21,12916.0
4/2/21,6622.0
4/3/21,5616.0
4/4/21,8406.0
4/5/21,7842.0
4/6/21,0.0
4/7/21,8384.0
4/8/21,19271.0
4/9/21,10655.0
4/10/21,11248.0
4/11/21,7927.0
4/12/21,5626.0
4/13/21,6387.0
4/14/21,8030.0
4/15/21,0.0
4/16/21,13326.0
4/17/21,16563.0
4/18/21,0.0
4/19/21,10161.0
4/20/21,11301.0
4/21/21,0.0
4/22/21,15518.0
4/23/21,11049.0
4/24/21,8495.0
4/25/21,7425.0
4/26/21,6611.0
4/27/21,0.0
4/28/21,15153.0
4/29/21,0.0
4/30/21,16106.0
5/1/21,0.0
5/2/21,11553.0
5/3/21,3129.0
5/4/21,4562.0
5/5/21,0.0
5/6/21,5768.0
5/7/21,0.0
5/8/21,20599.0
5/9/21,5234.0
5/10/21,0.0
5/11/21,3080.0
5/12/21,12269.0
5/13/21,0.0
5/14/21,13410.0
5/15/21,0.0
5/16/21,10003.0
5/17/21,0.0
5/18/21,4282.0
5/19/21,10281.0
5/20/21,0.0
5/21/21,6745.0
5/22/21,10491.0
5/23/21,4438.0
5/24/21,0.0
5/25/21,6966.0
5/26/21,4990.0
5/27/21,4809.0
5/28/21,0.0
5/29/21,5501.0
5/30/21,0.0
5/31/21,7914.0
6/1/21,0.0
6/2/21,9963.0
6/3/21,0.0
6/4/21,10734.0
6/5/21,4225.0
6/6/21,0.0
6/7/21,3179.0
6/8/21,1429.0
6/9/21,2934.0
6/10/21,7324.0
6/11/21,2799.0
6/12/21,0.0
6/13/21,5569.0
6/14/21,0.0
6/15/21,3852.0
6/16/21,0.0
6/17/21,12239.0
6/18/21,3463.0
6/19/21,0.0
6/20/21,3550.0
6/21/21,3882.0
6/22/21,0.0
6/23/21,2995.0
6/24/21,2843.0
6/25/21,6813.0
6/26/21,0.0
6/27/21,2795.0
6/28/21,2058.0
6/29/21,0.0
6/30/21,3950.0
7/1/21,5489.0
7/2/21,0.0
7/3/21,0.0
7/4/21,7559.0
7/5/21,1564.0
7/6/21,2374.0
7/7/21,2586.0
7/8/21,2549.0
7/9/21,0.0
7/10/21,4629.0
7/11/21,1962.0
7/12/21,780.0
7/13/21,2010.0
7/14/21,2316.0
7/15/21,2260.0
7/16/21,2032.0
7/17/21,1950.0
7/18/21,1629.0
7/19/21,691.0
7/20/21,1568.0
7/21/21,1798.0
7/22/21,1711.0
7/23/21,1617.0
7/24/21,1765.0
7/25/21,1490.0
7/26/21,611.0
7/27/21,1366.0
7/28/21,1502.0
7/29/21,722.0
7/30/21,0.0
7/31/21,2798.0
8/1/21,1808.0
8/2/21,1244.0
8/3/21,2207.0
8/4/21,2416.0
8/5/21,1993.0
8/6/21,1496.0
8/7/21,1571.0
8/8/21,1217.0
8/9/21,503.0
8/10/21,1186.0
8/11/21,1482.0
8/12/21,1502.0
8/13/21,1319.0
8/14/21,1497.0
8/15/21,978.0
8/16/21,0.0
8/17/21,2015.0
8/18/21,1468.0
8/19/21,1371.0
8/20/21,1396.0
8/21/21,1173.0
8/22/21,918.0
8/23/21,0.0
8/24/21,1538.0
8/25/21,1360.0
8/26/21,1118.0
8/27/21,1116.0
8/28/21,0.0
8/29/21,0.0
8/30/21,2306.0
8/31/21,0.0
9/1/21,415.0
9/2/21,2112.0
9/3/21,974.0
9/4/21,1040.0
9/5/21,902.0
9/6/21,474.0
9/7/21,943.0
9/8/21,1085.0
9/9/21,957.0
9/10/21,813.0
9/11/21,1021.0
9/12/21,759.0
9/13/21,272.0
9/14/21,936.0
9/15/21,1018.0
9/16/21,1068.0
9/17/21,0.0
9/18/21,2039.0
9/19/21,589.0
9/20/21,644.0
9/21/21,779.0
9/22/21,996.0
9/23/21,1048.0
9/24/21,899.0
9/25/21,887.0
9/26/21,773.0
9/27/21,320.0
9/28/21,865.0
9/29/21,1086.0
9/30/21,0.0
10/1/21,1978.0
10/2/21,864.0
10/3/21,792.0
10/4/21,0.0
10/5/21,1210.0
10/6/21,1034.0
10/7/21,923.0
10/8/21,876.0
10/9/21,607.0
10/10/21,634.0
10/11/21,453.0
10/12/21,679.0
10/13/21,891.0
10/14/21,1122.0
10/15/21,983.0
10/16/21,814.0
10/17/21,844.0
10/18/21,387.0
10/19/21,775.0
10/20/21,1034.0
10/21/21,0.0
10/22/21,1927.0
10/23/21,969.0
10/24/21,758.0
10/25/21,400.0
10/26/21,793.0
10/27/21,986.0
10/28/21,998.0
10/29/21,840.0
10/30/21,1032.0
10/31/21,888.0
11/1/21,393.0
11/2/21,0.0
11/3/21,1121.0
11/4/21,1114.0
11/5/21,1062.0
11/6/21,1070.0
11/7/21,994.0
11/8/21,340.0
11/9/21,0.0
11/10/21,2239.0
11/11/21,1237.0
11/12/21,1148.0
11/13/21,1034.0
11/14/21,995.0
11/15/21,830.0
11/16/21,1459.0
11/17/21,1370.0
11/18/21,1415.0
11/19/21,1537.0
11/20/21,1725.0
11/21/21,1465.0
11/22/21,773.0
11/23/21,1539.0
11/24/21,1556.0
11/25/21,1529.0
11/26/21,1434.0
11/27/21,1574.0
11/28/21,1326.0
11/29/21,895.0
11/30/21,1381.0
12/1/21,1491.0
12/2/21,1579.0
12/3/21,1606.0
12/4/21,1619.0
12/5/21,769.0
12/6/21,0.0
12/7/21,3218.0
12/8/21,0.0
12/9/21,3038.0
12/10/21,1356.0
12/11/21,1819.0
12/12/21,1527.0
12/13/21,0.0
12/14/21,945.0
12/15/21,1478.0
12/16/21,1660.0
12/17/21,1724.0
12/18/21,3559.0
12/19/21,1581.0
12/20/21,0.0
12/21/21,2395.0
12/22/21,1782.0
12/23/21,2052.0
12/24/21,1336.0
12/25/21,5922.0
12/26/21,492.0
12/27/21,2063.0
12/28/21,2112.0
12/29/21,4020.0
12/30/21,4760.0
12/31/21,4577.0
1/1/22,4346.0
1/2/22,1501.0
1/3/22,1996.0
1/4/22,5182.0
1/5/22,8687.0
1/6/22,11174.0
1/7/22,12833.0
1/8/22,16135.0
1/9/22,17128.0
1/10/22,12476.0
1/11/22,24288.0
1/12/22,27772.0
1/13/22,33360.0
1/14/22,39080.0
1/15/22,49745.0
1/16/22,43592.0
1/17/22,25700.0
1/18/22,36398.0
1/19/22,54942.0
1/20/22,56883.0
1/21/22,59470.0
1/22/22,54696.0
1/23/22,51936.0
1/24/22,30109.0
1/25/22,44496.0
1/26/22,0.0
1/27/22,99645.0
1/28/22,0.0
1/29/22,40331.0
1/30/22,63674.0
1/31/22,0.0
2/1/22,15132.0
2/2/22,46613.0
2/3/22,22542.0
2/4/22,22597.0
2/5/22,18008.0
2/6/22,14191.0
2/7/22,0.0
2/8/22,21057.0
2/9/22,13091.0
2/10/22,0.0
2/11/22,27257.0
2/12/22,10859.0
2/13/22,9927.0
2/14/22,4032.0
2/15/22,7077.0
2/16/22,0.0
2/17/22,18176.0
2/18/22,6787.0
2/19/22,9236.0
2/20/22,5021.0
2/21/22,1887.0
2/22/22,2984.0
2/23/22,3012.0
2/24/22,2183.0
2/25/22,2567.0
2/26/22,3762.0
2/27/22,3860.0
2/28/22,996.0
