,Montenegro
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,2.0
3/18/20,0.0
3/19/20,1.0
3/20/20,11.0
3/21/20,0.0
3/22/20,7.0
3/23/20,6.0
3/24/20,20.0
3/25/20,5.0
3/26/20,17.0
3/27/20,13.0
3/28/20,2.0
3/29/20,1.0
3/30/20,6.0
3/31/20,18.0
4/1/20,14.0
4/2/20,21.0
4/3/20,30.0
4/4/20,27.0
4/5/20,13.0
4/6/20,19.0
4/7/20,8.0
4/8/20,7.0
4/9/20,4.0
4/10/20,3.0
4/11/20,8.0
4/12/20,9.0
4/13/20,2.0
4/14/20,9.0
4/15/20,5.0
4/16/20,15.0
4/17/20,0.0
4/18/20,4.0
4/19/20,1.0
4/20/20,4.0
4/21/20,1.0
4/22/20,2.0
4/23/20,1.0
4/24/20,3.0
4/25/20,1.0
4/26/20,1.0
4/27/20,0.0
4/28/20,0.0
4/29/20,1.0
4/30/20,0.0
5/1/20,0.0
5/2/20,0.0
5/3/20,0.0
5/4/20,1.0
5/5/20,1.0
5/6/20,0.0
5/7/20,0.0
5/8/20,0.0
5/9/20,0.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,0.0
5/15/20,0.0
5/16/20,0.0
5/17/20,0.0
5/18/20,0.0
5/19/20,0.0
5/20/20,0.0
5/21/20,0.0
5/22/20,0.0
5/23/20,0.0
5/24/20,0.0
5/25/20,0.0
5/26/20,0.0
5/27/20,0.0
5/28/20,0.0
5/29/20,0.0
5/30/20,0.0
5/31/20,0.0
6/1/20,0.0
6/2/20,0.0
6/3/20,0.0
6/4/20,0.0
6/5/20,0.0
6/6/20,0.0
6/7/20,0.0
6/8/20,0.0
6/9/20,0.0
6/10/20,0.0
6/11/20,0.0
6/12/20,0.0
6/13/20,0.0
6/14/20,1.0
6/15/20,1.0
6/16/20,0.0
6/17/20,7.0
6/18/20,4.0
6/19/20,18.0
6/20/20,4.0
6/21/20,3.0
6/22/20,5.0
6/23/20,11.0
6/24/20,11.0
6/25/20,25.0
6/26/20,25.0
6/27/20,30.0
6/28/20,12.0
6/29/20,20.0
6/30/20,47.0
7/1/20,28.0
7/2/20,40.0
7/3/20,47.0
7/4/20,57.0
7/5/20,61.0
7/6/20,60.0
7/7/20,66.0
7/8/20,53.0
7/9/20,59.0
7/10/20,0.0
7/11/20,145.0
7/12/20,57.0
7/13/20,66.0
7/14/20,0.0
7/15/20,0.0
7/16/20,0.0
7/17/20,678.0
7/18/20,107.0
7/19/20,116.0
7/20/20,0.0
7/21/20,193.0
7/22/20,91.0
7/23/20,97.0
7/24/20,96.0
7/25/20,82.0
7/26/20,52.0
7/27/20,94.0
7/28/20,56.0
7/29/20,67.0
7/30/20,0.0
7/31/20,57.0
8/1/20,125.0
8/2/20,60.0
8/3/20,43.0
8/4/20,60.0
8/5/20,50.0
8/6/20,69.0
8/7/20,69.0
8/8/20,39.0
8/9/20,30.0
8/10/20,78.0
8/11/20,52.0
8/12/20,65.0
8/13/20,44.0
8/14/20,73.0
8/15/20,30.0
8/16/20,75.0
8/17/20,50.0
8/18/20,47.0
8/19/20,42.0
8/20/20,55.0
8/21/20,48.0
8/22/20,36.0
8/23/20,30.0
8/24/20,35.0
8/25/20,66.0
8/26/20,55.0
8/27/20,59.0
8/28/20,105.0
8/29/20,64.0
8/30/20,63.0
8/31/20,45.0
9/1/20,82.0
9/2/20,102.0
9/3/20,146.0
9/4/20,110.0
9/5/20,147.0
9/6/20,131.0
9/7/20,106.0
9/8/20,216.0
9/9/20,219.0
9/10/20,128.0
9/11/20,163.0
9/12/20,145.0
9/13/20,182.0
9/14/20,188.0
9/15/20,161.0
9/16/20,230.0
9/17/20,212.0
9/18/20,208.0
9/19/20,187.0
9/20/20,714.0
9/21/20,230.0
9/22/20,296.0
9/23/20,290.0
9/24/20,289.0
9/25/20,245.0
9/26/20,235.0
9/27/20,116.0
9/28/20,128.0
9/29/20,134.0
9/30/20,197.0
10/1/20,215.0
10/2/20,703.0
10/3/20,244.0
10/4/20,193.0
10/5/20,232.0
10/6/20,225.0
10/7/20,210.0
10/8/20,210.0
10/9/20,344.0
10/10/20,293.0
10/11/20,228.0
10/12/20,181.0
10/13/20,218.0
10/14/20,193.0
10/15/20,211.0
10/16/20,609.0
10/17/20,146.0
10/18/20,188.0
10/19/20,145.0
10/20/20,132.0
10/21/20,177.0
10/22/20,190.0
10/23/20,177.0
10/24/20,193.0
10/25/20,168.0
10/26/20,112.0
10/27/20,182.0
10/28/20,301.0
10/29/20,354.0
10/30/20,320.0
10/31/20,275.0
11/1/20,373.0
11/2/20,496.0
11/3/20,767.0
11/4/20,874.0
11/5/20,682.0
11/6/20,546.0
11/7/20,300.0
11/8/20,426.0
11/9/20,803.0
11/10/20,546.0
11/11/20,711.0
11/12/20,644.0
11/13/20,600.0
11/14/20,577.0
11/15/20,491.0
11/16/20,596.0
11/17/20,619.0
11/18/20,639.0
11/19/20,546.0
11/20/20,502.0
11/21/20,574.0
11/22/20,409.0
11/23/20,556.0
11/24/20,570.0
11/25/20,620.0
11/26/20,508.0
11/27/20,520.0
11/28/20,618.0
11/29/20,427.0
11/30/20,384.0
12/1/20,584.0
12/2/20,502.0
12/3/20,581.0
12/4/20,535.0
12/5/20,412.0
12/6/20,367.0
12/7/20,316.0
12/8/20,591.0
12/9/20,454.0
12/10/20,558.0
12/11/20,381.0
12/12/20,402.0
12/13/20,478.0
12/14/20,377.0
12/15/20,345.0
12/16/20,415.0
12/17/20,432.0
12/18/20,395.0
12/19/20,319.0
12/20/20,246.0
12/21/20,329.0
12/22/20,258.0
12/23/20,520.0
12/24/20,361.0
12/25/20,522.0
12/26/20,382.0
12/27/20,367.0
12/28/20,275.0
12/29/20,435.0
12/30/20,378.0
12/31/20,465.0
1/1/21,342.0
1/2/21,267.0
1/3/21,339.0
1/4/21,435.0
1/5/21,424.0
1/6/21,643.0
1/7/21,463.0
1/8/21,436.0
1/9/21,403.0
1/10/21,432.0
1/11/21,388.0
1/12/21,519.0
1/13/21,502.0
1/14/21,476.0
1/15/21,414.0
1/16/21,406.0
1/17/21,357.0
1/18/21,310.0
1/19/21,425.0
1/20/21,351.0
1/21/21,419.0
1/22/21,484.0
1/23/21,447.0
1/24/21,387.0
1/25/21,381.0
1/26/21,565.0
1/27/21,563.0
1/28/21,463.0
1/29/21,539.0
1/30/21,375.0
1/31/21,457.0
2/1/21,313.0
2/2/21,504.0
2/3/21,642.0
2/4/21,515.0
2/5/21,535.0
2/6/21,571.0
2/7/21,488.0
2/8/21,430.0
2/9/21,577.0
2/10/21,623.0
2/11/21,584.0
2/12/21,563.0
2/13/21,472.0
2/14/21,445.0
2/15/21,373.0
2/16/21,476.0
2/17/21,404.0
2/18/21,484.0
2/19/21,454.0
2/20/21,481.0
2/21/21,402.0
2/22/21,400.0
2/23/21,574.0
2/24/21,643.0
2/25/21,571.0
2/26/21,606.0
2/27/21,543.0
2/28/21,502.0
3/1/21,449.0
3/2/21,585.0
3/3/21,625.0
3/4/21,567.0
3/5/21,574.0
3/6/21,603.0
3/7/21,537.0
3/8/21,417.0
3/9/21,612.0
3/10/21,654.0
3/11/21,572.0
3/12/21,581.0
3/13/21,555.0
3/14/21,528.0
3/15/21,470.0
3/16/21,537.0
3/17/21,553.0
3/18/21,521.0
3/19/21,508.0
3/20/21,500.0
3/21/21,430.0
3/22/21,426.0
3/23/21,478.0
3/24/21,434.0
3/25/21,441.0
3/26/21,372.0
3/27/21,369.0
3/28/21,351.0
3/29/21,335.0
3/30/21,414.0
3/31/21,386.0
4/1/21,355.0
4/2/21,333.0
4/3/21,316.0
4/4/21,297.0
4/5/21,221.0
4/6/21,290.0
4/7/21,279.0
4/8/21,257.0
4/9/21,237.0
4/10/21,232.0
4/11/21,234.0
4/12/21,150.0
4/13/21,224.0
4/14/21,216.0
4/15/21,183.0
4/16/21,163.0
4/17/21,172.0
4/18/21,174.0
4/19/21,144.0
4/20/21,199.0
4/21/21,154.0
4/22/21,139.0
4/23/21,161.0
4/24/21,151.0
4/25/21,161.0
4/26/21,119.0
4/27/21,151.0
4/28/21,150.0
4/29/21,177.0
4/30/21,132.0
5/1/21,128.0
5/2/21,102.0
5/3/21,99.0
5/4/21,95.0
5/5/21,117.0
5/6/21,112.0
5/7/21,100.0
5/8/21,95.0
5/9/21,66.0
5/10/21,62.0
5/11/21,84.0
5/12/21,97.0
5/13/21,73.0
5/14/21,84.0
5/15/21,75.0
5/16/21,74.0
5/17/21,46.0
5/18/21,73.0
5/19/21,60.0
5/20/21,67.0
5/21/21,55.0
5/22/21,50.0
5/23/21,45.0
5/24/21,43.0
5/25/21,67.0
5/26/21,67.0
5/27/21,52.0
5/28/21,41.0
5/29/21,48.0
5/30/21,39.0
5/31/21,18.0
6/1/21,29.0
6/2/21,31.0
6/3/21,34.0
6/4/21,41.0
6/5/21,33.0
6/6/21,21.0
6/7/21,22.0
6/8/21,14.0
6/9/21,19.0
6/10/21,23.0
6/11/21,24.0
6/12/21,14.0
6/13/21,28.0
6/14/21,8.0
6/15/21,24.0
6/16/21,13.0
6/17/21,19.0
6/18/21,16.0
6/19/21,19.0
6/20/21,20.0
6/21/21,17.0
6/22/21,12.0
6/23/21,13.0
6/24/21,14.0
6/25/21,14.0
6/26/21,23.0
6/27/21,22.0
6/28/21,14.0
6/29/21,26.0
6/30/21,22.0
7/1/21,20.0
7/2/21,20.0
7/3/21,24.0
7/4/21,11.0
7/5/21,11.0
