,Thailand
1/22/20,0.0
1/23/20,0.0
1/24/20,1.0
1/25/20,1.0
1/26/20,2.0
1/27/20,0.0
1/28/20,6.0
1/29/20,0.0
1/30/20,0.0
1/31/20,5.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,6.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,7.0
2/9/20,0.0
2/10/20,0.0
2/11/20,1.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,1.0
2/16/20,0.0
2/17/20,1.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,2.0
2/26/20,3.0
2/27/20,0.0
2/28/20,1.0
2/29/20,1.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,4.0
3/6/20,1.0
3/7/20,2.0
3/8/20,0.0
3/9/20,0.0
3/10/20,3.0
3/11/20,6.0
3/12/20,11.0
3/13/20,5.0
3/14/20,7.0
3/15/20,32.0
3/16/20,33.0
3/17/20,30.0
3/18/20,35.0
3/19/20,60.0
3/20/20,50.0
3/21/20,89.0
3/22/20,188.0
3/23/20,122.0
3/24/20,106.0
3/25/20,107.0
3/26/20,111.0
3/27/20,91.0
3/28/20,109.0
3/29/20,143.0
3/30/20,136.0
3/31/20,127.0
4/1/20,120.0
4/2/20,104.0
4/3/20,103.0
4/4/20,89.0
4/5/20,102.0
4/6/20,51.0
4/7/20,38.0
4/8/20,111.0
4/9/20,54.0
4/10/20,50.0
4/11/20,45.0
4/12/20,33.0
4/13/20,28.0
4/14/20,34.0
4/15/20,30.0
4/16/20,29.0
4/17/20,28.0
4/18/20,33.0
4/19/20,32.0
4/20/20,27.0
4/21/20,19.0
4/22/20,15.0
4/23/20,13.0
4/24/20,15.0
4/25/20,53.0
4/26/20,15.0
4/27/20,9.0
4/28/20,7.0
4/29/20,9.0
4/30/20,7.0
5/1/20,6.0
5/2/20,6.0
5/3/20,3.0
5/4/20,18.0
5/5/20,1.0
5/6/20,1.0
5/7/20,3.0
5/8/20,8.0
5/9/20,4.0
5/10/20,5.0
5/11/20,6.0
5/12/20,2.0
5/13/20,0.0
5/14/20,1.0
5/15/20,7.0
5/16/20,0.0
5/17/20,3.0
5/18/20,3.0
5/19/20,2.0
5/20/20,1.0
5/21/20,3.0
5/22/20,0.0
5/23/20,3.0
5/24/20,0.0
5/25/20,2.0
5/26/20,3.0
5/27/20,9.0
5/28/20,11.0
5/29/20,11.0
5/30/20,1.0
5/31/20,4.0
6/1/20,1.0
6/2/20,1.0
6/3/20,1.0
6/4/20,17.0
6/5/20,1.0
6/6/20,2.0
6/7/20,8.0
6/8/20,7.0
6/9/20,2.0
6/10/20,4.0
6/11/20,0.0
6/12/20,4.0
6/13/20,5.0
6/14/20,1.0
6/15/20,0.0
6/16/20,0.0
6/17/20,0.0
6/18/20,6.0
6/19/20,5.0
6/20/20,1.0
6/21/20,1.0
6/22/20,3.0
6/23/20,5.0
6/24/20,1.0
6/25/20,1.0
6/26/20,4.0
6/27/20,0.0
6/28/20,0.0
6/29/20,7.0
6/30/20,2.0
7/1/20,2.0
7/2/20,6.0
7/3/20,1.0
7/4/20,5.0
7/5/20,5.0
7/6/20,5.0
7/7/20,0.0
7/8/20,2.0
7/9/20,5.0
7/10/20,0.0
7/11/20,14.0
7/12/20,1.0
7/13/20,3.0
7/14/20,7.0
7/15/20,5.0
7/16/20,4.0
7/17/20,3.0
7/18/20,7.0
7/19/20,3.0
7/20/20,1.0
7/21/20,5.0
7/22/20,-18.0
7/23/20,32.0
7/24/20,10.0
7/25/20,3.0
7/26/20,9.0
7/27/20,4.0
7/28/20,2.0
7/29/20,1.0
7/30/20,6.0
7/31/20,6.0
8/1/20,2.0
8/2/20,5.0
8/3/20,3.0
8/4/20,1.0
8/5/20,7.0
8/6/20,2.0
8/7/20,15.0
8/8/20,3.0
8/9/20,3.0
8/10/20,0.0
8/11/20,0.0
8/12/20,5.0
8/13/20,3.0
8/14/20,17.0
8/15/20,0.0
8/16/20,1.0
8/17/20,1.0
8/18/20,3.0
8/19/20,1.0
8/20/20,7.0
8/21/20,1.0
8/22/20,0.0
8/23/20,5.0
8/24/20,2.0
8/25/20,5.0
8/26/20,1.0
8/27/20,1.0
8/28/20,6.0
8/29/20,1.0
8/30/20,0.0
8/31/20,1.0
9/1/20,5.0
9/2/20,8.0
9/3/20,2.0
9/4/20,4.0
9/5/20,7.0
9/6/20,6.0
9/7/20,1.0
9/8/20,1.0
9/9/20,1.0
9/10/20,7.0
9/11/20,7.0
9/12/20,5.0
9/13/20,7.0
9/14/20,2.0
9/15/20,5.0
9/16/20,10.0
9/17/20,0.0
9/18/20,7.0
9/19/20,3.0
9/20/20,6.0
9/21/20,0.0
9/22/20,5.0
9/23/20,3.0
9/24/20,2.0
9/25/20,3.0
9/26/20,3.0
9/27/20,1.0
9/28/20,22.0
9/29/20,14.0
9/30/20,5.0
10/1/20,5.0
10/2/20,6.0
10/3/20,8.0
10/4/20,2.0
10/5/20,5.0
10/6/20,10.0
10/7/20,15.0
10/8/20,7.0
10/9/20,6.0
10/10/20,6.0
10/11/20,2.0
10/12/20,5.0
10/13/20,2.0
10/14/20,9.0
10/15/20,13.0
10/16/20,4.0
10/17/20,10.0
10/18/20,7.0
10/19/20,5.0
10/20/20,9.0
10/21/20,9.0
10/22/20,10.0
10/23/20,8.0
10/24/20,4.0
10/25/20,5.0
10/26/20,7.0
10/27/20,3.0
10/28/20,12.0
10/29/20,5.0
10/30/20,12.0
10/31/20,5.0
11/1/20,4.0
11/2/20,3.0
11/3/20,10.0
11/4/20,7.0
11/5/20,6.0
11/6/20,8.0
11/7/20,12.0
11/8/20,7.0
11/9/20,3.0
11/10/20,4.0
11/11/20,3.0
11/12/20,5.0
11/13/20,9.0
11/14/20,5.0
11/15/20,8.0
11/16/20,1.0
11/17/20,3.0
11/18/20,2.0
11/19/20,8.0
11/20/20,4.0
11/21/20,10.0
11/22/20,11.0
11/23/20,7.0
11/24/20,2.0
11/25/20,4.0
11/26/20,16.0
11/27/20,19.0
11/28/20,5.0
11/29/20,11.0
11/30/20,21.0
12/1/20,10.0
12/2/20,18.0
12/3/20,13.0
12/4/20,14.0
12/5/20,19.0
12/6/20,14.0
12/7/20,21.0
12/8/20,19.0
12/9/20,25.0
12/10/20,18.0
12/11/20,11.0
12/12/20,12.0
12/13/20,17.0
12/14/20,28.0
12/15/20,9.0
12/16/20,15.0
12/17/20,20.0
12/18/20,16.0
12/19/20,34.0
12/20/20,576.0
12/21/20,382.0
12/22/20,427.0
12/23/20,46.0
12/24/20,67.0
12/25/20,81.0
12/26/20,110.0
12/27/20,121.0
12/28/20,144.0
12/29/20,155.0
12/30/20,250.0
12/31/20,194.0
1/1/21,279.0
1/2/21,216.0
1/3/21,315.0
1/4/21,745.0
1/5/21,527.0
1/6/21,365.0
1/7/21,305.0
1/8/21,205.0
1/9/21,212.0
1/10/21,245.0
1/11/21,249.0
1/12/21,287.0
1/13/21,157.0
1/14/21,271.0
1/15/21,188.0
1/16/21,230.0
1/17/21,374.0
1/18/21,369.0
1/19/21,171.0
1/20/21,59.0
1/21/21,142.0
1/22/21,309.0
1/23/21,198.0
1/24/21,198.0
1/25/21,187.0
1/26/21,959.0
1/27/21,819.0
1/28/21,756.0
1/29/21,802.0
1/30/21,930.0
1/31/21,829.0
2/1/21,836.0
2/2/21,836.0
2/3/21,795.0
2/4/21,809.0
2/5/21,586.0
2/6/21,490.0
2/7/21,237.0
2/8/21,186.0
2/9/21,189.0
2/10/21,157.0
2/11/21,201.0
2/12/21,175.0
2/13/21,126.0
2/14/21,166.0
2/15/21,143.0
2/16/21,72.0
2/17/21,175.0
2/18/21,150.0
2/19/21,130.0
2/20/21,82.0
2/21/21,92.0
2/22/21,89.0
2/23/21,95.0
2/24/21,93.0
2/25/21,72.0
2/26/21,45.0
2/27/21,72.0
2/28/21,70.0
3/1/21,80.0
3/2/21,42.0
3/3/21,35.0
3/4/21,54.0
3/5/21,79.0
3/6/21,64.0
3/7/21,65.0
3/8/21,71.0
3/9/21,60.0
3/10/21,39.0
3/11/21,58.0
3/12/21,81.0
3/13/21,78.0
3/14/21,170.0
3/15/21,78.0
3/16/21,149.0
3/17/21,248.0
3/18/21,92.0
3/19/21,100.0
3/20/21,119.0
3/21/21,90.0
3/22/21,73.0
3/23/21,401.0
3/24/21,69.0
3/25/21,97.0
3/26/21,134.0
3/27/21,80.0
3/28/21,77.0
3/29/21,39.0
3/30/21,48.0
3/31/21,42.0
4/1/21,26.0
4/2/21,58.0
4/3/21,84.0
4/4/21,96.0
4/5/21,194.0
4/6/21,250.0
4/7/21,334.0
4/8/21,405.0
4/9/21,559.0
4/10/21,789.0
4/11/21,967.0
4/12/21,985.0
4/13/21,965.0
4/14/21,1335.0
4/15/21,1543.0
4/16/21,1585.0
4/17/21,1547.0
4/18/21,1767.0
4/19/21,1390.0
4/20/21,1443.0
4/21/21,1458.0
4/22/21,1470.0
4/23/21,2070.0
4/24/21,2839.0
4/25/21,2438.0
4/26/21,2048.0
4/27/21,2180.0
4/28/21,2011.0
4/29/21,1871.0
4/30/21,1583.0
5/1/21,1891.0
5/2/21,1940.0
5/3/21,2041.0
5/4/21,1763.0
5/5/21,2112.0
5/6/21,1911.0
5/7/21,2044.0
5/8/21,2419.0
5/9/21,2101.0
5/10/21,1630.0
5/11/21,1919.0
5/12/21,1983.0
5/13/21,4887.0
5/14/21,2256.0
5/15/21,3095.0
5/16/21,2302.0
5/17/21,9635.0
5/18/21,2473.0
5/19/21,3394.0
5/20/21,2636.0
5/21/21,3481.0
5/22/21,3052.0
5/23/21,3382.0
5/24/21,2713.0
5/25/21,3226.0
5/26/21,2455.0
5/27/21,3323.0
5/28/21,3759.0
5/29/21,4803.0
5/30/21,4528.0
5/31/21,5485.0
6/1/21,2230.0
6/2/21,3440.0
6/3/21,3886.0
6/4/21,2630.0
6/5/21,2818.0
6/6/21,2671.0
6/7/21,2419.0
6/8/21,2662.0
6/9/21,2680.0
6/10/21,2310.0
6/11/21,2290.0
6/12/21,3277.0
6/13/21,2804.0
6/14/21,3355.0
6/15/21,3000.0
6/16/21,2331.0
6/17/21,3129.0
6/18/21,3058.0
6/19/21,3667.0
6/20/21,3682.0
6/21/21,3175.0
6/22/21,4059.0
6/23/21,3174.0
6/24/21,4108.0
6/25/21,3644.0
6/26/21,4161.0
6/27/21,3995.0
