,Sri Lanka
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,1.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,1.0
3/12/20,0.0
3/13/20,4.0
3/14/20,4.0
3/15/20,8.0
3/16/20,10.0
3/17/20,16.0
3/18/20,7.0
3/19/20,9.0
3/20/20,13.0
3/21/20,4.0
3/22/20,5.0
3/23/20,15.0
3/24/20,5.0
3/25/20,0.0
3/26/20,4.0
3/27/20,0.0
3/28/20,7.0
3/29/20,4.0
3/30/20,5.0
3/31/20,21.0
4/1/20,3.0
4/2/20,5.0
4/3/20,8.0
4/4/20,7.0
4/5/20,10.0
4/6/20,2.0
4/7/20,7.0
4/8/20,4.0
4/9/20,1.0
4/10/20,0.0
4/11/20,8.0
4/12/20,12.0
4/13/20,7.0
4/14/20,16.0
4/15/20,5.0
4/16/20,0.0
4/17/20,6.0
4/18/20,10.0
4/19/20,17.0
4/20/20,33.0
4/21/20,6.0
4/22/20,20.0
4/23/20,38.0
4/24/20,52.0
4/25/20,40.0
4/26/20,63.0
4/27/20,65.0
4/28/20,31.0
4/29/20,30.0
4/30/20,14.0
5/1/20,27.0
5/2/20,15.0
5/3/20,13.0
5/4/20,33.0
5/5/20,20.0
5/6/20,26.0
5/7/20,27.0
5/8/20,11.0
5/9/20,12.0
5/10/20,16.0
5/11/20,6.0
5/12/20,20.0
5/13/20,26.0
5/14/20,10.0
5/15/20,10.0
5/16/20,25.0
5/17/20,21.0
5/18/20,11.0
5/19/20,35.0
5/20/20,1.0
5/21/20,27.0
5/22/20,13.0
5/23/20,21.0
5/24/20,52.0
5/25/20,41.0
5/26/20,137.0
5/27/20,150.0
5/28/20,61.0
5/29/20,28.0
5/30/20,62.0
5/31/20,13.0
6/1/20,10.0
6/2/20,40.0
6/3/20,66.0
6/4/20,48.0
6/5/20,4.0
6/6/20,13.0
6/7/20,21.0
6/8/20,22.0
6/9/20,2.0
6/10/20,10.0
6/11/20,8.0
6/12/20,3.0
6/13/20,4.0
6/14/20,5.0
6/15/20,16.0
6/16/20,10.0
6/17/20,9.0
6/18/20,23.0
6/19/20,3.0
6/20/20,0.0
6/21/20,0.0
6/22/20,1.0
6/23/20,40.0
6/24/20,10.0
6/25/20,9.0
6/26/20,4.0
6/27/20,19.0
6/28/20,4.0
6/29/20,2.0
6/30/20,8.0
7/1/20,7.0
7/2/20,12.0
7/3/20,3.0
7/4/20,5.0
7/5/20,2.0
7/6/20,1.0
7/7/20,4.0
7/8/20,13.0
7/9/20,60.0
7/10/20,300.0
7/11/20,57.0
7/12/20,106.0
7/13/20,29.0
7/14/20,19.0
7/15/20,6.0
7/16/20,16.0
7/17/20,10.0
7/18/20,6.0
7/19/20,21.0
7/20/20,6.0
7/21/20,0.0
7/22/20,22.0
7/23/20,1.0
7/24/20,11.0
7/25/20,6.0
7/26/20,12.0
7/27/20,23.0
7/28/20,5.0
7/29/20,0.0
7/30/20,4.0
7/31/20,1.0
8/1/20,0.0
8/2/20,8.0
8/3/20,5.0
8/4/20,6.0
8/5/20,5.0
8/6/20,0.0
8/7/20,0.0
8/8/20,2.0
8/9/20,3.0
8/10/20,27.0
8/11/20,9.0
8/12/20,1.0
8/13/20,1.0
8/14/20,4.0
8/15/20,4.0
8/16/20,3.0
8/17/20,7.0
8/18/20,2.0
8/19/20,0.0
8/20/20,16.0
8/21/20,23.0
8/22/20,6.0
8/23/20,6.0
8/24/20,6.0
8/25/20,12.0
8/26/20,13.0
8/27/20,2.0
8/28/20,3.0
8/29/20,6.0
8/30/20,17.0
8/31/20,37.0
9/1/20,43.0
9/2/20,9.0
9/3/20,10.0
9/4/20,4.0
9/5/20,6.0
9/6/20,2.0
9/7/20,0.0
9/8/20,17.0
9/9/20,7.0
9/10/20,8.0
9/11/20,14.0
9/12/20,26.0
9/13/20,39.0
9/14/20,28.0
9/15/20,9.0
9/16/20,0.0
9/17/20,5.0
9/18/20,5.0
9/19/20,2.0
9/20/20,4.0
9/21/20,12.0
9/22/20,14.0
9/23/20,11.0
9/24/20,9.0
9/25/20,12.0
9/26/20,4.0
9/27/20,11.0
9/28/20,3.0
9/29/20,11.0
9/30/20,6.0
10/1/20,2.0
10/2/20,6.0
10/3/20,7.0
10/4/20,7.0
10/5/20,111.0
10/6/20,739.0
10/7/20,207.0
10/8/20,29.0
10/9/20,35.0
10/10/20,105.0
10/11/20,124.0
10/12/20,92.0
10/13/20,194.0
10/14/20,132.0
10/15/20,74.0
10/16/20,110.0
10/17/20,121.0
10/18/20,63.0
10/19/20,87.0
10/20/20,186.0
10/21/20,167.0
10/22/20,309.0
10/23/20,866.0
10/24/20,368.0
10/25/20,351.0
10/26/20,541.0
10/27/20,457.0
10/28/20,335.0
10/29/20,586.0
10/30/20,633.0
10/31/20,239.0
11/1/20,397.0
11/2/20,275.0
11/3/20,409.0
11/4/20,443.0
11/5/20,383.0
11/6/20,400.0
11/7/20,449.0
11/8/20,510.0
11/9/20,356.0
11/10/20,430.0
11/11/20,635.0
11/12/20,373.0
11/13/20,468.0
11/14/20,392.0
11/15/20,704.0
11/16/20,387.0
11/17/20,401.0
11/18/20,327.0
11/19/20,439.0
11/20/20,439.0
11/21/20,491.0
11/22/20,400.0
11/23/20,337.0
11/24/20,459.0
11/25/20,502.0
11/26/20,559.0
11/27/20,473.0
11/28/20,487.0
11/29/20,496.0
11/30/20,503.0
12/1/20,545.0
12/2/20,878.0
12/3/20,628.0
12/4/20,521.0
12/5/20,669.0
12/6/20,649.0
12/7/20,703.0
12/8/20,798.0
12/9/20,694.0
12/10/20,541.0
12/11/20,762.0
12/12/20,760.0
12/13/20,655.0
12/14/20,688.0
12/15/20,643.0
12/16/20,616.0
12/17/20,650.0
12/18/20,662.0
12/19/20,618.0
12/20/20,594.0
12/21/20,370.0
12/22/20,428.0
12/23/20,580.0
12/24/20,592.0
12/25/20,551.0
12/26/20,598.0
12/27/20,674.0
12/28/20,549.0
12/29/20,453.0
12/30/20,646.0
12/31/20,597.0
1/1/21,557.0
1/2/21,515.0
1/3/21,403.0
1/4/21,468.0
1/5/21,484.0
1/6/21,522.0
1/7/21,532.0
1/8/21,525.0
1/9/21,535.0
1/10/21,540.0
1/11/21,569.0
1/12/21,588.0
1/13/21,692.0
1/14/21,670.0
1/15/21,695.0
1/16/21,719.0
1/17/21,749.0
1/18/21,688.0
1/19/21,669.0
1/20/21,770.0
1/21/21,887.0
1/22/21,787.0
1/23/21,724.0
1/24/21,843.0
1/25/21,737.0
1/26/21,755.0
1/27/21,772.0
1/28/21,892.0
1/29/21,859.0
1/30/21,848.0
1/31/21,864.0
2/1/21,826.0
2/2/21,715.0
2/3/21,711.0
2/4/21,706.0
2/5/21,735.0
2/6/21,726.0
2/7/21,772.0
2/8/21,887.0
2/9/21,976.0
2/10/21,963.0
2/11/21,942.0
2/12/21,940.0
2/13/21,796.0
2/14/21,802.0
2/15/21,774.0
2/16/21,756.0
2/17/21,722.0
2/18/21,514.0
2/19/21,517.0
2/20/21,543.0
2/21/21,519.0
2/22/21,518.0
2/23/21,492.0
2/24/21,458.0
2/25/21,466.0
2/26/21,497.0
2/27/21,460.0
2/28/21,204.0
3/1/21,458.0
3/2/21,318.0
3/3/21,356.0
3/4/21,384.0
3/5/21,350.0
3/6/21,190.0
3/7/21,545.0
3/8/21,344.0
3/9/21,304.0
3/10/21,342.0
3/11/21,304.0
3/12/21,297.0
3/13/21,314.0
3/14/21,307.0
3/15/21,331.0
3/16/21,154.0
3/17/21,470.0
3/18/21,162.0
3/19/21,473.0
3/20/21,158.0
3/21/21,545.0
3/22/21,314.0
3/23/21,251.0
3/24/21,253.0
3/25/21,271.0
3/26/21,272.0
3/27/21,278.0
3/28/21,249.0
3/29/21,215.0
3/30/21,139.0
3/31/21,264.0
4/1/21,211.0
4/2/21,211.0
4/3/21,167.0
4/4/21,141.0
4/5/21,159.0
4/6/21,95.0
4/7/21,220.0
4/8/21,343.0
4/9/21,311.0
4/10/21,284.0
4/11/21,283.0
4/12/21,263.0
4/13/21,226.0
4/14/21,99.0
4/15/21,230.0
4/16/21,237.0
4/17/21,168.0
4/18/21,442.0
4/19/21,309.0
4/20/21,367.0
4/21/21,578.0
4/22/21,672.0
4/23/21,796.0
4/24/21,1068.0
4/25/21,793.0
4/26/21,997.0
4/27/21,1111.0
4/28/21,1466.0
4/29/21,1531.0
4/30/21,1662.0
5/1/21,1716.0
5/2/21,1891.0
5/3/21,1923.0
5/4/21,1914.0
5/5/21,1939.0
5/6/21,1895.0
5/7/21,1914.0
5/8/21,1896.0
5/9/21,2672.0
5/10/21,2624.0
5/11/21,2568.0
5/12/21,2429.0
5/13/21,2269.0
5/14/21,2289.0
5/15/21,2386.0
5/16/21,2275.0
5/17/21,2456.0
5/18/21,2518.0
5/19/21,3623.0
5/20/21,3443.0
5/21/21,3547.0
5/22/21,2909.0
5/23/21,2959.0
5/24/21,2971.0
5/25/21,2728.0
5/26/21,2377.0
5/27/21,2584.0
5/28/21,2850.0
5/29/21,2882.0
5/30/21,2859.0
5/31/21,2912.0
6/1/21,2877.0
6/2/21,3306.0
6/3/21,3297.0
6/4/21,3410.0
6/5/21,3103.0
6/6/21,2976.0
6/7/21,2646.0
6/8/21,2682.0
6/9/21,2735.0
6/10/21,2738.0
6/11/21,2232.0
6/12/21,2911.0
6/13/21,2361.0
6/14/21,2284.0
6/15/21,2334.0
6/16/21,2436.0
6/17/21,2372.0
6/18/21,2349.0
6/19/21,2248.0
6/20/21,2028.0
6/21/21,2131.0
6/22/21,2093.0
6/23/21,2196.0
6/24/21,1941.0
6/25/21,1876.0
6/26/21,1825.0
6/27/21,1867.0
6/28/21,1890.0
