,Denmark
12/3/20,1605.0
12/4/20,1603.0
12/5/20,2115.0
12/6/20,1745.0
12/7/20,2046.0
12/8/20,2150.0
12/9/20,2558.0
12/10/20,3132.0
12/11/20,3075.0
12/12/20,3552.0
12/13/20,2642.0
12/14/20,3337.0
12/15/20,2992.0
12/16/20,3692.0
12/17/20,4034.0
12/18/20,4508.0
12/19/20,3285.0
12/20/20,2828.0
12/21/20,3198.0
12/22/20,2543.0
12/23/20,3297.0
12/24/20,2869.0
12/25/20,2992.0
12/26/20,1834.0
12/27/20,2180.0
12/28/20,2479.0
12/29/20,2621.0
12/30/20,2783.0
12/31/20,2249.0
1/1/21,2451.0
1/2/21,1611.0
1/3/21,1170.0
1/4/21,2076.0
1/5/21,1992.0
1/6/21,2216.0
1/7/21,1842.0
1/8/21,1660.0
1/9/21,1743.0
1/10/21,1246.0
1/11/21,1239.0
1/12/21,1076.0
1/13/21,1358.0
1/14/21,0.0
1/15/21,2161.0
1/16/21,879.0
1/17/21,889.0
1/18/21,807.0
1/19/21,724.0
1/20/21,886.0
1/21/21,760.0
1/22/21,773.0
1/23/21,879.0
1/24/21,754.0
1/25/21,625.0
1/26/21,652.0
1/27/21,592.0
1/28/21,668.0
1/29/21,456.0
1/30/21,431.0
1/31/21,377.0
2/1/21,488.0
2/2/21,397.0
2/3/21,425.0
2/4/21,553.0
2/5/21,438.0
2/6/21,413.0
2/7/21,435.0
2/8/21,430.0
2/9/21,366.0
2/10/21,470.0
2/11/21,478.0
2/12/21,428.0
2/13/21,274.0
2/14/21,295.0
2/15/21,437.0
2/16/21,384.0
2/17/21,414.0
2/18/21,468.0
2/19/21,552.0
2/20/21,464.0
2/21/21,496.0
2/22/21,450.0
2/23/21,529.0
2/24/21,523.0
2/25/21,603.0
2/26/21,530.0
2/27/21,520.0
2/28/21,463.0
3/1/21,497.0
3/2/21,532.0
3/3/21,574.0
3/4/21,520.0
3/5/21,614.0
3/6/21,394.0
3/7/21,513.0
3/8/21,425.0
3/9/21,527.0
3/10/21,2007.0
3/11/21,862.0
3/12/21,645.0
3/13/21,613.0
3/14/21,541.0
3/15/21,612.0
3/16/21,771.0
3/17/21,787.0
3/18/21,786.0
3/19/21,843.0
3/20/21,590.0
3/21/21,657.0
3/22/21,1272.0
3/23/21,254.0
3/24/21,-2001.0
3/25/21,814.0
3/26/21,789.0
3/27/21,416.0
3/28/21,964.0
3/29/21,679.0
3/30/21,1210.0
3/31/21,701.0
4/1/21,662.0
4/2/21,708.0
4/3/21,745.0
4/4/21,600.0
4/5/21,479.0
4/6/21,520.0
4/7/21,614.0
4/8/21,717.0
4/9/21,698.0
4/10/21,755.0
4/11/21,691.0
4/12/21,514.0
4/13/21,563.0
4/14/21,663.0
4/15/21,798.0
4/16/21,677.0
4/17/21,724.0
4/18/21,902.0
4/19/21,741.0
4/20/21,691.0
4/21/21,803.0
4/22/21,893.0
4/23/21,702.0
4/24/21,547.0
4/25/21,612.0
4/26/21,704.0
4/27/21,624.0
4/28/21,835.0
4/29/21,769.0
4/30/21,0.0
5/1/21,1491.0
5/2/21,867.0
5/3/21,761.0
5/4/21,809.0
5/5/21,0.0
5/6/21,2000.0
5/7/21,1023.0
5/8/21,677.0
5/9/21,874.0
5/10/21,932.0
5/11/21,925.0
5/12/21,1246.0
5/13/21,1355.0
5/14/21,951.0
5/15/21,1074.0
5/16/21,964.0
5/17/21,836.0
5/18/21,916.0
5/19/21,1088.0
5/20/21,1214.0
5/21/21,1351.0
5/22/21,751.0
5/23/21,835.0
5/24/21,919.0
5/25/21,794.0
5/26/21,1073.0
5/27/21,1119.0
5/28/21,997.0
5/29/21,1038.0
5/30/21,949.0
5/31/21,844.0
6/1/21,908.0
6/2/21,954.0
6/3/21,1028.0
6/4/21,927.0
6/5/21,592.0
6/6/21,853.0
6/7/21,459.0
6/8/21,377.0
6/9/21,904.0
6/10/21,475.0
6/11/21,418.0
6/12/21,437.0
6/13/21,315.0
6/14/21,237.0
6/15/21,222.0
6/16/21,353.0
6/17/21,331.0
6/18/21,203.0
6/19/21,243.0
6/20/21,189.0
6/21/21,149.0
6/22/21,155.0
6/23/21,223.0
6/24/21,173.0
6/25/21,222.0
6/26/21,195.0
6/27/21,174.0
6/28/21,151.0
6/29/21,243.0
6/30/21,340.0
7/1/21,475.0
7/2/21,326.0
7/3/21,447.0
7/4/21,392.0
7/5/21,337.0
7/6/21,542.0
7/7/21,689.0
7/8/21,658.0
7/9/21,551.0
7/10/21,520.0
7/11/21,609.0
7/12/21,848.0
7/13/21,1055.0
7/14/21,1202.0
7/15/21,1141.0
7/16/21,960.0
7/17/21,1030.0
7/18/21,641.0
7/19/21,844.0
7/20/21,820.0
7/21/21,851.0
7/22/21,805.0
7/23/21,707.0
7/24/21,749.0
7/25/21,644.0
7/26/21,772.0
7/27/21,559.0
7/28/21,1284.0
7/29/21,848.0
7/30/21,1085.0
7/31/21,739.0
8/1/21,893.0
8/2/21,785.0
8/3/21,810.0
8/4/21,927.0
8/5/21,932.0
8/6/21,865.0
8/7/21,946.0
8/8/21,821.0
8/9/21,935.0
8/10/21,1004.0
8/11/21,1162.0
8/12/21,1085.0
8/13/21,1038.0
8/14/21,917.0
8/15/21,850.0
8/16/21,959.0
8/17/21,886.0
8/18/21,1193.0
8/19/21,984.0
8/20/21,923.0
8/21/21,1024.0
8/22/21,720.0
8/23/21,774.0
8/24/21,1340.0
8/25/21,987.0
8/26/21,982.0
8/27/21,925.0
8/28/21,877.0
8/29/21,737.0
8/30/21,762.0
8/31/21,843.0
9/1/21,825.0
9/2/21,694.0
9/3/21,697.0
9/4/21,438.0
9/5/21,632.0
9/6/21,461.0
9/7/21,451.0
9/8/21,514.0
9/9/21,591.0
9/10/21,557.0
9/11/21,386.0
9/12/21,434.0
9/13/21,263.0
9/14/21,425.0
9/15/21,370.0
9/16/21,313.0
9/17/21,324.0
9/18/21,325.0
9/19/21,252.0
9/20/21,268.0
9/21/21,344.0
9/22/21,346.0
9/23/21,341.0
9/24/21,382.0
9/25/21,358.0
9/26/21,353.0
9/27/21,333.0
9/28/21,457.0
9/29/21,542.0
9/30/21,427.0
10/1/21,441.0
10/2/21,426.0
10/3/21,368.0
10/4/21,380.0
10/5/21,477.0
10/6/21,573.0
10/7/21,607.0
10/8/21,670.0
10/9/21,618.0
10/10/21,544.0
10/11/21,564.0
10/12/21,587.0
10/13/21,789.0
10/14/21,767.0
10/15/21,700.0
10/16/21,753.0
10/17/21,591.0
10/18/21,752.0
10/19/21,756.0
10/20/21,1127.0
10/21/21,1247.0
10/22/21,1270.0
10/23/21,1262.0
10/24/21,1349.0
10/25/21,1411.0
10/26/21,1253.0
10/27/21,1871.0
10/28/21,1847.0
10/29/21,1784.0
10/30/21,1671.0
10/31/21,1532.0
11/1/21,1457.0
11/2/21,1981.0
11/3/21,1978.0
11/4/21,2598.0
11/5/21,2251.0
11/6/21,2097.0
11/7/21,2416.0
11/8/21,2294.0
11/9/21,2562.0
11/10/21,3017.0
11/11/21,2132.0
11/12/21,4585.0
11/13/21,2948.0
11/14/21,3223.0
11/15/21,3670.0
11/16/21,3899.0
11/17/21,3907.0
11/18/21,4013.0
11/19/21,4070.0
11/20/21,3795.0
11/21/21,3415.0
11/22/21,3711.0
11/23/21,4199.0
11/24/21,4426.0
11/25/21,4390.0
11/26/21,4076.0
11/27/21,3744.0
11/28/21,4290.0
11/29/21,4326.0
11/30/21,4148.0
12/1/21,5120.0
12/2/21,4680.0
12/3/21,4559.0
12/4/21,4325.0
12/5/21,3026.0
12/6/21,7146.0
12/7/21,6324.0
12/8/21,6629.0
12/9/21,6985.0
12/10/21,6599.0
12/11/21,5606.0
12/12/21,5989.0
12/13/21,7799.0
12/14/21,8314.0
12/15/21,8773.0
12/16/21,9999.0
12/17/21,11194.0
12/18/21,8594.0
12/19/21,8212.0
12/20/21,10082.0
12/21/21,20578.0
12/22/21,13386.0
12/23/21,12487.0
12/24/21,11229.0
12/25/21,0.0
12/26/21,0.0
12/27/21,41035.0
12/28/21,13000.0
12/29/21,23228.0
12/30/21,21403.0
12/31/21,18695.0
1/1/22,20885.0
1/2/22,7954.0
1/3/22,8801.0
1/4/22,25073.0
1/5/22,28283.0
1/6/22,25995.0
1/7/22,18261.0
1/8/22,12588.0
1/9/22,19248.0
1/10/22,14414.0
1/11/22,22396.0
1/12/22,24343.0
1/13/22,25751.0
1/14/22,23614.0
1/15/22,25034.0
1/16/22,26169.0
1/17/22,28780.0
1/18/22,33493.0
1/19/22,38759.0
1/20/22,40626.0
1/21/22,46831.0
1/22/22,36120.0
1/23/22,42018.0
1/24/22,40348.0
1/25/22,46590.0
1/26/22,46747.0
1/27/22,51033.0
1/28/22,53655.0
1/29/22,41083.0
1/30/22,36196.0
1/31/22,29084.0
2/1/22,45366.0
2/2/22,55001.0
2/3/22,44225.0
2/4/22,40179.0
2/5/22,39190.0
2/6/22,36512.0
2/7/22,34849.0
2/8/22,49798.0
2/9/22,55120.0
2/10/22,53747.0
2/11/22,48170.0
2/12/22,44350.0
2/13/22,38323.0
2/14/22,29474.0
2/15/22,42978.0
