,Malaysia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,4.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,3.0
1/30/20,1.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,2.0
2/5/20,2.0
2/6/20,2.0
2/7/20,1.0
2/8/20,1.0
2/9/20,1.0
2/10/20,1.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,1.0
2/15/20,3.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,2.0
2/29/20,4.0
3/1/20,0.0
3/2/20,0.0
3/3/20,7.0
3/4/20,14.0
3/5/20,5.0
3/6/20,28.0
3/7/20,10.0
3/8/20,6.0
3/9/20,18.0
3/10/20,12.0
3/11/20,20.0
3/12/20,9.0
3/13/20,39.0
3/14/20,41.0
3/15/20,190.0
3/16/20,125.0
3/17/20,120.0
3/18/20,117.0
3/19/20,110.0
3/20/20,130.0
3/21/20,153.0
3/22/20,123.0
3/23/20,212.0
3/24/20,106.0
3/25/20,172.0
3/26/20,235.0
3/27/20,130.0
3/28/20,159.0
3/29/20,150.0
3/30/20,156.0
3/31/20,140.0
4/1/20,142.0
4/2/20,208.0
4/3/20,217.0
4/4/20,150.0
4/5/20,179.0
4/6/20,131.0
4/7/20,170.0
4/8/20,156.0
4/9/20,109.0
4/10/20,118.0
4/11/20,184.0
4/12/20,153.0
4/13/20,134.0
4/14/20,170.0
4/15/20,85.0
4/16/20,110.0
4/17/20,69.0
4/18/20,54.0
4/19/20,84.0
4/20/20,36.0
4/21/20,57.0
4/22/20,50.0
4/23/20,71.0
4/24/20,88.0
4/25/20,51.0
4/26/20,38.0
4/27/20,40.0
4/28/20,31.0
4/29/20,94.0
4/30/20,57.0
5/1/20,69.0
5/2/20,105.0
5/3/20,122.0
5/4/20,55.0
5/5/20,30.0
5/6/20,45.0
5/7/20,39.0
5/8/20,68.0
5/9/20,54.0
5/10/20,67.0
5/11/20,70.0
5/12/20,16.0
5/13/20,37.0
5/14/20,40.0
5/15/20,36.0
5/16/20,17.0
5/17/20,22.0
5/18/20,47.0
5/19/20,37.0
5/20/20,31.0
5/21/20,50.0
5/22/20,78.0
5/23/20,48.0
5/24/20,60.0
5/25/20,172.0
5/26/20,187.0
5/27/20,15.0
5/28/20,10.0
5/29/20,103.0
5/30/20,30.0
5/31/20,57.0
6/1/20,38.0
6/2/20,20.0
6/3/20,93.0
6/4/20,277.0
6/5/20,19.0
6/6/20,37.0
6/7/20,19.0
6/8/20,7.0
6/9/20,7.0
6/10/20,2.0
6/11/20,31.0
6/12/20,33.0
6/13/20,43.0
6/14/20,8.0
6/15/20,41.0
6/16/20,11.0
6/17/20,10.0
6/18/20,14.0
6/19/20,6.0
6/20/20,21.0
6/21/20,16.0
6/22/20,15.0
6/23/20,3.0
6/24/20,6.0
6/25/20,4.0
6/26/20,6.0
6/27/20,10.0
6/28/20,18.0
6/29/20,3.0
6/30/20,2.0
7/1/20,1.0
7/2/20,3.0
7/3/20,5.0
7/4/20,10.0
7/5/20,5.0
7/6/20,5.0
7/7/20,6.0
7/8/20,3.0
7/9/20,6.0
7/10/20,13.0
7/11/20,8.0
7/12/20,14.0
7/13/20,7.0
7/14/20,4.0
7/15/20,5.0
7/16/20,3.0
7/17/20,18.0
7/18/20,9.0
7/19/20,15.0
7/20/20,21.0
7/21/20,15.0
7/22/20,16.0
7/23/20,9.0
7/24/20,21.0
7/25/20,23.0
7/26/20,13.0
7/27/20,7.0
7/28/20,39.0
7/29/20,13.0
7/30/20,8.0
7/31/20,12.0
8/1/20,9.0
8/2/20,14.0
8/3/20,2.0
8/4/20,1.0
8/5/20,21.0
8/6/20,15.0
8/7/20,25.0
8/8/20,7.0
8/9/20,13.0
8/10/20,11.0
8/11/20,9.0
8/12/20,11.0
8/13/20,15.0
8/14/20,20.0
8/15/20,26.0
8/16/20,25.0
8/17/20,12.0
8/18/20,7.0
8/19/20,16.0
8/20/20,5.0
8/21/20,9.0
8/22/20,8.0
8/23/20,10.0
8/24/20,7.0
8/25/20,11.0
8/26/20,6.0
8/27/20,5.0
8/28/20,10.0
8/29/20,11.0
8/30/20,17.0
8/31/20,6.0
9/1/20,14.0
9/2/20,6.0
9/3/20,14.0
9/4/20,11.0
9/5/20,6.0
9/6/20,6.0
9/7/20,62.0
9/8/20,100.0
9/9/20,24.0
9/10/20,45.0
9/11/20,182.0
9/12/20,58.0
9/13/20,47.0
9/14/20,31.0
9/15/20,23.0
9/16/20,62.0
9/17/20,21.0
9/18/20,95.0
9/19/20,20.0
9/20/20,52.0
9/21/20,57.0
9/22/20,82.0
9/23/20,147.0
9/24/20,71.0
9/25/20,111.0
9/26/20,82.0
9/27/20,150.0
9/28/20,115.0
9/29/20,101.0
9/30/20,89.0
10/1/20,260.0
10/2/20,287.0
10/3/20,317.0
10/4/20,293.0
10/5/20,432.0
10/6/20,691.0
10/7/20,489.0
10/8/20,375.0
10/9/20,354.0
10/10/20,374.0
10/11/20,561.0
10/12/20,563.0
10/13/20,660.0
10/14/20,660.0
10/15/20,589.0
10/16/20,629.0
10/17/20,869.0
10/18/20,871.0
10/19/20,865.0
10/20/20,862.0
10/21/20,732.0
10/22/20,847.0
10/23/20,710.0
10/24/20,1228.0
10/25/20,823.0
10/26/20,1240.0
10/27/20,835.0
10/28/20,801.0
10/29/20,649.0
10/30/20,799.0
10/31/20,659.0
11/1/20,957.0
11/2/20,834.0
11/3/20,1054.0
11/4/20,1032.0
11/5/20,1009.0
11/6/20,1755.0
11/7/20,1168.0
11/8/20,852.0
11/9/20,972.0
11/10/20,869.0
11/11/20,822.0
11/12/20,919.0
11/13/20,1304.0
11/14/20,1114.0
11/15/20,1208.0
11/16/20,1103.0
11/17/20,1210.0
11/18/20,660.0
11/19/20,1290.0
11/20/20,958.0
11/21/20,1041.0
11/22/20,1096.0
11/23/20,1884.0
11/24/20,2188.0
11/25/20,970.0
11/26/20,935.0
11/27/20,1109.0
11/28/20,1315.0
11/29/20,1309.0
11/30/20,1212.0
12/1/20,1472.0
12/2/20,851.0
12/3/20,1075.0
12/4/20,1141.0
12/5/20,1123.0
12/6/20,1335.0
12/7/20,1600.0
12/8/20,1012.0
12/9/20,959.0
12/10/20,2234.0
12/11/20,1810.0
12/12/20,1937.0
12/13/20,1229.0
12/14/20,1371.0
12/15/20,1772.0
12/16/20,1295.0
12/17/20,1220.0
12/18/20,1683.0
12/19/20,1153.0
12/20/20,1340.0
12/21/20,2018.0
12/22/20,2062.0
12/23/20,1348.0
12/24/20,1581.0
12/25/20,1247.0
12/26/20,2335.0
12/27/20,1196.0
12/28/20,1594.0
12/29/20,1925.0
12/30/20,1870.0
12/31/20,2525.0
1/1/21,2068.0
1/2/21,2295.0
1/3/21,1704.0
1/4/21,1741.0
1/5/21,2027.0
1/6/21,2593.0
1/7/21,3027.0
1/8/21,2643.0
1/9/21,2451.0
1/10/21,2433.0
1/11/21,2232.0
1/12/21,3309.0
1/13/21,2985.0
1/14/21,3337.0
1/15/21,3211.0
1/16/21,4029.0
1/17/21,3339.0
1/18/21,3306.0
1/19/21,3631.0
1/20/21,4008.0
1/21/21,3170.0
1/22/21,3631.0
1/23/21,4275.0
1/24/21,3346.0
1/25/21,3048.0
1/26/21,3585.0
1/27/21,3680.0
1/28/21,4094.0
1/29/21,5725.0
1/30/21,5728.0
1/31/21,5298.0
2/1/21,4214.0
2/2/21,3455.0
2/3/21,4284.0
2/4/21,4571.0
2/5/21,3391.0
2/6/21,3847.0
2/7/21,3731.0
2/8/21,3100.0
2/9/21,2764.0
2/10/21,3288.0
2/11/21,3384.0
2/12/21,3318.0
2/13/21,3499.0
2/14/21,2464.0
2/15/21,2176.0
2/16/21,2720.0
2/17/21,2998.0
2/18/21,2712.0
2/19/21,2936.0
2/20/21,2461.0
2/21/21,3297.0
2/22/21,2192.0
2/23/21,2468.0
2/24/21,3545.0
2/25/21,1924.0
2/26/21,2253.0
2/27/21,2364.0
2/28/21,2437.0
3/1/21,1828.0
3/2/21,1555.0
3/3/21,1745.0
3/4/21,2063.0
3/5/21,2154.0
3/6/21,1680.0
3/7/21,1683.0
3/8/21,1529.0
3/9/21,1280.0
3/10/21,1448.0
3/11/21,1647.0
3/12/21,1575.0
3/13/21,1470.0
3/14/21,1354.0
3/15/21,1208.0
3/16/21,1063.0
3/17/21,1219.0
3/18/21,1213.0
3/19/21,1576.0
3/20/21,1671.0
3/21/21,1327.0
3/22/21,1116.0
3/23/21,1384.0
3/24/21,1268.0
3/25/21,1360.0
3/26/21,1275.0
3/27/21,1199.0
3/28/21,1302.0
3/29/21,941.0
3/30/21,1133.0
3/31/21,1482.0
4/1/21,1178.0
4/2/21,1294.0
4/3/21,1638.0
4/4/21,1349.0
4/5/21,1070.0
4/6/21,1300.0
4/7/21,1139.0
4/8/21,1285.0
4/9/21,1854.0
4/10/21,1510.0
4/11/21,1739.0
4/12/21,1317.0
4/13/21,1767.0
4/14/21,1889.0
4/15/21,2148.0
4/16/21,2551.0
4/17/21,2331.0
4/18/21,2195.0
4/19/21,2078.0
4/20/21,2341.0
4/21/21,2340.0
4/22/21,2875.0
4/23/21,2847.0
4/24/21,2717.0
4/25/21,2690.0
4/26/21,2776.0
4/27/21,2733.0
4/28/21,3142.0
4/29/21,3332.0
4/30/21,3788.0
5/1/21,2881.0
5/2/21,3418.0
5/3/21,2500.0
5/4/21,3120.0
5/5/21,3744.0
5/6/21,3551.0
5/7/21,4498.0
5/8/21,4519.0
5/9/21,3733.0
5/10/21,3807.0
5/11/21,3973.0
5/12/21,4765.0
5/13/21,4855.0
5/14/21,4113.0
5/15/21,4140.0
5/16/21,3780.0
5/17/21,4446.0
5/18/21,4865.0
5/19/21,6075.0
5/20/21,6806.0
5/21/21,6493.0
5/22/21,6320.0
5/23/21,6976.0
5/24/21,6509.0
5/25/21,7289.0
5/26/21,7478.0
5/27/21,7857.0
5/28/21,8290.0
5/29/21,9020.0
5/30/21,6999.0
5/31/21,6824.0
6/1/21,7105.0
6/2/21,7703.0
6/3/21,8209.0
6/4/21,7748.0
6/5/21,7452.0
6/6/21,6241.0
6/7/21,5271.0
6/8/21,5566.0
6/9/21,6239.0
6/10/21,5671.0
6/11/21,6849.0
6/12/21,5793.0
6/13/21,5304.0
