,Jordan
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,7.0
3/16/20,9.0
3/17/20,17.0
3/18/20,18.0
3/19/20,17.0
3/20/20,16.0
3/21/20,0.0
3/22/20,27.0
3/23/20,15.0
3/24/20,27.0
3/25/20,18.0
3/26/20,40.0
3/27/20,23.0
3/28/20,11.0
3/29/20,13.0
3/30/20,9.0
3/31/20,6.0
4/1/20,4.0
4/2/20,21.0
4/3/20,11.0
4/4/20,13.0
4/5/20,22.0
4/6/20,4.0
4/7/20,4.0
4/8/20,5.0
4/9/20,14.0
4/10/20,0.0
4/11/20,9.0
4/12/20,8.0
4/13/20,2.0
4/14/20,6.0
4/15/20,4.0
4/16/20,1.0
4/17/20,5.0
4/18/20,6.0
4/19/20,4.0
4/20/20,8.0
4/21/20,3.0
4/22/20,7.0
4/23/20,2.0
4/24/20,4.0
4/25/20,3.0
4/26/20,3.0
4/27/20,2.0
4/28/20,0.0
4/29/20,2.0
4/30/20,2.0
5/1/20,6.0
5/2/20,1.0
5/3/20,1.0
5/4/20,4.0
5/5/20,6.0
5/6/20,2.0
5/7/20,21.0
5/8/20,14.0
5/9/20,14.0
5/10/20,18.0
5/11/20,22.0
5/12/20,14.0
5/13/20,6.0
5/14/20,4.0
5/15/20,10.0
5/16/20,11.0
5/17/20,6.0
5/18/20,16.0
5/19/20,20.0
5/20/20,23.0
5/21/20,12.0
5/22/20,16.0
5/23/20,4.0
5/24/20,4.0
5/25/20,3.0
5/26/20,7.0
5/27/20,2.0
5/28/20,8.0
5/29/20,2.0
5/30/20,4.0
5/31/20,5.0
6/1/20,7.0
6/2/20,9.0
6/3/20,2.0
6/4/20,8.0
6/5/20,19.0
6/6/20,11.0
6/7/20,13.0
6/8/20,23.0
6/9/20,14.0
6/10/20,18.0
6/11/20,27.0
6/12/20,25.0
6/13/20,38.0
6/14/20,8.0
6/15/20,18.0
6/16/20,2.0
6/17/20,6.0
6/18/20,14.0
6/19/20,7.0
6/20/20,7.0
6/21/20,18.0
6/22/20,9.0
6/23/20,5.0
6/24/20,24.0
6/25/20,15.0
6/26/20,18.0
6/27/20,7.0
6/28/20,10.0
6/29/20,7.0
6/30/20,4.0
7/1/20,1.0
7/2/20,3.0
7/3/20,11.0
7/4/20,3.0
7/5/20,14.0
7/6/20,3.0
7/7/20,2.0
7/8/20,0.0
7/9/20,0.0
7/10/20,4.0
7/11/20,3.0
7/12/20,3.0
7/13/20,4.0
7/14/20,15.0
7/15/20,3.0
7/16/20,5.0
7/17/20,3.0
7/18/20,5.0
7/19/20,4.0
7/20/20,5.0
7/21/20,-110.0
7/22/20,7.0
7/23/20,11.0
7/24/20,15.0
7/25/20,8.0
7/26/20,14.0
7/27/20,8.0
7/28/20,6.0
7/29/20,5.0
7/30/20,4.0
7/31/20,2.0
8/1/20,15.0
8/2/20,5.0
8/3/20,5.0
8/4/20,6.0
8/5/20,7.0
8/6/20,1.0
8/7/20,5.0
8/8/20,9.0
8/9/20,6.0
8/10/20,16.0
8/11/20,15.0
8/12/20,20.0
8/13/20,17.0
8/14/20,9.0
8/15/20,10.0
8/16/20,39.0
8/17/20,20.0
8/18/20,40.0
8/19/20,44.0
8/20/20,16.0
8/21/20,34.0
8/22/20,44.0
8/23/20,33.0
8/24/20,30.0
8/25/20,77.0
8/26/20,40.0
8/27/20,45.0
8/28/20,68.0
8/29/20,24.0
8/30/20,73.0
8/31/20,68.0
9/1/20,63.0
9/2/20,64.0
9/3/20,72.0
9/4/20,68.0
9/5/20,52.0
9/6/20,58.0
9/7/20,67.0
9/8/20,103.0
9/9/20,78.0
9/10/20,80.0
9/11/20,206.0
9/12/20,117.0
9/13/20,252.0
9/14/20,214.0
9/15/20,149.0
9/16/20,175.0
9/17/20,279.0
9/18/20,213.0
9/19/20,196.0
9/20/20,239.0
9/21/20,266.0
9/22/20,634.0
9/23/20,363.0
9/24/20,549.0
9/25/20,620.0
9/26/20,850.0
9/27/20,431.0
9/28/20,734.0
9/29/20,823.0
9/30/20,1776.0
10/1/20,1276.0
10/2/20,549.0
10/3/20,1099.0
10/4/20,891.0
10/5/20,1824.0
10/6/20,1537.0
10/7/20,1199.0
10/8/20,1317.0
10/9/20,1246.0
10/10/20,1235.0
10/11/20,928.0
10/12/20,1147.0
10/13/20,2054.0
10/14/20,2423.0
10/15/20,2459.0
10/16/20,1539.0
10/17/20,1505.0
10/18/20,1520.0
10/19/20,1364.0
10/20/20,2035.0
10/21/20,2648.0
10/22/20,2821.0
10/23/20,2489.0
10/24/20,1820.0
10/25/20,2337.0
10/26/20,1968.0
10/27/20,3800.0
10/28/20,3087.0
10/29/20,3443.0
10/30/20,3921.0
10/31/20,3301.0
11/1/20,3259.0
11/2/20,5877.0
11/3/20,4833.0
11/4/20,4658.0
11/5/20,4630.0
11/6/20,5384.0
11/7/20,3554.0
11/8/20,4519.0
11/9/20,5665.0
11/10/20,5996.0
11/11/20,5419.0
11/12/20,5685.0
11/13/20,4469.0
11/14/20,4750.0
11/15/20,2373.0
11/16/20,5861.0
11/17/20,6454.0
11/18/20,7933.0
11/19/20,5469.0
11/20/20,4940.0
11/21/20,3826.0
11/22/20,5268.0
11/23/20,4981.0
11/24/20,4586.0
11/25/20,5025.0
11/26/20,5000.0
11/27/20,4580.0
11/28/20,3108.0
11/29/20,3598.0
11/30/20,5123.0
12/1/20,4187.0
12/2/20,3591.0
12/3/20,4029.0
12/4/20,3116.0
12/5/20,3160.0
12/6/20,2576.0
12/7/20,3980.0
12/8/20,3062.0
12/9/20,3088.0
12/10/20,2902.0
12/11/20,2338.0
12/12/20,1816.0
12/13/20,2339.0
12/14/20,2863.0
12/15/20,2547.0
12/16/20,2561.0
12/17/20,2221.0
12/18/20,1708.0
12/19/20,1283.0
12/20/20,2152.0
12/21/20,2499.0
12/22/20,2444.0
12/23/20,2091.0
12/24/20,1707.0
12/25/20,1616.0
12/26/20,1050.0
12/27/20,1590.0
12/28/20,1802.0
12/29/20,1645.0
12/30/20,1674.0
12/31/20,1427.0
1/1/21,1271.0
1/2/21,903.0
1/3/21,1540.0
1/4/21,1623.0
1/5/21,1472.0
1/6/21,1553.0
1/7/21,1215.0
1/8/21,1092.0
1/9/21,796.0
1/10/21,1250.0
1/11/21,1461.0
1/12/21,1176.0
1/13/21,1122.0
1/14/21,1075.0
1/15/21,808.0
1/16/21,706.0
1/17/21,957.0
1/18/21,1030.0
1/19/21,883.0
1/20/21,978.0
1/21/21,776.0
1/22/21,730.0
1/23/21,608.0
1/24/21,934.0
1/25/21,845.0
1/26/21,943.0
1/27/21,870.0
1/28/21,1058.0
1/29/21,864.0
1/30/21,641.0
1/31/21,1181.0
2/1/21,1207.0
2/2/21,1132.0
2/3/21,1280.0
2/4/21,1294.0
2/5/21,1222.0
2/6/21,865.0
2/7/21,1299.0
2/8/21,1685.0
2/9/21,1483.0
2/10/21,1855.0
2/11/21,1807.0
2/12/21,1579.0
2/13/21,1240.0
2/14/21,2447.0
2/15/21,2312.0
2/16/21,2657.0
2/17/21,2887.0
2/18/21,1638.0
2/19/21,867.0
2/20/21,2200.0
2/21/21,3917.0
2/22/21,4550.0
2/23/21,4139.0
2/24/21,4024.0
2/25/21,3827.0
2/26/21,3644.0
2/27/21,2584.0
2/28/21,4594.0
3/1/21,6068.0
3/2/21,5124.0
3/3/21,5335.0
3/4/21,5733.0
3/5/21,4584.0
3/6/21,3481.0
3/7/21,6302.0
3/8/21,7413.0
3/9/21,7072.0
3/10/21,6649.0
3/11/21,8300.0
3/12/21,7705.0
3/13/21,4144.0
3/14/21,8053.0
3/15/21,9417.0
3/16/21,8910.0
3/17/21,9535.0
3/18/21,9192.0
3/19/21,7354.0
3/20/21,5205.0
3/21/21,8789.0
3/22/21,9269.0
3/23/21,9003.0
3/24/21,9130.0
3/25/21,8433.0
3/26/21,6444.0
3/27/21,4399.0
3/28/21,7183.0
3/29/21,7940.0
3/30/21,7751.0
3/31/21,6570.0
4/1/21,6482.0
4/2/21,4774.0
4/3/21,4042.0
4/4/21,6032.0
4/5/21,6537.0
4/6/21,6005.0
4/7/21,5232.0
4/8/21,4775.0
4/9/21,3794.0
4/10/21,3145.0
4/11/21,3340.0
4/12/21,3565.0
4/13/21,2790.0
4/14/21,4085.0
4/15/21,2963.0
4/16/21,2732.0
4/17/21,1596.0
4/18/21,2507.0
4/19/21,3509.0
4/20/21,2699.0
4/21/21,3209.0
4/22/21,2097.0
4/23/21,1677.0
4/24/21,1259.0
4/25/21,1731.0
4/26/21,2386.0
4/27/21,1815.0
4/28/21,1910.0
4/29/21,1552.0
4/30/21,1556.0
5/1/21,704.0
5/2/21,824.0
5/3/21,1272.0
5/4/21,1530.0
5/5/21,1220.0
5/6/21,1007.0
5/7/21,702.0
5/8/21,601.0
5/9/21,0.0
5/10/21,1765.0
5/11/21,855.0
5/12/21,0.0
5/13/21,901.0
5/14/21,0.0
5/15/21,0.0
5/16/21,1400.0
5/17/21,1104.0
5/18/21,1174.0
5/19/21,0.0
5/20/21,0.0
5/21/21,0.0
5/22/21,0.0
5/23/21,0.0
5/24/21,5004.0
5/25/21,0.0
5/26/21,0.0
5/27/21,2603.0
5/28/21,620.0
5/29/21,0.0
5/30/21,0.0
5/31/21,1875.0
6/1/21,750.0
6/2/21,604.0
6/3/21,633.0
6/4/21,494.0
6/5/21,304.0
6/6/21,528.0
6/7/21,655.0
6/8/21,599.0
6/9/21,598.0
6/10/21,479.0
6/11/21,343.0
6/12/21,310.0
6/13/21,500.0
6/14/21,546.0
6/15/21,500.0
