,Ireland
12/5/20,457.0
12/6/20,298.0
12/7/20,222.0
12/8/20,214.0
12/9/20,218.0
12/10/20,303.0
12/11/20,304.0
12/12/20,249.0
12/13/20,429.0
12/14/20,264.0
12/15/20,327.0
12/16/20,421.0
12/17/20,481.0
12/18/20,576.0
12/19/20,522.0
12/20/20,766.0
12/21/20,725.0
12/22/20,961.0
12/23/20,927.0
12/24/20,918.0
12/25/20,1025.0
12/26/20,1296.0
12/27/20,735.0
12/28/20,765.0
12/29/20,1545.0
12/30/20,1718.0
12/31/20,1622.0
1/1/21,1753.0
1/2/21,3394.0
1/3/21,4961.0
1/4/21,6110.0
1/5/21,5325.0
1/6/21,7832.0
1/7/21,6503.0
1/8/21,8227.0
1/9/21,4843.0
1/10/21,6886.0
1/11/21,4926.0
1/12/21,3052.0
1/13/21,3553.0
1/14/21,3913.0
1/15/21,3491.0
1/16/21,3232.0
1/17/21,2946.0
1/18/21,2117.0
1/19/21,1996.0
1/20/21,2485.0
1/21/21,2598.0
1/22/21,2357.0
1/23/21,1905.0
1/24/21,1370.0
1/25/21,1369.0
1/26/21,928.0
1/27/21,1331.0
1/28/21,1463.0
1/29/21,1247.0
1/30/21,1411.0
1/31/21,1244.0
2/1/21,1006.0
2/2/21,871.0
2/3/21,1006.0
2/4/21,1314.0
2/5/21,1019.0
2/6/21,785.0
2/7/21,1020.0
2/8/21,829.0
2/9/21,543.0
2/10/21,999.0
2/11/21,862.0
2/12/21,919.0
2/13/21,1076.0
2/14/21,786.0
2/15/21,820.0
2/16/21,711.0
2/17/21,638.0
2/18/21,896.0
2/19/21,753.0
2/20/21,978.0
2/21/21,679.0
2/22/21,686.0
2/23/21,557.0
2/24/21,540.0
2/25/21,638.0
2/26/21,773.0
2/27/21,729.0
2/28/21,612.0
3/1/21,681.0
3/2/21,357.0
3/3/21,559.0
3/4/21,460.0
3/5/21,520.0
3/6/21,530.0
3/7/21,520.0
3/8/21,432.0
3/9/21,306.0
3/10/21,631.0
3/11/21,591.0
3/12/21,641.0
3/13/21,538.0
3/14/21,383.0
3/15/21,575.0
3/16/21,347.0
3/17/21,552.0
3/18/21,581.0
3/19/21,510.0
3/20/21,525.0
3/21/21,768.0
3/22/21,520.0
3/23/21,365.0
3/24/21,680.0
3/25/21,594.0
3/26/21,569.0
3/27/21,610.0
3/28/21,604.0
3/29/21,537.0
3/30/21,366.0
3/31/21,410.0
4/1/21,746.0
4/2/21,587.0
4/3/21,508.0
4/4/21,453.0
4/5/21,318.0
4/6/21,441.0
4/7/21,418.0
4/8/21,398.0
4/9/21,469.0
4/10/21,451.0
4/11/21,302.0
4/12/21,385.0
4/13/21,354.0
4/14/21,421.0
4/15/21,297.0
4/16/21,417.0
4/17/21,419.0
4/18/21,270.0
4/19/21,403.0
4/20/21,386.0
4/21/21,398.0
4/22/21,615.0
4/23/21,433.0
4/24/21,461.0
4/25/21,429.0
4/26/21,436.0
4/27/21,420.0
4/28/21,368.0
4/29/21,469.0
4/30/21,544.0
5/1/21,567.0
5/2/21,401.0
5/3/21,452.0
5/4/21,382.0
5/5/21,415.0
5/6/21,387.0
5/7/21,430.0
5/8/21,399.0
5/9/21,506.0
5/10/21,380.0
5/11/21,378.0
5/12/21,446.0
5/13/21,437.0
5/14/21,420.0
5/15/21,461.0
5/16/21,375.0
5/17/21,379.0
5/18/21,365.0
5/19/21,526.0
5/20/21,470.0
5/21/21,533.0
5/22/21,384.0
5/23/21,447.0
5/24/21,349.0
5/25/21,353.0
5/26/21,445.0
5/27/21,432.0
5/28/21,461.0
5/29/21,456.0
5/30/21,367.0
5/31/21,370.0
6/1/21,337.0
6/2/21,407.0
6/3/21,465.0
6/4/21,517.0
6/5/21,416.0
6/6/21,313.0
6/7/21,377.0
6/8/21,239.0
6/9/21,227.0
6/10/21,398.0
6/11/21,319.0
6/12/21,431.0
6/13/21,315.0
6/14/21,202.0
6/15/21,283.0
6/16/21,287.0
6/17/21,373.0
6/18/21,302.0
6/19/21,393.0
6/20/21,393.0
6/21/21,284.0
6/22/21,174.0
6/23/21,298.0
6/24/21,304.0
6/25/21,380.0
6/26/21,443.0
6/27/21,340.0
6/28/21,329.0
6/29/21,342.0
6/30/21,-23.0
7/1/21,876.0
7/2/21,512.0
7/3/21,448.0
7/4/21,562.0
7/5/21,335.0
7/6/21,397.0
7/7/21,533.0
7/8/21,533.0
7/9/21,631.0
7/10/21,581.0
7/11/21,576.0
7/12/21,572.0
7/13/21,589.0
7/14/21,737.0
7/15/21,994.0
7/16/21,1170.0
7/17/21,1377.0
7/18/21,1179.0
7/19/21,1071.0
7/20/21,1110.0
7/21/21,1260.0
7/22/21,1188.0
7/23/21,1386.0
7/24/21,1345.0
7/25/21,1126.0
7/26/21,1276.0
7/27/21,1114.0
7/28/21,1301.0
7/29/21,1361.0
7/30/21,1501.0
7/31/21,1427.0
8/1/21,1098.0
8/2/21,1352.0
8/3/21,884.0
8/4/21,1217.0
8/5/21,1492.0
8/6/21,1781.0
8/7/21,1828.0
8/8/21,1837.0
8/9/21,1411.0
8/10/21,1509.0
8/11/21,1819.0
8/12/21,1733.0
8/13/21,1978.0
8/14/21,2074.0
8/15/21,1758.0
8/16/21,1441.0
8/17/21,1496.0
8/18/21,1704.0
8/19/21,1818.0
8/20/21,2098.0
8/21/21,2125.0
8/22/21,1688.0
8/23/21,1590.0
8/24/21,1571.0
8/25/21,2051.0
8/26/21,1866.0
8/27/21,1875.0
8/28/21,1997.0
8/29/21,1706.0
8/30/21,1292.0
8/31/21,1382.0
9/1/21,1789.0
9/2/21,-1707.0
9/3/21,1407.0
9/4/21,1703.0
9/5/21,1180.0
9/6/21,1136.0
9/7/21,1465.0
9/8/21,1537.0
9/9/21,1271.0
9/10/21,1619.0
9/11/21,1466.0
9/12/21,1346.0
9/13/21,877.0
9/14/21,1176.0
9/15/21,-1176.0
9/16/21,3765.0
9/17/21,1386.0
9/18/21,1456.0
9/19/21,1224.0
9/20/21,1150.0
9/21/21,1420.0
9/22/21,1429.0
9/23/21,1354.0
9/24/21,1163.0
9/25/21,1335.0
9/26/21,1459.0
9/27/21,1044.0
9/28/21,1497.0
9/29/21,1447.0
9/30/21,1267.0
10/1/21,1057.0
10/2/21,1586.0
10/3/21,1051.0
10/4/21,893.0
10/5/21,1124.0
10/6/21,982.0
10/7/21,1206.0
10/8/21,2002.0
10/9/21,1940.0
10/10/21,1384.0
10/11/21,1357.0
10/12/21,1456.0
10/13/21,2051.0
10/14/21,1626.0
10/15/21,1907.0
10/16/21,2180.0
10/17/21,1380.0
10/18/21,1576.0
10/19/21,2397.0
10/20/21,2147.0
10/21/21,2026.0
10/22/21,2465.0
10/23/21,2427.0
10/24/21,1725.0
10/25/21,1845.0
10/26/21,2180.0
10/27/21,1624.0
10/28/21,2598.0
10/29/21,2541.0
10/30/21,2966.0
10/31/21,1963.0
11/1/21,2855.0
11/2/21,3723.0
11/3/21,3174.0
11/4/21,3024.0
11/5/21,3903.0
11/6/21,3685.0
11/7/21,3428.0
11/8/21,3161.0
11/9/21,5331.0
11/10/21,2968.0
11/11/21,3677.0
11/12/21,5478.0
11/13/21,4642.0
11/14/21,3805.0
11/15/21,4558.0
11/16/21,4407.0
11/17/21,3632.0
11/18/21,4646.0
11/19/21,3133.0
11/20/21,5959.0
11/21/21,4181.0
11/22/21,5630.0
11/23/21,3661.0
11/24/21,3891.0
11/25/21,4763.0
11/26/21,4619.0
11/27/21,4791.0
11/28/21,3735.0
11/29/21,4603.0
11/30/21,5458.0
12/1/21,3790.0
12/2/21,4159.0
12/3/21,5408.0
12/4/21,5622.0
12/5/21,5156.0
12/6/21,2911.0
12/7/21,5565.0
12/8/21,4126.0
12/9/21,4003.0
12/10/21,4097.0
12/11/21,4004.0
12/12/21,4667.0
12/13/21,4683.0
12/14/21,3871.0
12/15/21,4230.0
12/16/21,4141.0
12/17/21,3595.0
12/18/21,7333.0
12/19/21,5124.0
12/20/21,4788.0
12/21/21,5269.0
12/22/21,6307.0
12/23/21,7411.0
12/24/21,11182.0
12/25/21,13765.0
12/26/21,10404.0
12/27/21,6735.0
12/28/21,9006.0
12/29/21,16428.0
12/30/21,20554.0
12/31/21,20110.0
1/1/22,23281.0
1/2/22,0.0
1/3/22,34057.0
1/4/22,21302.0
1/5/22,17656.0
1/6/22,23817.0
1/7/22,21926.0
1/8/22,26122.0
1/9/22,21384.0
1/10/22,0.0
1/11/22,43199.0
1/12/22,20909.0
1/13/22,18904.0
1/14/22,17065.0
1/15/22,14555.0
1/16/22,10753.0
1/17/22,6329.0
1/18/22,5767.0
1/19/22,6843.0
1/20/22,5523.0
1/21/22,6597.0
1/22/22,6689.0
1/23/22,4731.0
1/24/22,3692.0
1/25/22,4006.0
1/26/22,5605.0
1/27/22,5265.0
1/28/22,5109.0
1/29/22,0.0
1/30/22,0.0
1/31/22,13363.0
2/1/22,4208.0
2/2/22,5940.0
2/3/22,6061.0
2/4/22,6697.0
2/5/22,0.0
2/6/22,0.0
2/7/22,15168.0
2/8/22,3780.0
2/9/22,5677.0
2/10/22,5649.0
2/11/22,6618.0
2/12/22,0.0
2/13/22,0.0
2/14/22,12765.0
2/15/22,-5532.0
2/16/22,5264.0
2/17/22,5026.0
2/18/22,4795.0
2/19/22,0.0
2/20/22,0.0
2/21/22,11654.0
2/22/22,3280.0
2/23/22,4121.0
2/24/22,3729.0
2/25/22,4304.0
2/26/22,0.0
2/27/22,0.0
2/28/22,8210.0
