,Lebanon
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,1.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,0.0
2/28/20,0.0
2/29/20,2.0
3/1/20,6.0
3/2/20,3.0
3/3/20,0.0
3/4/20,0.0
3/5/20,3.0
3/6/20,6.0
3/7/20,0.0
3/8/20,10.0
3/9/20,0.0
3/10/20,9.0
3/11/20,20.0
3/12/20,0.0
3/13/20,16.0
3/14/20,16.0
3/15/20,17.0
3/16/20,0.0
3/17/20,10.0
3/18/20,13.0
3/19/20,24.0
3/20/20,6.0
3/21/20,24.0
3/22/20,61.0
3/23/20,19.0
3/24/20,51.0
3/25/20,15.0
3/26/20,35.0
3/27/20,23.0
3/28/20,21.0
3/29/20,26.0
3/30/20,8.0
3/31/20,24.0
4/1/20,9.0
4/2/20,15.0
4/3/20,14.0
4/4/20,12.0
4/5/20,7.0
4/6/20,14.0
4/7/20,7.0
4/8/20,28.0
4/9/20,6.0
4/10/20,27.0
4/11/20,10.0
4/12/20,11.0
4/13/20,2.0
4/14/20,9.0
4/15/20,17.0
4/16/20,5.0
4/17/20,5.0
4/18/20,4.0
4/19/20,1.0
4/20/20,4.0
4/21/20,0.0
4/22/20,5.0
4/23/20,6.0
4/24/20,8.0
4/25/20,8.0
4/26/20,3.0
4/27/20,3.0
4/28/20,7.0
4/29/20,4.0
4/30/20,4.0
5/1/20,4.0
5/2/20,4.0
5/3/20,4.0
5/4/20,3.0
5/5/20,1.0
5/6/20,9.0
5/7/20,34.0
5/8/20,12.0
5/9/20,13.0
5/10/20,36.0
5/11/20,14.0
5/12/20,11.0
5/13/20,8.0
5/14/20,8.0
5/15/20,5.0
5/16/20,11.0
5/17/20,9.0
5/18/20,20.0
5/19/20,23.0
5/20/20,7.0
5/21/20,63.0
5/22/20,62.0
5/23/20,11.0
5/24/20,17.0
5/25/20,5.0
5/26/20,21.0
5/27/20,21.0
5/28/20,7.0
5/29/20,4.0
5/30/20,19.0
5/31/20,29.0
6/1/20,13.0
6/2/20,9.0
6/3/20,14.0
6/4/20,50.0
6/5/20,6.0
6/6/20,8.0
6/7/20,11.0
6/8/20,19.0
6/9/20,18.0
6/10/20,20.0
6/11/20,14.0
6/12/20,20.0
6/13/20,20.0
6/14/20,4.0
6/15/20,18.0
6/16/20,9.0
6/17/20,16.0
6/18/20,6.0
6/19/20,15.0
6/20/20,26.0
6/21/20,51.0
6/22/20,16.0
6/23/20,19.0
6/24/20,22.0
6/25/20,18.0
6/26/20,35.0
6/27/20,22.0
6/28/20,21.0
6/29/20,5.0
6/30/20,33.0
7/1/20,10.0
7/2/20,8.0
7/3/20,34.0
7/4/20,25.0
7/5/20,18.0
7/6/20,12.0
7/7/20,22.0
7/8/20,39.0
7/9/20,65.0
7/10/20,71.0
7/11/20,86.0
7/12/20,166.0
7/13/20,85.0
7/14/20,32.0
7/15/20,91.0
7/16/20,57.0
7/17/20,101.0
7/18/20,75.0
7/19/20,84.0
7/20/20,46.0
7/21/20,75.0
7/22/20,124.0
7/23/20,156.0
7/24/20,147.0
7/25/20,175.0
7/26/20,168.0
7/27/20,132.0
7/28/20,141.0
7/29/20,182.0
7/30/20,129.0
7/31/20,221.0
8/1/20,175.0
8/2/20,155.0
8/3/20,177.0
8/4/20,0.0
8/5/20,355.0
8/6/20,255.0
8/7/20,279.0
8/8/20,272.0
8/9/20,294.0
8/10/20,295.0
8/11/20,309.0
8/12/20,292.0
8/13/20,298.0
8/14/20,334.0
8/15/20,397.0
8/16/20,439.0
8/17/20,456.0
8/18/20,421.0
8/19/20,589.0
8/20/20,605.0
8/21/20,628.0
8/22/20,611.0
8/23/20,507.0
8/24/20,457.0
8/25/20,532.0
8/26/20,561.0
8/27/20,689.0
8/28/20,676.0
8/29/20,662.0
8/30/20,595.0
8/31/20,438.0
9/1/20,469.0
9/2/20,598.0
9/3/20,588.0
9/4/20,527.0
9/5/20,521.0
9/6/20,415.0
9/7/20,400.0
9/8/20,498.0
9/9/20,553.0
9/10/20,560.0
9/11/20,546.0
9/12/20,686.0
9/13/20,641.0
9/14/20,1091.0
9/15/20,48.0
9/16/20,634.0
9/17/20,685.0
9/18/20,750.0
9/19/20,779.0
9/20/20,1006.0
9/21/20,684.0
9/22/20,865.0
9/23/20,940.0
9/24/20,1027.0
9/25/20,1143.0
9/26/20,1280.0
9/27/20,1012.0
9/28/20,1018.0
9/29/20,1105.0
9/30/20,1257.0
10/1/20,1248.0
10/2/20,1291.0
10/3/20,1321.0
10/4/20,988.0
10/5/20,1175.0
10/6/20,1261.0
10/7/20,1459.0
10/8/20,1367.0
10/9/20,1426.0
10/10/20,1388.0
10/11/20,1010.0
10/12/20,1056.0
10/13/20,1245.0
10/14/20,1377.0
10/15/20,1499.0
10/16/20,1368.0
10/17/20,1171.0
10/18/20,1002.0
10/19/20,658.0
10/20/20,1392.0
10/21/20,1241.0
10/22/20,1450.0
10/23/20,1452.0
10/24/20,1427.0
10/25/20,1484.0
10/26/20,796.0
10/27/20,1809.0
10/28/20,1850.0
10/29/20,1933.0
10/30/20,1751.0
10/31/20,1699.0
11/1/20,1389.0
11/2/20,1080.0
11/3/20,1512.0
11/4/20,1888.0
11/5/20,2089.0
11/6/20,2142.0
11/7/20,1769.0
11/8/20,1139.0
11/9/20,1119.0
11/10/20,1552.0
11/11/20,1922.0
11/12/20,1874.0
11/13/20,1904.0
11/14/20,1660.0
11/15/20,1163.0
11/16/20,1016.0
11/17/20,1507.0
11/18/20,2084.0
11/19/20,1909.0
11/20/20,1709.0
11/21/20,1628.0
11/22/20,1193.0
11/23/20,1041.0
11/24/20,1188.0
11/25/20,1636.0
11/26/20,1859.0
11/27/20,1782.0
11/28/20,1696.0
11/29/20,1266.0
11/30/20,1000.0
12/1/20,1511.0
12/2/20,1842.0
12/3/20,1520.0
12/4/20,1478.0
12/5/20,0.0
12/6/20,2817.0
12/7/20,984.0
12/8/20,1039.0
12/9/20,1274.0
12/10/20,1778.0
12/11/20,1518.0
12/12/20,1540.0
12/13/20,1275.0
12/14/20,1093.0
12/15/20,1264.0
12/16/20,2056.0
12/17/20,2116.0
12/18/20,1895.0
12/19/20,1626.0
12/20/20,1534.0
12/21/20,1182.0
12/22/20,1693.0
12/23/20,2246.0
12/24/20,2708.0
12/25/20,2136.0
12/26/20,1403.0
12/27/20,1754.0
12/28/20,1594.0
12/29/20,2298.0
12/30/20,2878.0
12/31/20,3507.0
1/1/21,2385.0
1/2/21,2520.0
1/3/21,2870.0
1/4/21,2861.0
1/5/21,3620.0
1/6/21,4166.0
1/7/21,4774.0
1/8/21,5440.0
1/9/21,5414.0
1/10/21,3743.0
1/11/21,3095.0
1/12/21,4557.0
1/13/21,4988.0
1/14/21,5196.0
1/15/21,6154.0
1/16/21,5872.0
1/17/21,3654.0
1/18/21,3144.0
1/19/21,4359.0
1/20/21,4332.0
1/21/21,4594.0
1/22/21,3220.0
1/23/21,4126.0
1/24/21,3010.0
1/25/21,2652.0
1/26/21,3505.0
1/27/21,3906.0
1/28/21,3497.0
1/29/21,3125.0
1/30/21,2631.0
1/31/21,2139.0
2/1/21,2020.0
2/2/21,2770.0
2/3/21,3320.0
2/4/21,3107.0
2/5/21,3071.0
2/6/21,2496.0
2/7/21,2081.0
2/8/21,2063.0
2/9/21,2886.0
2/10/21,3157.0
2/11/21,3136.0
2/12/21,2934.0
2/13/21,2906.0
2/14/21,2130.0
2/15/21,1739.0
2/16/21,2733.0
2/17/21,2479.0
2/18/21,2730.0
2/19/21,2255.0
2/20/21,2306.0
2/21/21,1702.0
2/22/21,1541.0
2/23/21,2723.0
2/24/21,3513.0
2/25/21,3469.0
2/26/21,3373.0
2/27/21,3100.0
2/28/21,2258.0
3/1/21,1888.0
3/2/21,3098.0
3/3/21,3463.0
3/4/21,3369.0
3/5/21,3202.0
3/6/21,3158.0
3/7/21,2376.0
3/8/21,2283.0
3/9/21,3939.0
3/10/21,3581.0
3/11/21,3502.0
3/12/21,2930.0
3/13/21,3523.0
3/14/21,3086.0
3/15/21,1505.0
3/16/21,3480.0
3/17/21,3544.0
3/18/21,3757.0
3/19/21,3588.0
3/20/21,2253.0
3/21/21,2993.0
3/22/21,1446.0
3/23/21,3851.0
3/24/21,3856.0
3/25/21,3560.0
3/26/21,3100.0
3/27/21,2957.0
3/28/21,2724.0
3/29/21,1277.0
3/30/21,2668.0
3/31/21,3393.0
4/1/21,3562.0
4/2/21,2963.0
4/3/21,2188.0
4/4/21,2388.0
4/5/21,1001.0
4/6/21,2296.0
4/7/21,3120.0
4/8/21,3510.0
4/9/21,2500.0
4/10/21,2705.0
4/11/21,2213.0
4/12/21,1008.0
4/13/21,1985.0
4/14/21,2460.0
4/15/21,2501.0
4/16/21,2008.0
4/17/21,1695.0
4/18/21,1900.0
4/19/21,995.0
4/20/21,1608.0
4/21/21,2082.0
4/22/21,1512.0
4/23/21,1504.0
4/24/21,1511.0
4/25/21,1324.0
4/26/21,642.0
4/27/21,1182.0
4/28/21,1478.0
4/29/21,1336.0
4/30/21,1001.0
5/1/21,930.0
5/2/21,700.0
5/3/21,249.0
5/4/21,748.0
5/5/21,1012.0
5/6/21,1017.0
5/7/21,600.0
5/8/21,435.0
5/9/21,570.0
5/10/21,302.0
5/11/21,544.0
5/12/21,703.0
5/13/21,580.0
5/14/21,0.0
5/15/21,478.0
5/16/21,307.0
5/17/21,201.0
5/18/21,600.0
5/19/21,489.0
5/20/21,394.0
5/21/21,450.0
5/22/21,331.0
5/23/21,300.0
5/24/21,150.0
5/25/21,323.0
5/26/21,280.0
5/27/21,319.0
5/28/21,298.0
5/29/21,244.0
5/30/21,145.0
5/31/21,111.0
6/1/21,242.0
6/2/21,214.0
6/3/21,165.0
6/4/21,223.0
6/5/21,191.0
6/6/21,134.0
6/7/21,71.0
6/8/21,173.0
6/9/21,139.0
6/10/21,0.0
6/11/21,435.0
6/12/21,0.0
6/13/21,0.0
