,Kosovo
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,2.0
3/15/20,3.0
3/16/20,8.0
3/17/20,3.0
3/18/20,3.0
3/19/20,1.0
3/20/20,1.0
3/21/20,3.0
3/22/20,7.0
3/23/20,2.0
3/24/20,28.0
3/25/20,2.0
3/26/20,8.0
3/27/20,15.0
3/28/20,2.0
3/29/20,3.0
3/30/20,3.0
3/31/20,12.0
4/1/20,6.0
4/2/20,13.0
4/3/20,1.0
4/4/20,9.0
4/5/20,5.0
4/6/20,5.0
4/7/20,20.0
4/8/20,19.0
4/9/20,40.0
4/10/20,3.0
4/11/20,23.0
4/12/20,33.0
4/13/20,79.0
4/14/20,15.0
4/15/20,10.0
4/16/20,36.0
4/17/20,26.0
4/18/20,31.0
4/19/20,30.0
4/20/20,51.0
4/21/20,37.0
4/22/20,6.0
4/23/20,26.0
4/24/20,39.0
4/25/20,34.0
4/26/20,28.0
4/27/20,32.0
4/28/20,17.0
4/29/20,10.0
4/30/20,9.0
5/1/20,7.0
5/2/20,7.0
5/3/20,10.0
5/4/20,28.0
5/5/20,4.0
5/6/20,1.0
5/7/20,4.0
5/8/20,1.0
5/9/20,1.0
5/10/20,8.0
5/11/20,14.0
5/12/20,11.0
5/13/20,24.0
5/14/20,8.0
5/15/20,18.0
5/16/20,10.0
5/17/20,23.0
5/18/20,7.0
5/19/20,3.0
5/20/20,1.0
5/21/20,14.0
5/22/20,1.0
5/23/20,21.0
5/24/20,7.0
5/25/20,6.0
5/26/20,0.0
5/27/20,9.0
5/28/20,1.0
5/29/20,4.0
5/30/20,12.0
5/31/20,6.0
6/1/20,13.0
6/2/20,27.0
6/3/20,13.0
6/4/20,19.0
6/5/20,5.0
6/6/20,11.0
6/7/20,36.0
6/8/20,40.0
6/9/20,29.0
6/10/20,6.0
6/11/20,29.0
6/12/20,28.0
6/13/20,58.0
6/14/20,53.0
6/15/20,49.0
6/16/20,129.0
6/17/20,141.0
6/18/20,77.0
6/19/20,83.0
6/20/20,82.0
6/21/20,75.0
6/22/20,96.0
6/23/20,47.0
6/24/20,52.0
6/25/20,95.0
6/26/20,69.0
6/27/20,62.0
6/28/20,96.0
6/29/20,87.0
6/30/20,122.0
7/1/20,79.0
7/2/20,113.0
7/3/20,73.0
7/4/20,114.0
7/5/20,178.0
7/6/20,152.0
7/7/20,195.0
7/8/20,183.0
7/9/20,214.0
7/10/20,207.0
7/11/20,205.0
7/12/20,203.0
7/13/20,216.0
7/14/20,187.0
7/15/20,119.0
7/16/20,132.0
7/17/20,103.0
7/18/20,145.0
7/19/20,118.0
7/20/20,142.0
7/21/20,168.0
7/22/20,241.0
7/23/20,181.0
7/24/20,213.0
7/25/20,237.0
7/26/20,220.0
7/27/20,276.0
7/28/20,239.0
7/29/20,194.0
7/30/20,258.0
7/31/20,226.0
8/1/20,224.0
8/2/20,245.0
8/3/20,250.0
8/4/20,225.0
8/5/20,218.0
8/6/20,196.0
8/7/20,181.0
8/8/20,190.0
8/9/20,188.0
8/10/20,172.0
8/11/20,171.0
8/12/20,205.0
8/13/20,193.0
8/14/20,142.0
8/15/20,145.0
8/16/20,141.0
8/17/20,129.0
8/18/20,141.0
8/19/20,162.0
8/20/20,158.0
8/21/20,162.0
8/22/20,169.0
8/23/20,111.0
8/24/20,99.0
8/25/20,136.0
8/26/20,157.0
8/27/20,141.0
8/28/20,119.0
8/29/20,115.0
8/30/20,119.0
8/31/20,120.0
9/1/20,147.0
9/2/20,112.0
9/3/20,78.0
9/4/20,119.0
9/5/20,117.0
9/6/20,92.0
9/7/20,85.0
9/8/20,97.0
9/9/20,76.0
9/10/20,69.0
9/11/20,50.0
9/12/20,70.0
9/13/20,71.0
9/14/20,55.0
9/15/20,71.0
9/16/20,76.0
9/17/20,43.0
9/18/20,57.0
9/19/20,63.0
9/20/20,61.0
9/21/20,79.0
9/22/20,66.0
9/23/20,62.0
9/24/20,63.0
9/25/20,46.0
9/26/20,46.0
9/27/20,47.0
9/28/20,48.0
9/29/20,54.0
9/30/20,46.0
10/1/20,43.0
10/2/20,42.0
10/3/20,53.0
10/4/20,56.0
10/5/20,41.0
10/6/20,34.0
10/7/20,49.0
10/8/20,33.0
10/9/20,79.0
10/10/20,80.0
10/11/20,49.0
10/12/20,68.0
10/13/20,98.0
10/14/20,80.0
10/15/20,77.0
10/16/20,104.0
10/17/20,148.0
10/18/20,137.0
10/19/20,118.0
10/20/20,130.0
10/21/20,124.0
10/22/20,159.0
10/23/20,169.0
10/24/20,166.0
10/25/20,186.0
10/26/20,0.0
10/27/20,0.0
10/28/20,683.0
10/29/20,0.0
10/30/20,702.0
10/31/20,0.0
11/1/20,0.0
11/2/20,851.0
11/3/20,820.0
11/4/20,546.0
11/5/20,661.0
11/6/20,728.0
11/7/20,0.0
11/8/20,0.0
11/9/20,1858.0
11/10/20,596.0
11/11/20,733.0
11/12/20,767.0
11/13/20,963.0
11/14/20,0.0
11/15/20,1266.0
11/16/20,688.0
11/17/20,0.0
11/18/20,1410.0
11/19/20,807.0
11/20/20,855.0
11/21/20,711.0
11/22/20,707.0
11/23/20,645.0
11/24/20,609.0
11/25/20,704.0
11/26/20,775.0
11/27/20,764.0
11/28/20,639.0
11/29/20,626.0
11/30/20,539.0
12/1/20,521.0
12/2/20,0.0
12/3/20,0.0
12/4/20,0.0
12/5/20,2220.0
12/6/20,468.0
12/7/20,519.0
12/8/20,557.0
12/9/20,561.0
12/10/20,562.0
12/11/20,590.0
12/12/20,524.0
12/13/20,462.0
12/14/20,329.0
12/15/20,294.0
12/16/20,296.0
12/17/20,0.0
12/18/20,838.0
12/19/20,345.0
12/20/20,223.0
12/21/20,264.0
12/22/20,0.0
12/23/20,271.0
12/24/20,0.0
12/25/20,695.0
12/26/20,270.0
12/27/20,215.0
12/28/20,181.0
12/29/20,109.0
12/30/20,0.0
12/31/20,234.0
1/1/21,358.0
1/2/21,0.0
1/3/21,463.0
1/4/21,0.0
1/5/21,368.0
1/6/21,0.0
1/7/21,610.0
1/8/21,321.0
1/9/21,0.0
1/10/21,512.0
1/11/21,206.0
1/12/21,279.0
1/13/21,299.0
1/14/21,279.0
1/15/21,296.0
1/16/21,0.0
1/17/21,716.0
1/18/21,0.0
1/19/21,267.0
1/20/21,294.0
1/21/21,616.0
1/22/21,289.0
1/23/21,0.0
1/24/21,0.0
1/25/21,1082.0
1/26/21,0.0
1/27/21,589.0
1/28/21,0.0
1/29/21,658.0
1/30/21,0.0
1/31/21,572.0
2/1/21,0.0
2/2/21,0.0
2/3/21,868.0
2/4/21,318.0
2/5/21,284.0
2/6/21,0.0
2/7/21,0.0
2/8/21,860.0
2/9/21,0.0
2/10/21,541.0
2/11/21,0.0
2/12/21,716.0
2/13/21,0.0
2/14/21,0.0
2/15/21,814.0
2/16/21,249.0
2/17/21,0.0
2/18/21,297.0
2/19/21,285.0
2/20/21,0.0
2/21/21,1030.0
2/22/21,0.0
2/23/21,260.0
2/24/21,829.0
2/25/21,437.0
2/26/21,445.0
2/27/21,0.0
2/28/21,0.0
3/1/21,0.0
3/2/21,1834.0
3/3/21,568.0
3/4/21,0.0
3/5/21,591.0
3/6/21,1156.0
3/7/21,0.0
3/8/21,1135.0
3/9/21,0.0
3/10/21,973.0
3/11/21,0.0
3/12/21,1362.0
3/13/21,0.0
3/14/21,0.0
3/15/21,1717.0
3/16/21,553.0
3/17/21,0.0
3/18/21,0.0
3/19/21,1955.0
3/20/21,0.0
3/21/21,0.0
3/22/21,0.0
3/23/21,0.0
3/24/21,3877.0
3/25/21,0.0
3/26/21,0.0
3/27/21,0.0
3/28/21,0.0
3/29/21,4257.0
3/30/21,752.0
3/31/21,0.0
4/1/21,1898.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,0.0
4/6/21,3251.0
4/7/21,685.0
4/8/21,871.0
4/9/21,0.0
4/10/21,0.0
4/11/21,0.0
4/12/21,0.0
4/13/21,2129.0
4/14/21,1195.0
4/15/21,0.0
4/16/21,1119.0
4/17/21,0.0
4/18/21,862.0
4/19/21,0.0
4/20/21,641.0
4/21/21,0.0
4/22/21,888.0
4/23/21,0.0
4/24/21,0.0
4/25/21,918.0
4/26/21,0.0
4/27/21,0.0
4/28/21,0.0
4/29/21,0.0
4/30/21,0.0
5/1/21,0.0
5/2/21,0.0
5/3/21,0.0
5/4/21,0.0
5/5/21,0.0
5/6/21,1976.0
5/7/21,170.0
5/8/21,0.0
5/9/21,0.0
5/10/21,0.0
5/11/21,346.0
5/12/21,113.0
5/13/21,0.0
5/14/21,0.0
5/15/21,0.0
5/16/21,263.0
5/17/21,25.0
5/18/21,0.0
5/19/21,126.0
5/20/21,55.0
5/21/21,58.0
5/22/21,0.0
5/23/21,0.0
5/24/21,0.0
5/25/21,91.0
5/26/21,44.0
5/27/21,23.0
5/28/21,18.0
5/29/21,0.0
5/30/21,51.0
5/31/21,5.0
6/1/21,19.0
6/2/21,18.0
6/3/21,12.0
6/4/21,7.0
6/5/21,0.0
6/6/21,0.0
6/7/21,41.0
6/8/21,0.0
6/9/21,26.0
6/10/21,0.0
6/11/21,0.0
6/12/21,0.0
6/13/21,45.0
6/14/21,5.0
6/15/21,0.0
6/16/21,17.0
6/17/21,0.0
6/18/21,0.0
6/19/21,0.0
6/20/21,0.0
6/21/21,55.0
6/22/21,0.0
6/23/21,0.0
6/24/21,52.0
6/25/21,0.0
6/26/21,0.0
6/27/21,0.0
6/28/21,32.0
6/29/21,4.0
6/30/21,423.0
7/1/21,10.0
7/2/21,17.0
7/3/21,3.0
