,Congo (Kinshasa)
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,1.0
3/12/20,0.0
3/13/20,1.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,1.0
3/18/20,1.0
3/19/20,10.0
3/20/20,4.0
3/21/20,5.0
3/22/20,7.0
3/23/20,6.0
3/24/20,9.0
3/25/20,3.0
3/26/20,3.0
3/27/20,0.0
3/28/20,14.0
3/29/20,0.0
3/30/20,16.0
3/31/20,17.0
4/1/20,11.0
4/2/20,25.0
4/3/20,0.0
4/4/20,20.0
4/5/20,0.0
4/6/20,7.0
4/7/20,19.0
4/8/20,0.0
4/9/20,0.0
4/10/20,35.0
4/11/20,8.0
4/12/20,11.0
4/13/20,1.0
4/14/20,6.0
4/15/20,13.0
4/16/20,13.0
4/17/20,20.0
4/18/20,20.0
4/19/20,20.0
4/20/20,5.0
4/21/20,18.0
4/22/20,9.0
4/23/20,18.0
4/24/20,17.0
4/25/20,22.0
4/26/20,26.0
4/27/20,17.0
4/28/20,12.0
4/29/20,20.0
4/30/20,81.0
5/1/20,32.0
5/2/20,70.0
5/3/20,0.0
5/4/20,8.0
5/5/20,23.0
5/6/20,92.0
5/7/20,66.0
5/8/20,74.0
5/9/20,0.0
5/10/20,54.0
5/11/20,33.0
5/12/20,78.0
5/13/20,67.0
5/14/20,73.0
5/15/20,56.0
5/16/20,157.0
5/17/20,0.0
5/18/20,83.0
5/19/20,91.0
5/20/20,102.0
5/21/20,104.0
5/22/20,110.0
5/23/20,80.0
5/24/20,116.0
5/25/20,156.0
5/26/20,106.0
5/27/20,143.0
5/28/20,114.0
5/29/20,173.0
5/30/20,133.0
5/31/20,104.0
6/1/20,125.0
6/2/20,131.0
6/3/20,169.0
6/4/20,149.0
6/5/20,120.0
6/6/20,114.0
6/7/20,138.0
6/8/20,90.0
6/9/20,153.0
6/10/20,131.0
6/11/20,125.0
6/12/20,122.0
6/13/20,87.0
6/14/20,54.0
6/15/20,59.0
6/16/20,137.0
6/17/20,126.0
6/18/20,183.0
6/19/20,194.0
6/20/20,195.0
6/21/20,154.0
6/22/20,98.0
6/23/20,103.0
6/24/20,186.0
6/25/20,198.0
6/26/20,141.0
6/27/20,138.0
6/28/20,137.0
6/29/20,112.0
6/30/20,100.0
7/1/20,83.0
7/2/20,67.0
7/3/20,122.0
7/4/20,68.0
7/5/20,32.0
7/6/20,21.0
7/7/20,0.0
7/8/20,0.0
7/9/20,414.0
7/10/20,59.0
7/11/20,66.0
7/12/20,62.0
7/13/20,42.0
7/14/20,60.0
7/15/20,28.0
7/16/20,36.0
7/17/20,50.0
7/18/20,75.0
7/19/20,79.0
7/20/20,40.0
7/21/20,91.0
7/22/20,92.0
7/23/20,94.0
7/24/20,47.0
7/25/20,34.0
7/26/20,30.0
7/27/20,13.0
7/28/20,29.0
7/29/20,58.0
7/30/20,79.0
7/31/20,60.0
8/1/20,14.0
8/2/20,31.0
8/3/20,18.0
8/4/20,45.0
8/5/20,75.0
8/6/20,56.0
8/7/20,46.0
8/8/20,81.0
8/9/20,18.0
8/10/20,35.0
8/11/20,10.0
8/12/20,39.0
8/13/20,51.0
8/14/20,16.0
8/15/20,33.0
8/16/20,38.0
8/17/20,30.0
8/18/20,15.0
8/19/20,20.0
8/20/20,16.0
8/21/20,45.0
8/22/20,9.0
8/23/20,19.0
8/24/20,12.0
8/25/20,49.0
8/26/20,21.0
8/27/20,3.0
8/28/20,79.0
8/29/20,13.0
8/30/20,38.0
8/31/20,52.0
9/1/20,7.0
9/2/20,10.0
9/3/20,11.0
9/4/20,24.0
9/5/20,29.0
9/6/20,32.0
9/7/20,23.0
9/8/20,59.0
9/9/20,32.0
9/10/20,19.0
9/11/20,18.0
9/12/20,24.0
9/13/20,5.0
9/14/20,0.0
9/15/20,11.0
9/16/20,13.0
9/17/20,28.0
9/18/20,14.0
9/19/20,32.0
9/20/20,27.0
9/21/20,4.0
9/22/20,4.0
9/23/20,14.0
9/24/20,18.0
9/25/20,23.0
9/26/20,15.0
9/27/20,19.0
9/28/20,12.0
9/29/20,7.0
9/30/20,28.0
10/1/20,26.0
10/2/20,44.0
10/3/20,23.0
10/4/20,8.0
10/5/20,18.0
10/6/20,11.0
10/7/20,15.0
10/8/20,18.0
10/9/20,13.0
10/10/20,6.0
10/11/20,10.0
10/12/20,17.0
10/13/20,4.0
10/14/20,63.0
10/15/20,0.0
10/16/20,64.0
10/17/20,1.0
10/18/20,6.0
10/19/20,46.0
10/20/20,14.0
10/21/20,0.0
10/22/20,31.0
10/23/20,25.0
10/24/20,21.0
10/25/20,0.0
10/26/20,31.0
10/27/20,17.0
10/28/20,20.0
10/29/20,0.0
10/30/20,95.0
10/31/20,0.0
11/1/20,67.0
11/2/20,22.0
11/3/20,32.0
11/4/20,23.0
11/5/20,0.0
11/6/20,67.0
11/7/20,33.0
11/8/20,41.0
11/9/20,17.0
11/10/20,34.0
11/11/20,14.0
11/12/20,36.0
11/13/20,0.0
11/14/20,68.0
11/15/20,0.0
11/16/20,79.0
11/17/20,27.0
11/18/20,52.0
11/19/20,90.0
11/20/20,121.0
11/21/20,51.0
11/22/20,0.0
11/23/20,98.0
11/24/20,32.0
11/25/20,55.0
11/26/20,105.0
11/27/20,0.0
11/28/20,138.0
11/29/20,94.0
11/30/20,70.0
12/1/20,87.0
12/2/20,128.0
12/3/20,145.0
12/4/20,149.0
12/5/20,132.0
12/6/20,114.0
12/7/20,68.0
12/8/20,155.0
12/9/20,93.0
12/10/20,154.0
12/11/20,172.0
12/12/20,173.0
12/13/20,119.0
12/14/20,52.0
12/15/20,84.0
12/16/20,333.0
12/17/20,159.0
12/18/20,0.0
12/19/20,308.0
12/20/20,98.0
12/21/20,174.0
12/22/20,141.0
12/23/20,229.0
12/24/20,243.0
12/25/20,190.0
12/26/20,291.0
12/27/20,76.0
12/28/20,78.0
12/29/20,265.0
12/30/20,194.0
12/31/20,282.0
1/1/21,191.0
1/2/21,149.0
1/3/21,104.0
1/4/21,51.0
1/5/21,95.0
1/6/21,239.0
1/7/21,251.0
1/8/21,231.0
1/9/21,190.0
1/10/21,277.0
1/11/21,60.0
1/12/21,211.0
1/13/21,296.0
1/14/21,476.0
1/15/21,77.0
1/16/21,137.0
1/17/21,215.0
1/18/21,152.0
1/19/21,80.0
1/20/21,162.0
1/21/21,96.0
1/22/21,199.0
1/23/21,116.0
1/24/21,156.0
1/25/21,85.0
1/26/21,94.0
1/27/21,130.0
1/28/21,144.0
1/29/21,133.0
1/30/21,149.0
1/31/21,167.0
2/1/21,71.0
2/2/21,201.0
2/3/21,139.0
2/4/21,40.0
2/5/21,149.0
2/6/21,114.0
2/7/21,114.0
2/8/21,72.0
2/9/21,100.0
2/10/21,119.0
2/11/21,136.0
2/12/21,126.0
2/13/21,88.0
2/14/21,55.0
2/15/21,91.0
2/16/21,37.0
2/17/21,179.0
2/18/21,192.0
2/19/21,170.0
2/20/21,116.0
2/21/21,0.0
2/22/21,64.0
2/23/21,0.0
2/24/21,0.0
2/25/21,0.0
2/26/21,547.0
2/27/21,101.0
2/28/21,121.0
3/1/21,49.0
3/2/21,88.0
3/3/21,197.0
3/4/21,93.0
3/5/21,0.0
3/6/21,129.0
3/7/21,72.0
3/8/21,86.0
3/9/21,57.0
3/10/21,54.0
3/11/21,21.0
3/12/21,87.0
3/13/21,92.0
3/14/21,76.0
3/15/21,63.0
3/16/21,23.0
3/17/21,152.0
3/18/21,38.0
3/19/21,66.0
3/20/21,112.0
3/21/21,85.0
3/22/21,19.0
3/23/21,8.0
3/24/21,80.0
3/25/21,69.0
3/26/21,65.0
3/27/21,93.0
3/28/21,43.0
3/29/21,82.0
3/30/21,64.0
3/31/21,66.0
4/1/21,57.0
4/2/21,18.0
4/3/21,75.0
4/4/21,33.0
4/5/21,29.0
4/6/21,23.0
4/7/21,33.0
4/8/21,64.0
4/9/21,37.0
4/10/21,31.0
4/11/21,0.0
4/12/21,0.0
4/13/21,123.0
4/14/21,49.0
4/15/21,55.0
4/16/21,90.0
4/17/21,35.0
4/18/21,62.0
4/19/21,0.0
4/20/21,128.0
4/21/21,149.0
4/22/21,117.0
4/23/21,55.0
4/24/21,93.0
4/25/21,78.0
4/26/21,35.0
4/27/21,90.0
4/28/21,67.0
4/29/21,44.0
4/30/21,41.0
5/1/21,51.0
5/2/21,61.0
5/3/21,39.0
5/4/21,67.0
5/5/21,59.0
5/6/21,71.0
5/7/21,39.0
5/8/21,45.0
5/9/21,38.0
5/10/21,27.0
5/11/21,42.0
5/12/21,37.0
5/13/21,49.0
5/14/21,33.0
5/15/21,35.0
5/16/21,16.0
5/17/21,47.0
5/18/21,11.0
5/19/21,88.0
5/20/21,49.0
5/21/21,68.0
5/22/21,38.0
5/23/21,0.0
5/24/21,0.0
5/25/21,309.0
5/26/21,76.0
5/27/21,31.0
5/28/21,107.0
5/29/21,30.0
5/30/21,141.0
5/31/21,94.0
6/1/21,0.0
6/2/21,283.0
6/3/21,243.0
6/4/21,368.0
6/5/21,251.0
6/6/21,406.0
6/7/21,136.0
6/8/21,239.0
6/9/21,379.0
6/10/21,310.0
6/11/21,429.0
6/12/21,254.0
6/13/21,279.0
6/14/21,440.0
6/15/21,250.0
6/16/21,304.0
6/17/21,356.0
6/18/21,379.0
6/19/21,562.0
6/20/21,290.0
6/21/21,117.0
6/22/21,404.0
6/23/21,223.0
6/24/21,383.0
6/25/21,459.0
6/26/21,363.0
6/27/21,496.0
6/28/21,185.0
6/29/21,397.0
6/30/21,0.0
7/1/21,517.0
7/2/21,418.0
7/3/21,188.0
7/4/21,222.0
