,Namibia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,2.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,1.0
3/20/20,0.0
3/21/20,0.0
3/22/20,0.0
3/23/20,1.0
3/24/20,3.0
3/25/20,0.0
3/26/20,1.0
3/27/20,0.0
3/28/20,0.0
3/29/20,3.0
3/30/20,0.0
3/31/20,0.0
4/1/20,3.0
4/2/20,0.0
4/3/20,0.0
4/4/20,0.0
4/5/20,2.0
4/6/20,0.0
4/7/20,0.0
4/8/20,0.0
4/9/20,0.0
4/10/20,0.0
4/11/20,0.0
4/12/20,0.0
4/13/20,0.0
4/14/20,0.0
4/15/20,0.0
4/16/20,0.0
4/17/20,0.0
4/18/20,0.0
4/19/20,0.0
4/20/20,0.0
4/21/20,0.0
4/22/20,0.0
4/23/20,0.0
4/24/20,0.0
4/25/20,0.0
4/26/20,0.0
4/27/20,0.0
4/28/20,0.0
4/29/20,0.0
4/30/20,0.0
5/1/20,0.0
5/2/20,0.0
5/3/20,0.0
5/4/20,0.0
5/5/20,0.0
5/6/20,0.0
5/7/20,0.0
5/8/20,0.0
5/9/20,0.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,0.0
5/15/20,0.0
5/16/20,0.0
5/17/20,0.0
5/18/20,0.0
5/19/20,0.0
5/20/20,0.0
5/21/20,2.0
5/22/20,1.0
5/23/20,1.0
5/24/20,1.0
5/25/20,0.0
5/26/20,0.0
5/27/20,1.0
5/28/20,0.0
5/29/20,1.0
5/30/20,0.0
5/31/20,1.0
6/1/20,1.0
6/2/20,0.0
6/3/20,0.0
6/4/20,0.0
6/5/20,0.0
6/6/20,4.0
6/7/20,0.0
6/8/20,2.0
6/9/20,0.0
6/10/20,0.0
6/11/20,0.0
6/12/20,0.0
6/13/20,1.0
6/14/20,0.0
6/15/20,0.0
6/16/20,2.0
6/17/20,2.0
6/18/20,3.0
6/19/20,6.0
6/20/20,1.0
6/21/20,9.0
6/22/20,8.0
6/23/20,9.0
6/24/20,4.0
6/25/20,26.0
6/26/20,19.0
6/27/20,15.0
6/28/20,47.0
6/29/20,13.0
6/30/20,9.0
7/1/20,80.0
7/2/20,8.0
7/3/20,57.0
7/4/20,25.0
7/5/20,37.0
7/6/20,73.0
7/7/20,54.0
7/8/20,54.0
7/9/20,22.0
7/10/20,53.0
7/11/20,0.0
7/12/20,117.0
7/13/20,76.0
7/14/20,3.0
7/15/20,96.0
7/16/20,72.0
7/17/20,46.0
7/18/20,125.0
7/19/20,44.0
7/20/20,97.0
7/21/20,22.0
7/22/20,36.0
7/23/20,120.0
7/24/20,96.0
7/25/20,69.0
7/26/20,88.0
7/27/20,68.0
7/28/20,74.0
7/29/20,69.0
7/30/20,66.0
7/31/20,77.0
8/1/20,95.0
8/2/20,70.0
8/3/20,112.0
8/4/20,64.0
8/5/20,70.0
8/6/20,112.0
8/7/20,150.0
8/8/20,0.0
8/9/20,147.0
8/10/20,152.0
8/11/20,128.0
8/12/20,177.0
8/13/20,138.0
8/14/20,182.0
8/15/20,181.0
8/16/20,247.0
8/17/20,190.0
8/18/20,120.0
8/19/20,201.0
8/20/20,247.0
8/21/20,315.0
8/22/20,311.0
8/23/20,316.0
8/24/20,176.0
8/25/20,130.0
8/26/20,271.0
8/27/20,281.0
8/28/20,194.0
8/29/20,210.0
8/30/20,249.0
8/31/20,185.0
9/1/20,142.0
9/2/20,152.0
9/3/20,238.0
9/4/20,241.0
9/5/20,191.0
9/6/20,171.0
9/7/20,125.0
9/8/20,118.0
9/9/20,180.0
9/10/20,148.0
9/11/20,181.0
9/12/20,167.0
9/13/20,115.0
9/14/20,99.0
9/15/20,83.0
9/16/20,63.0
9/17/20,114.0
9/18/20,129.0
9/19/20,85.0
9/20/20,85.0
9/21/20,149.0
9/22/20,81.0
9/23/20,56.0
9/24/20,77.0
9/25/20,95.0
9/26/20,83.0
9/27/20,115.0
9/28/20,88.0
9/29/20,19.0
9/30/20,125.0
10/1/20,108.0
10/2/20,107.0
10/3/20,92.0
10/4/20,54.0
10/5/20,28.0
10/6/20,19.0
10/7/20,41.0
10/8/20,67.0
10/9/20,48.0
10/10/20,62.0
10/11/20,45.0
10/12/20,53.0
10/13/20,11.0
10/14/20,69.0
10/15/20,34.0
10/16/20,112.0
10/17/20,48.0
10/18/20,30.0
10/19/20,33.0
10/20/20,41.0
10/21/20,39.0
10/22/20,54.0
10/23/20,41.0
10/24/20,78.0
10/25/20,81.0
10/26/20,15.0
10/27/20,54.0
10/28/20,77.0
10/29/20,52.0
10/30/20,49.0
10/31/20,28.0
11/1/20,53.0
11/2/20,24.0
11/3/20,18.0
11/4/20,16.0
11/5/20,44.0
11/6/20,53.0
11/7/20,27.0
11/8/20,41.0
11/9/20,29.0
11/10/20,13.0
11/11/20,39.0
11/12/20,53.0
11/13/20,27.0
11/14/20,77.0
11/15/20,59.0
11/16/20,47.0
11/17/20,11.0
11/18/20,44.0
11/19/20,52.0
11/20/20,50.0
11/21/20,99.0
11/22/20,54.0
11/23/20,32.0
11/24/20,41.0
11/25/20,68.0
11/26/20,149.0
11/27/20,52.0
11/28/20,78.0
11/29/20,60.0
11/30/20,35.0
12/1/20,36.0
12/2/20,61.0
12/3/20,122.0
12/4/20,205.0
12/5/20,146.0
12/6/20,128.0
12/7/20,141.0
12/8/20,79.0
12/9/20,174.0
12/10/20,301.0
12/11/20,324.0
12/12/20,172.0
12/13/20,267.0
12/14/20,190.0
12/15/20,187.0
12/16/20,363.0
12/17/20,331.0
12/18/20,434.0
12/19/20,396.0
12/20/20,277.0
12/21/20,585.0
12/22/20,330.0
12/23/20,355.0
12/24/20,595.0
12/25/20,683.0
12/26/20,136.0
12/27/20,525.0
12/28/20,364.0
12/29/20,564.0
12/30/20,482.0
12/31/20,608.0
1/1/21,604.0
1/2/21,109.0
1/3/21,462.0
1/4/21,270.0
1/5/21,501.0
1/6/21,432.0
1/7/21,363.0
1/8/21,573.0
1/9/21,468.0
1/10/21,536.0
1/11/21,343.0
1/12/21,269.0
1/13/21,312.0
1/14/21,387.0
1/15/21,319.0
1/16/21,309.0
1/17/21,165.0
1/18/21,390.0
1/19/21,242.0
1/20/21,258.0
1/21/21,262.0
1/22/21,333.0
1/23/21,365.0
1/24/21,212.0
1/25/21,225.0
1/26/21,307.0
1/27/21,308.0
1/28/21,194.0
1/29/21,237.0
1/30/21,136.0
1/31/21,112.0
2/1/21,224.0
2/2/21,102.0
2/3/21,102.0
2/4/21,147.0
2/5/21,96.0
2/6/21,229.0
2/7/21,129.0
2/8/21,97.0
2/9/21,131.0
2/10/21,41.0
2/11/21,111.0
2/12/21,201.0
2/13/21,243.0
2/14/21,155.0
2/15/21,273.0
2/16/21,141.0
2/17/21,74.0
2/18/21,240.0
2/19/21,313.0
2/20/21,302.0
2/21/21,188.0
2/22/21,259.0
2/23/21,154.0
2/24/21,80.0
2/25/21,230.0
2/26/21,218.0
2/27/21,218.0
2/28/21,203.0
3/1/21,188.0
3/2/21,149.0
3/3/21,115.0
3/4/21,169.0
3/5/21,210.0
3/6/21,201.0
3/7/21,153.0
3/8/21,157.0
3/9/21,150.0
3/10/21,114.0
3/11/21,180.0
3/12/21,179.0
3/13/21,215.0
3/14/21,175.0
3/15/21,224.0
3/16/21,42.0
3/17/21,80.0
3/18/21,138.0
3/19/21,281.0
3/20/21,238.0
3/21/21,274.0
3/22/21,176.0
3/23/21,118.0
3/24/21,93.0
3/25/21,146.0
3/26/21,169.0
3/27/21,320.0
3/28/21,133.0
3/29/21,291.0
3/30/21,128.0
3/31/21,88.0
4/1/21,235.0
4/2/21,207.0
4/3/21,102.0
4/4/21,107.0
4/5/21,96.0
4/6/21,122.0
4/7/21,31.0
4/8/21,15.0
4/9/21,139.0
4/10/21,130.0
4/11/21,204.0
4/12/21,260.0
4/13/21,162.0
4/14/21,102.0
4/15/21,134.0
4/16/21,145.0
4/17/21,185.0
4/18/21,140.0
4/19/21,118.0
4/20/21,102.0
4/21/21,79.0
4/22/21,218.0
4/23/21,211.0
4/24/21,288.0
4/25/21,105.0
4/26/21,165.0
4/27/21,70.0
4/28/21,166.0
4/29/21,0.0
4/30/21,174.0
5/1/21,303.0
5/2/21,0.0
5/3/21,0.0
5/4/21,0.0
5/5/21,669.0
5/6/21,137.0
5/7/21,92.0
5/8/21,341.0
5/9/21,177.0
5/10/21,139.0
5/11/21,92.0
5/12/21,214.0
5/13/21,218.0
5/14/21,0.0
5/15/21,216.0
5/16/21,269.0
5/17/21,172.0
5/18/21,246.0
5/19/21,191.0
5/20/21,0.0
5/21/21,606.0
5/22/21,279.0
5/23/21,234.0
5/24/21,261.0
5/25/21,225.0
5/26/21,171.0
5/27/21,300.0
5/28/21,365.0
5/29/21,391.0
5/30/21,482.0
5/31/21,408.0
6/1/21,263.0
6/2/21,452.0
6/3/21,717.0
6/4/21,596.0
6/5/21,480.0
6/6/21,650.0
6/7/21,385.0
6/8/21,722.0
6/9/21,515.0
6/10/21,1045.0
6/11/21,1432.0
6/12/21,1399.0
6/13/21,884.0
6/14/21,726.0
6/15/21,1206.0
6/16/21,2075.0
6/17/21,1016.0
6/18/21,1649.0
6/19/21,0.0
6/20/21,1403.0
6/21/21,2602.0
6/22/21,0.0
6/23/21,1567.0
6/24/21,1390.0
6/25/21,2547.0
6/26/21,2428.0
6/27/21,1007.0
6/28/21,1944.0
6/29/21,0.0
6/30/21,3268.0
7/1/21,1291.0
7/2/21,1661.0
7/3/21,1178.0
