,Costa Rica
11/29/20,0.0
11/30/20,2545.0
12/1/20,534.0
12/2/20,1168.0
12/3/20,1165.0
12/4/20,1180.0
12/5/20,0.0
12/6/20,0.0
12/7/20,2736.0
12/8/20,1009.0
12/9/20,1258.0
12/10/20,1127.0
12/11/20,1132.0
12/12/20,0.0
12/13/20,0.0
12/14/20,2222.0
12/15/20,927.0
12/16/20,1167.0
12/17/20,1125.0
12/18/20,1084.0
12/19/20,0.0
12/20/20,0.0
12/21/20,2421.0
12/22/20,911.0
12/23/20,1138.0
12/24/20,1048.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,2772.0
12/29/20,1037.0
12/30/20,1315.0
12/31/20,1207.0
1/1/21,0.0
1/2/21,0.0
1/3/21,0.0
1/4/21,3115.0
1/5/21,1155.0
1/6/21,1447.0
1/7/21,1369.0
1/8/21,1207.0
1/9/21,0.0
1/10/21,0.0
1/11/21,2447.0
1/12/21,1032.0
1/13/21,1063.0
1/14/21,1086.0
1/15/21,945.0
1/16/21,0.0
1/17/21,0.0
1/18/21,1829.0
1/19/21,861.0
1/20/21,835.0
1/21/21,765.0
1/22/21,831.0
1/23/21,0.0
1/24/21,0.0
1/25/21,1437.0
1/26/21,600.0
1/27/21,721.0
1/28/21,571.0
1/29/21,639.0
1/30/21,0.0
1/31/21,0.0
2/1/21,1293.0
2/2/21,440.0
2/3/21,528.0
2/4/21,455.0
2/5/21,446.0
2/6/21,0.0
2/7/21,0.0
2/8/21,997.0
2/9/21,417.0
2/10/21,486.0
2/11/21,418.0
2/12/21,431.0
2/13/21,0.0
2/14/21,0.0
2/15/21,837.0
2/16/21,430.0
2/17/21,434.0
2/18/21,353.0
2/19/21,437.0
2/20/21,0.0
2/21/21,0.0
2/22/21,996.0
2/23/21,423.0
2/24/21,399.0
2/25/21,418.0
2/26/21,427.0
2/27/21,0.0
2/28/21,0.0
3/1/21,745.0
3/2/21,428.0
3/3/21,376.0
3/4/21,403.0
3/5/21,347.0
3/6/21,0.0
3/7/21,0.0
3/8/21,0.0
3/9/21,1192.0
3/10/21,0.0
3/11/21,0.0
3/12/21,1261.0
3/13/21,0.0
3/14/21,0.0
3/15/21,0.0
3/16/21,1354.0
3/17/21,0.0
3/18/21,0.0
3/19/21,1456.0
3/20/21,0.0
3/21/21,0.0
3/22/21,0.0
3/23/21,1535.0
3/24/21,0.0
3/25/21,0.0
3/26/21,1740.0
3/27/21,0.0
3/28/21,0.0
3/29/21,0.0
3/30/21,1586.0
3/31/21,0.0
4/1/21,0.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,0.0
4/6/21,3082.0
4/7/21,0.0
4/8/21,0.0
4/9/21,2698.0
4/10/21,0.0
4/11/21,0.0
4/12/21,0.0
4/13/21,2799.0
4/14/21,0.0
4/15/21,2190.0
4/16/21,1044.0
4/17/21,0.0
4/18/21,0.0
4/19/21,2260.0
4/20/21,1130.0
4/21/21,1531.0
4/22/21,1776.0
4/23/21,1656.0
4/24/21,1830.0
4/25/21,0.0
4/26/21,2480.0
4/27/21,1927.0
4/28/21,2434.0
4/29/21,2781.0
4/30/21,2609.0
5/1/21,0.0
5/2/21,0.0
5/3/21,5685.0
5/4/21,1304.0
5/5/21,2555.0
5/6/21,2559.0
5/7/21,2392.0
5/8/21,0.0
5/9/21,0.0
5/10/21,5992.0
5/11/21,2236.0
5/12/21,3173.0
5/13/21,3039.0
5/14/21,2815.0
5/15/21,0.0
5/16/21,0.0
5/17/21,5885.0
5/18/21,2294.0
5/19/21,2900.0
5/20/21,2812.0
5/21/21,2587.0
5/22/21,0.0
5/23/21,0.0
5/24/21,5310.0
5/25/21,2370.0
5/26/21,2587.0
5/27/21,2436.0
5/28/21,2180.0
5/29/21,0.0
5/30/21,0.0
5/31/21,4884.0
6/1/21,2293.0
6/2/21,2319.0
6/3/21,2181.0
6/4/21,2200.0
6/5/21,0.0
6/6/21,0.0
6/7/21,3941.0
6/8/21,1900.0
6/9/21,2187.0
6/10/21,2041.0
6/11/21,1852.0
6/12/21,0.0
6/13/21,0.0
6/14/21,3704.0
6/15/21,1708.0
6/16/21,1845.0
6/17/21,1869.0
6/18/21,1604.0
6/19/21,0.0
6/20/21,0.0
6/21/21,3465.0
6/22/21,1525.0
6/23/21,1903.0
6/24/21,1743.0
6/25/21,1739.0
6/26/21,0.0
6/27/21,0.0
6/28/21,3299.0
6/29/21,1857.0
6/30/21,1777.0
7/1/21,1602.0
7/2/21,1666.0
7/3/21,0.0
7/4/21,0.0
7/5/21,3118.0
7/6/21,1488.0
7/7/21,1279.0
7/8/21,1847.0
7/9/21,1544.0
7/10/21,0.0
7/11/21,0.0
7/12/21,0.0
7/13/21,4587.0
7/14/21,1653.0
7/15/21,1576.0
7/16/21,1500.0
7/17/21,0.0
7/18/21,0.0
7/19/21,2983.0
7/20/21,1354.0
7/21/21,1532.0
7/22/21,1802.0
7/23/21,1139.0
7/24/21,0.0
7/25/21,0.0
7/26/21,0.0
7/27/21,3436.0
7/28/21,1467.0
7/29/21,1695.0
7/30/21,1608.0
7/31/21,0.0
8/1/21,0.0
8/2/21,0.0
8/3/21,4309.0
8/4/21,1795.0
8/5/21,1827.0
8/6/21,1932.0
8/7/21,0.0
8/8/21,0.0
8/9/21,3785.0
8/10/21,1882.0
8/11/21,2128.0
8/12/21,2002.0
8/13/21,1821.0
8/14/21,0.0
8/15/21,0.0
8/16/21,3854.0
8/17/21,1932.0
8/18/21,2195.0
8/19/21,2311.0
8/20/21,2060.0
8/21/21,0.0
8/22/21,0.0
8/23/21,4795.0
8/24/21,2230.0
8/25/21,2619.0
8/26/21,2706.0
8/27/21,2787.0
8/28/21,0.0
8/29/21,0.0
8/30/21,5361.0
8/31/21,2581.0
9/1/21,2848.0
9/2/21,2991.0
9/3/21,2750.0
9/4/21,0.0
9/5/21,0.0
9/6/21,5829.0
9/7/21,2956.0
9/8/21,2884.0
9/9/21,2975.0
9/10/21,2825.0
9/11/21,0.0
9/12/21,0.0
9/13/21,0.0
9/14/21,6952.0
9/15/21,2725.0
9/16/21,2901.0
9/17/21,2801.0
9/18/21,0.0
9/19/21,0.0
9/20/21,5490.0
9/21/21,2731.0
9/22/21,2547.0
9/23/21,2701.0
9/24/21,2550.0
9/25/21,0.0
9/26/21,0.0
9/27/21,4817.0
9/28/21,2078.0
9/29/21,2036.0
9/30/21,2072.0
10/1/21,1688.0
10/2/21,0.0
10/3/21,0.0
10/4/21,4043.0
10/5/21,1506.0
10/6/21,1614.0
10/7/21,1617.0
10/8/21,1368.0
10/9/21,0.0
10/10/21,0.0
10/11/21,2574.0
10/12/21,1319.0
10/13/21,1170.0
10/14/21,1050.0
10/15/21,1010.0
10/16/21,0.0
10/17/21,0.0
10/18/21,1809.0
10/19/21,708.0
10/20/21,943.0
10/21/21,0.0
10/22/21,1366.0
10/23/21,0.0
10/24/21,0.0
10/25/21,1195.0
10/26/21,757.0
10/27/21,732.0
10/28/21,596.0
10/29/21,448.0
10/30/21,0.0
10/31/21,0.0
11/1/21,865.0
11/2/21,491.0
11/3/21,378.0
11/4/21,397.0
11/5/21,487.0
11/6/21,0.0
11/7/21,0.0
11/8/21,650.0
11/9/21,324.0
11/10/21,0.0
11/11/21,634.0
11/12/21,235.0
11/13/21,0.0
11/14/21,0.0
11/15/21,503.0
11/16/21,239.0
11/17/21,195.0
11/18/21,251.0
11/19/21,201.0
11/20/21,0.0
11/21/21,0.0
11/22/21,404.0
11/23/21,167.0
11/24/21,177.0
11/25/21,133.0
11/26/21,131.0
11/27/21,0.0
11/28/21,0.0
11/29/21,0.0
11/30/21,279.0
12/1/21,120.0
12/2/21,304.0
12/3/21,120.0
12/4/21,0.0
12/5/21,0.0
12/6/21,231.0
12/7/21,92.0
12/8/21,0.0
12/9/21,200.0
12/10/21,89.0
12/11/21,0.0
12/12/21,0.0
12/13/21,0.0
12/14/21,310.0
12/15/21,68.0
12/16/21,55.0
12/17/21,110.0
12/18/21,0.0
12/19/21,0.0
12/20/21,0.0
12/21/21,322.0
12/22/21,0.0
12/23/21,0.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,0.0
12/28/21,1696.0
12/29/21,0.0
12/30/21,0.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,5315.0
1/5/22,2542.0
1/6/22,2981.0
1/7/22,3153.0
1/8/22,0.0
1/9/22,0.0
1/10/22,7198.0
1/11/22,4050.0
1/12/22,4170.0
1/13/22,4693.0
1/14/22,5224.0
1/15/22,0.0
1/16/22,0.0
1/17/22,10705.0
1/18/22,5365.0
1/19/22,5359.0
1/20/22,6016.0
1/21/22,6169.0
1/22/22,0.0
1/23/22,0.0
1/24/22,0.0
1/25/22,18188.0
1/26/22,6525.0
1/27/22,6969.0
1/28/22,7302.0
1/29/22,0.0
1/30/22,0.0
1/31/22,12385.0
2/1/22,6606.0
2/2/22,7089.0
2/3/22,7189.0
2/4/22,6222.0
2/5/22,0.0
2/6/22,0.0
2/7/22,11737.0
2/8/22,6136.0
2/9/22,6105.0
2/10/22,5656.0
2/11/22,5488.0
2/12/22,0.0
2/13/22,0.0
2/14/22,9427.0
2/15/22,4507.0
2/16/22,4291.0
2/17/22,4005.0
2/18/22,4114.0
2/19/22,0.0
2/20/22,0.0
2/21/22,7007.0
2/22/22,3391.0
2/23/22,3195.0
2/24/22,2796.0
2/25/22,2646.0
2/26/22,0.0
2/27/22,0.0
2/28/22,4456.0
