,Uganda
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,1.0
3/22/20,0.0
3/23/20,8.0
3/24/20,0.0
3/25/20,5.0
3/26/20,0.0
3/27/20,9.0
3/28/20,7.0
3/29/20,3.0
3/30/20,0.0
3/31/20,11.0
4/1/20,0.0
4/2/20,1.0
4/3/20,3.0
4/4/20,0.0
4/5/20,4.0
4/6/20,0.0
4/7/20,0.0
4/8/20,1.0
4/9/20,0.0
4/10/20,0.0
4/11/20,0.0
4/12/20,1.0
4/13/20,0.0
4/14/20,1.0
4/15/20,0.0
4/16/20,0.0
4/17/20,1.0
4/18/20,-1.0
4/19/20,0.0
4/20/20,1.0
4/21/20,5.0
4/22/20,2.0
4/23/20,11.0
4/24/20,1.0
4/25/20,0.0
4/26/20,4.0
4/27/20,0.0
4/28/20,0.0
4/29/20,2.0
4/30/20,2.0
5/1/20,2.0
5/2/20,3.0
5/3/20,1.0
5/4/20,8.0
5/5/20,1.0
5/6/20,2.0
5/7/20,1.0
5/8/20,0.0
5/9/20,15.0
5/10/20,5.0
5/11/20,0.0
5/12/20,8.0
5/13/20,10.0
5/14/20,21.0
5/15/20,43.0
5/16/20,24.0
5/17/20,0.0
5/18/20,21.0
5/19/20,12.0
5/20/20,4.0
5/21/20,-104.0
5/22/20,15.0
5/23/20,23.0
5/24/20,0.0
5/25/20,24.0
5/26/20,31.0
5/27/20,28.0
5/28/20,36.0
5/29/20,12.0
5/30/20,84.0
5/31/20,4.0
6/1/20,40.0
6/2/20,32.0
6/3/20,18.0
6/4/20,15.0
6/5/20,35.0
6/6/20,36.0
6/7/20,23.0
6/8/20,30.0
6/9/20,11.0
6/10/20,8.0
6/11/20,14.0
6/12/20,7.0
6/13/20,8.0
6/14/20,2.0
6/15/20,9.0
6/16/20,19.0
6/17/20,8.0
6/18/20,9.0
6/19/20,14.0
6/20/20,8.0
6/21/20,7.0
6/22/20,4.0
6/23/20,23.0
6/24/20,8.0
6/25/20,16.0
6/26/20,12.0
6/27/20,15.0
6/28/20,11.0
6/29/20,11.0
6/30/20,19.0
7/1/20,4.0
7/2/20,9.0
7/3/20,9.0
7/4/20,16.0
7/5/20,12.0
7/6/20,14.0
7/7/20,18.0
7/8/20,6.0
7/9/20,23.0
7/10/20,6.0
7/11/20,7.0
7/12/20,12.0
7/13/20,4.0
7/14/20,11.0
7/15/20,3.0
7/16/20,8.0
7/17/20,5.0
7/18/20,6.0
7/19/20,3.0
7/20/20,4.0
7/21/20,3.0
7/22/20,3.0
7/23/20,4.0
7/24/20,10.0
7/25/20,14.0
7/26/20,12.0
7/27/20,13.0
7/28/20,7.0
7/29/20,5.0
7/30/20,7.0
7/31/20,7.0
8/1/20,22.0
8/2/20,6.0
8/3/20,13.0
8/4/20,8.0
8/5/20,10.0
8/6/20,10.0
8/7/20,31.0
8/8/20,13.0
8/9/20,16.0
8/10/20,14.0
8/11/20,16.0
8/12/20,19.0
8/13/20,21.0
8/14/20,32.0
8/15/20,49.0
8/16/20,66.0
8/17/20,60.0
8/18/20,43.0
8/19/20,53.0
8/20/20,94.0
8/21/20,98.0
8/22/20,318.0
8/23/20,97.0
8/24/20,99.0
8/25/20,64.0
8/26/20,98.0
8/27/20,155.0
8/28/20,77.0
8/29/20,91.0
8/30/20,81.0
8/31/20,44.0
9/1/20,65.0
9/2/20,75.0
9/3/20,176.0
9/4/20,65.0
9/5/20,186.0
9/6/20,128.0
9/7/20,109.0
9/8/20,124.0
9/9/20,201.0
9/10/20,190.0
9/11/20,86.0
9/12/20,326.0
9/13/20,96.0
9/14/20,179.0
9/15/20,145.0
9/16/20,143.0
9/17/20,114.0
9/18/20,214.0
9/19/20,423.0
9/20/20,270.0
9/21/20,181.0
9/22/20,244.0
9/23/20,167.0
9/24/20,185.0
9/25/20,154.0
9/26/20,146.0
9/27/20,166.0
9/28/20,247.0
9/29/20,240.0
9/30/20,112.0
10/1/20,158.0
10/2/20,204.0
10/3/20,171.0
10/4/20,146.0
10/5/20,157.0
10/6/20,117.0
10/7/20,178.0
10/8/20,182.0
10/9/20,96.0
10/10/20,163.0
10/11/20,100.0
10/12/20,63.0
10/13/20,81.0
10/14/20,124.0
10/15/20,48.0
10/16/20,217.0
10/17/20,121.0
10/18/20,135.0
10/19/20,101.0
10/20/20,97.0
10/21/20,145.0
10/22/20,108.0
10/23/20,122.0
10/24/20,134.0
10/25/20,146.0
10/26/20,114.0
10/27/20,64.0
10/28/20,146.0
10/29/20,434.0
10/30/20,209.0
10/31/20,85.0
11/1/20,248.0
11/2/20,228.0
11/3/20,128.0
11/4/20,252.0
11/5/20,217.0
11/6/20,284.0
11/7/20,214.0
11/8/20,337.0
11/9/20,171.0
11/10/20,130.0
11/11/20,289.0
11/12/20,224.0
11/13/20,185.0
11/14/20,387.0
11/15/20,231.0
11/16/20,237.0
11/17/20,306.0
11/18/20,342.0
11/19/20,243.0
11/20/20,283.0
11/21/20,236.0
11/22/20,301.0
11/23/20,197.0
11/24/20,241.0
11/25/20,484.0
11/26/20,225.0
11/27/20,473.0
11/28/20,356.0
11/29/20,201.0
11/30/20,314.0
12/1/20,576.0
12/2/20,374.0
12/3/20,203.0
12/4/20,286.0
12/5/20,290.0
12/6/20,311.0
12/7/20,701.0
12/8/20,0.0
12/9/20,1859.0
12/10/20,671.0
12/11/20,639.0
12/12/20,702.0
12/13/20,461.0
12/14/20,234.0
12/15/20,402.0
12/16/20,565.0
12/17/20,628.0
12/18/20,710.0
12/19/20,631.0
12/20/20,485.0
12/21/20,197.0
12/22/20,526.0
12/23/20,489.0
12/24/20,515.0
12/25/20,446.0
12/26/20,203.0
12/27/20,248.0
12/28/20,162.0
12/29/20,308.0
12/30/20,396.0
12/31/20,539.0
1/1/21,295.0
1/2/21,201.0
1/3/21,210.0
1/4/21,128.0
1/5/21,357.0
1/6/21,295.0
1/7/21,372.0
1/8/21,222.0
1/9/21,258.0
1/10/21,188.0
1/11/21,66.0
1/12/21,140.0
1/13/21,137.0
1/14/21,0.0
1/15/21,0.0
1/16/21,0.0
1/17/21,0.0
1/18/21,0.0
1/19/21,449.0
1/20/21,94.0
1/21/21,178.0
1/22/21,129.0
1/23/21,109.0
1/24/21,105.0
1/25/21,39.0
1/26/21,73.0
1/27/21,53.0
1/28/21,110.0
1/29/21,66.0
1/30/21,43.0
1/31/21,46.0
2/1/21,27.0
2/2/21,45.0
2/3/21,34.0
2/4/21,50.0
2/5/21,54.0
2/6/21,32.0
2/7/21,27.0
2/8/21,12.0
2/9/21,23.0
2/10/21,28.0
2/11/21,31.0
2/12/21,37.0
2/13/21,40.0
2/14/21,0.0
2/15/21,36.0
2/16/21,8.0
2/17/21,39.0
2/18/21,52.0
2/19/21,14.0
2/20/21,31.0
2/21/21,14.0
2/22/21,8.0
2/23/21,22.0
2/24/21,18.0
2/25/21,39.0
2/26/21,22.0
2/27/21,13.0
2/28/21,22.0
3/1/21,10.0
3/2/21,28.0
3/3/21,13.0
3/4/21,18.0
3/5/21,26.0
3/6/21,0.0
3/7/21,12.0
3/8/21,15.0
3/9/21,11.0
3/10/21,30.0
3/11/21,15.0
3/12/21,9.0
3/13/21,0.0
3/14/21,37.0
3/15/21,10.0
3/16/21,2.0
3/17/21,14.0
3/18/21,18.0
3/19/21,26.0
3/20/21,0.0
3/21/21,20.0
3/22/21,16.0
3/23/21,32.0
3/24/21,0.0
3/25/21,15.0
3/26/21,17.0
3/27/21,16.0
3/28/21,27.0
3/29/21,26.0
3/30/21,19.0
3/31/21,28.0
4/1/21,22.0
4/2/21,35.0
4/3/21,38.0
4/4/21,0.0
4/5/21,54.0
4/6/21,7.0
4/7/21,23.0
4/8/21,16.0
4/9/21,24.0
4/10/21,27.0
4/11/21,27.0
4/12/21,34.0
4/13/21,30.0
4/14/21,33.0
4/15/21,26.0
4/16/21,47.0
4/17/21,30.0
4/18/21,38.0
4/19/21,18.0
4/20/21,26.0
4/21/21,53.0
4/22/21,54.0
4/23/21,46.0
4/24/21,0.0
4/25/21,80.0
4/26/21,60.0
4/27/21,22.0
4/28/21,29.0
4/29/21,31.0
4/30/21,69.0
5/1/21,39.0
5/2/21,0.0
5/3/21,68.0
5/4/21,59.0
5/5/21,70.0
5/6/21,50.0
5/7/21,72.0
5/8/21,84.0
5/9/21,47.0
5/10/21,29.0
5/11/21,43.0
5/12/21,60.0
5/13/21,91.0
5/14/21,96.0
5/15/21,0.0
5/16/21,105.0
5/17/21,80.0
5/18/21,71.0
5/19/21,164.0
5/20/21,129.0
5/21/21,147.0
5/22/21,137.0
5/23/21,227.0
5/24/21,185.0
5/25/21,155.0
5/26/21,207.0
5/27/21,313.0
5/28/21,637.0
5/29/21,700.0
5/30/21,692.0
5/31/21,524.0
6/1/21,614.0
6/2/21,915.0
6/3/21,1083.0
6/4/21,1247.0
6/5/21,670.0
6/6/21,1259.0
6/7/21,1026.0
6/8/21,708.0
6/9/21,842.0
6/10/21,1438.0
6/11/21,1566.0
6/12/21,1735.0
6/13/21,1727.0
6/14/21,1122.0
6/15/21,1422.0
6/16/21,1110.0
6/17/21,1584.0
6/18/21,1564.0
6/19/21,1397.0
6/20/21,1367.0
6/21/21,1136.0
6/22/21,722.0
6/23/21,859.0
6/24/21,1277.0
6/25/21,1025.0
6/26/21,943.0
6/27/21,889.0
6/28/21,695.0
6/29/21,345.0
6/30/21,543.0
7/1/21,1057.0
7/2/21,1048.0
7/3/21,770.0
