,Zambia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,2.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,1.0
3/23/20,0.0
3/24/20,0.0
3/25/20,9.0
3/26/20,4.0
3/27/20,6.0
3/28/20,6.0
3/29/20,1.0
3/30/20,6.0
3/31/20,0.0
4/1/20,1.0
4/2/20,3.0
4/3/20,0.0
4/4/20,0.0
4/5/20,0.0
4/6/20,0.0
4/7/20,0.0
4/8/20,0.0
4/9/20,0.0
4/10/20,1.0
4/11/20,0.0
4/12/20,3.0
4/13/20,2.0
4/14/20,0.0
4/15/20,3.0
4/16/20,0.0
4/17/20,4.0
4/18/20,5.0
4/19/20,4.0
4/20/20,4.0
4/21/20,5.0
4/22/20,4.0
4/23/20,2.0
4/24/20,8.0
4/25/20,0.0
4/26/20,4.0
4/27/20,0.0
4/28/20,7.0
4/29/20,2.0
4/30/20,9.0
5/1/20,3.0
5/2/20,10.0
5/3/20,5.0
5/4/20,13.0
5/5/20,1.0
5/6/20,8.0
5/7/20,7.0
5/8/20,14.0
5/9/20,85.0
5/10/20,15.0
5/11/20,0.0
5/12/20,174.0
5/13/20,5.0
5/14/20,208.0
5/15/20,0.0
5/16/20,25.0
5/17/20,74.0
5/18/20,8.0
5/19/20,11.0
5/20/20,60.0
5/21/20,34.0
5/22/20,54.0
5/23/20,0.0
5/24/20,0.0
5/25/20,0.0
5/26/20,0.0
5/27/20,137.0
5/28/20,0.0
5/29/20,0.0
5/30/20,0.0
5/31/20,0.0
6/1/20,32.0
6/2/20,0.0
6/3/20,0.0
6/4/20,0.0
6/5/20,0.0
6/6/20,0.0
6/7/20,0.0
6/8/20,111.0
6/9/20,0.0
6/10/20,0.0
6/11/20,0.0
6/12/20,121.0
6/13/20,36.0
6/14/20,1.0
6/15/20,24.0
6/16/20,23.0
6/17/20,7.0
6/18/20,4.0
6/19/20,14.0
6/20/20,0.0
6/21/20,0.0
6/22/20,0.0
6/23/20,47.0
6/24/20,12.0
6/25/20,8.0
6/26/20,34.0
6/27/20,0.0
6/28/20,26.0
6/29/20,11.0
6/30/20,26.0
7/1/20,38.0
7/2/20,0.0
7/3/20,0.0
7/4/20,0.0
7/5/20,0.0
7/6/20,0.0
7/7/20,263.0
7/8/20,0.0
7/9/20,0.0
7/10/20,0.0
7/11/20,0.0
7/12/20,0.0
7/13/20,0.0
7/14/20,0.0
7/15/20,0.0
7/16/20,0.0
7/17/20,915.0
7/18/20,170.0
7/19/20,0.0
7/20/20,346.0
7/21/20,60.0
7/22/20,197.0
7/23/20,206.0
7/24/20,67.0
7/25/20,472.0
7/26/20,153.0
7/27/20,71.0
7/28/20,450.0
7/29/20,247.0
7/30/20,306.0
7/31/20,408.0
8/1/20,265.0
8/2/20,119.0
8/3/20,233.0
8/4/20,213.0
8/5/20,229.0
8/6/20,142.0
8/7/20,322.0
8/8/20,417.0
8/9/20,182.0
8/10/20,125.0
8/11/20,65.0
8/12/20,226.0
8/13/20,162.0
8/14/20,358.0
8/15/20,165.0
8/16/20,157.0
8/17/20,496.0
8/18/20,142.0
8/19/20,237.0
8/20/20,154.0
8/21/20,255.0
8/22/20,204.0
8/23/20,251.0
8/24/20,66.0
8/25/20,137.0
8/26/20,91.0
8/27/20,225.0
8/28/20,178.0
8/29/20,123.0
8/30/20,123.0
8/31/20,72.0
9/1/20,284.0
9/2/20,34.0
9/3/20,108.0
9/4/20,116.0
9/5/20,70.0
9/6/20,67.0
9/7/20,60.0
9/8/20,116.0
9/9/20,160.0
9/10/20,102.0
9/11/20,109.0
9/12/20,143.0
9/13/20,73.0
9/14/20,181.0
9/15/20,99.0
9/16/20,68.0
9/17/20,41.0
9/18/20,94.0
9/19/20,48.0
9/20/20,61.0
9/21/20,44.0
9/22/20,214.0
9/23/20,54.0
9/24/20,48.0
9/25/20,24.0
9/26/20,97.0
9/27/20,29.0
9/28/20,19.0
9/29/20,55.0
9/30/20,44.0
10/1/20,43.0
10/2/20,28.0
10/3/20,144.0
10/4/20,78.0
10/5/20,37.0
10/6/20,81.0
10/7/20,54.0
10/8/20,77.0
10/9/20,38.0
10/10/20,76.0
10/11/20,43.0
10/12/20,91.0
10/13/20,38.0
10/14/20,29.0
10/15/20,43.0
10/16/20,0.0
10/17/20,130.0
10/18/20,64.0
10/19/20,44.0
10/20/20,85.0
10/21/20,18.0
10/22/20,35.0
10/23/20,60.0
10/24/20,22.0
10/25/20,0.0
10/26/20,83.0
10/27/20,43.0
10/28/20,42.0
10/29/20,40.0
10/30/20,90.0
10/31/20,17.0
11/1/20,48.0
11/2/20,63.0
11/3/20,118.0
11/4/20,37.0
11/5/20,72.0
11/6/20,49.0
11/7/20,89.0
11/8/20,46.0
11/9/20,17.0
11/10/20,26.0
11/11/20,39.0
11/12/20,20.0
11/13/20,37.0
11/14/20,4.0
11/15/20,26.0
11/16/20,64.0
11/17/20,56.0
11/18/20,37.0
11/19/20,70.0
11/20/20,23.0
11/21/20,21.0
11/22/20,30.0
11/23/20,30.0
11/24/20,12.0
11/25/20,69.0
11/26/20,18.0
11/27/20,16.0
11/28/20,20.0
11/29/20,19.0
11/30/20,39.0
12/1/20,18.0
12/2/20,35.0
12/3/20,30.0
12/4/20,127.0
12/5/20,41.0
12/6/20,18.0
12/7/20,15.0
12/8/20,32.0
12/9/20,99.0
12/10/20,29.0
12/11/20,70.0
12/12/20,56.0
12/13/20,57.0
12/14/20,48.0
12/15/20,106.0
12/16/20,28.0
12/17/20,48.0
12/18/20,71.0
12/19/20,45.0
12/20/20,96.0
12/21/20,52.0
12/22/20,113.0
12/23/20,241.0
12/24/20,112.0
12/25/20,337.0
12/26/20,100.0
12/27/20,163.0
12/28/20,109.0
12/29/20,234.0
12/30/20,285.0
12/31/20,263.0
1/1/21,272.0
1/2/21,233.0
1/3/21,352.0
1/4/21,411.0
1/5/21,652.0
1/6/21,850.0
1/7/21,802.0
1/8/21,1029.0
1/9/21,1241.0
1/10/21,1161.0
1/11/21,868.0
1/12/21,1161.0
1/13/21,1343.0
1/14/21,1700.0
1/15/21,1478.0
1/16/21,1796.0
1/17/21,1531.0
1/18/21,602.0
1/19/21,1308.0
1/20/21,1434.0
1/21/21,1264.0
1/22/21,1120.0
1/23/21,1259.0
1/24/21,745.0
1/25/21,809.0
1/26/21,1476.0
1/27/21,1289.0
1/28/21,1408.0
1/29/21,1305.0
1/30/21,1728.0
1/31/21,865.0
2/1/21,825.0
2/2/21,1191.0
2/3/21,1256.0
2/4/21,1514.0
2/5/21,1424.0
2/6/21,1000.0
2/7/21,1206.0
2/8/21,940.0
2/9/21,1037.0
2/10/21,963.0
2/11/21,1025.0
2/12/21,1083.0
2/13/21,773.0
2/14/21,983.0
2/15/21,811.0
2/16/21,575.0
2/17/21,854.0
2/18/21,790.0
2/19/21,736.0
2/20/21,691.0
2/21/21,609.0
2/22/21,524.0
2/23/21,555.0
2/24/21,902.0
2/25/21,687.0
2/26/21,468.0
2/27/21,563.0
2/28/21,332.0
3/1/21,468.0
3/2/21,555.0
3/3/21,533.0
3/4/21,597.0
3/5/21,654.0
3/6/21,670.0
3/7/21,410.0
3/8/21,234.0
3/9/21,242.0
3/10/21,436.0
3/11/21,580.0
3/12/21,327.0
3/13/21,234.0
3/14/21,323.0
3/15/21,153.0
3/16/21,290.0
3/17/21,262.0
3/18/21,387.0
3/19/21,170.0
3/20/21,214.0
3/21/21,176.0
3/22/21,86.0
3/23/21,244.0
3/24/21,214.0
3/25/21,325.0
3/26/21,265.0
3/27/21,0.0
3/28/21,289.0
3/29/21,140.0
3/30/21,187.0
3/31/21,219.0
4/1/21,131.0
4/2/21,181.0
4/3/21,70.0
4/4/21,130.0
4/5/21,79.0
4/6/21,62.0
4/7/21,315.0
4/8/21,206.0
4/9/21,191.0
4/10/21,135.0
4/11/21,111.0
4/12/21,35.0
4/13/21,154.0
4/14/21,171.0
4/15/21,143.0
4/16/21,218.0
4/17/21,94.0
4/18/21,74.0
4/19/21,24.0
4/20/21,100.0
4/21/21,77.0
4/22/21,70.0
4/23/21,62.0
4/24/21,66.0
4/25/21,41.0
4/26/21,20.0
4/27/21,40.0
4/28/21,66.0
4/29/21,49.0
4/30/21,53.0
5/1/21,84.0
5/2/21,23.0
5/3/21,29.0
5/4/21,82.0
5/5/21,45.0
5/6/21,97.0
5/7/21,58.0
5/8/21,53.0
5/9/21,35.0
5/10/21,20.0
5/11/21,40.0
5/12/21,59.0
5/13/21,51.0
5/14/21,94.0
5/15/21,53.0
5/16/21,27.0
5/17/21,24.0
5/18/21,60.0
5/19/21,110.0
5/20/21,124.0
5/21/21,166.0
5/22/21,186.0
5/23/21,95.0
5/24/21,78.0
5/25/21,149.0
5/26/21,199.0
5/27/21,320.0
5/28/21,483.0
5/29/21,321.0
5/30/21,299.0
5/31/21,213.0
6/1/21,558.0
6/2/21,742.0
6/3/21,825.0
6/4/21,988.0
6/5/21,1164.0
6/6/21,738.0
6/7/21,487.0
6/8/21,1231.0
6/9/21,1767.0
6/10/21,2146.0
6/11/21,2065.0
6/12/21,2358.0
6/13/21,1414.0
6/14/21,1388.0
6/15/21,2690.0
6/16/21,3026.0
6/17/21,3394.0
6/18/21,2913.0
6/19/21,1816.0
6/20/21,2060.0
6/21/21,1598.0
6/22/21,3028.0
6/23/21,3367.0
6/24/21,3594.0
6/25/21,2595.0
6/26/21,2816.0
6/27/21,2537.0
6/28/21,1093.0
6/29/21,2395.0
6/30/21,2892.0
