,Burma
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,0.0
3/23/20,0.0
3/24/20,0.0
3/25/20,0.0
3/26/20,0.0
3/27/20,8.0
3/28/20,0.0
3/29/20,2.0
3/30/20,4.0
3/31/20,1.0
4/1/20,0.0
4/2/20,5.0
4/3/20,0.0
4/4/20,1.0
4/5/20,0.0
4/6/20,1.0
4/7/20,0.0
4/8/20,0.0
4/9/20,1.0
4/10/20,4.0
4/11/20,11.0
4/12/20,3.0
4/13/20,21.0
4/14/20,1.0
4/15/20,11.0
4/16/20,11.0
4/17/20,3.0
4/18/20,10.0
4/19/20,13.0
4/20/20,8.0
4/21/20,2.0
4/22/20,2.0
4/23/20,16.0
4/24/20,5.0
4/25/20,2.0
4/26/20,0.0
4/27/20,0.0
4/28/20,4.0
4/29/20,0.0
4/30/20,1.0
5/1/20,0.0
5/2/20,0.0
5/3/20,4.0
5/4/20,6.0
5/5/20,0.0
5/6/20,0.0
5/7/20,15.0
5/8/20,1.0
5/9/20,1.0
5/10/20,2.0
5/11/20,0.0
5/12/20,0.0
5/13/20,1.0
5/14/20,0.0
5/15/20,1.0
5/16/20,0.0
5/17/20,2.0
5/18/20,7.0
5/19/20,2.0
5/20/20,6.0
5/21/20,0.0
5/22/20,0.0
5/23/20,2.0
5/24/20,0.0
5/25/20,2.0
5/26/20,3.0
5/27/20,0.0
5/28/20,0.0
5/29/20,1.0
5/30/20,17.0
5/31/20,0.0
6/1/20,4.0
6/2/20,4.0
6/3/20,1.0
6/4/20,3.0
6/5/20,0.0
6/6/20,4.0
6/7/20,2.0
6/8/20,2.0
6/9/20,2.0
6/10/20,2.0
6/11/20,12.0
6/12/20,1.0
6/13/20,0.0
6/14/20,0.0
6/15/20,1.0
6/16/20,0.0
6/17/20,0.0
6/18/20,24.0
6/19/20,0.0
6/20/20,1.0
6/21/20,3.0
6/22/20,1.0
6/23/20,1.0
6/24/20,1.0
6/25/20,0.0
6/26/20,0.0
6/27/20,3.0
6/28/20,3.0
6/29/20,0.0
6/30/20,0.0
7/1/20,4.0
7/2/20,1.0
7/3/20,2.0
7/4/20,7.0
7/5/20,0.0
7/6/20,3.0
7/7/20,0.0
7/8/20,1.0
7/9/20,4.0
7/10/20,5.0
7/11/20,4.0
7/12/20,1.0
7/13/20,5.0
7/14/20,1.0
7/15/20,0.0
7/16/20,2.0
7/17/20,0.0
7/18/20,1.0
7/19/20,1.0
7/20/20,0.0
7/21/20,0.0
7/22/20,2.0
7/23/20,0.0
7/24/20,3.0
7/25/20,2.0
7/26/20,2.0
7/27/20,0.0
7/28/20,1.0
7/29/20,0.0
7/30/20,2.0
7/31/20,0.0
8/1/20,0.0
8/2/20,0.0
8/3/20,2.0
8/4/20,1.0
8/5/20,1.0
8/6/20,0.0
8/7/20,2.0
8/8/20,0.0
8/9/20,1.0
8/10/20,0.0
8/11/20,0.0
8/12/20,1.0
8/13/20,8.0
8/14/20,5.0
8/15/20,0.0
8/16/20,1.0
8/17/20,1.0
8/18/20,0.0
8/19/20,18.0
8/20/20,5.0
8/21/20,36.0
8/22/20,6.0
8/23/20,9.0
8/24/20,24.0
8/25/20,30.0
8/26/20,76.0
8/27/20,22.0
8/28/20,41.0
8/29/20,106.0
8/30/20,26.0
8/31/20,107.0
9/1/20,37.0
9/2/20,76.0
9/3/20,116.0
9/4/20,60.0
9/5/20,148.0
9/6/20,100.0
9/7/20,99.0
9/8/20,289.0
9/9/20,202.0
9/10/20,141.0
9/11/20,272.0
9/12/20,374.0
9/13/20,219.0
9/14/20,180.0
9/15/20,441.0
9/16/20,258.0
9/17/20,405.0
9/18/20,322.0
9/19/20,642.0
9/20/20,542.0
9/21/20,666.0
9/22/20,488.0
9/23/20,868.0
9/24/20,688.0
9/25/20,597.0
9/26/20,879.0
9/27/20,743.0
9/28/20,897.0
9/29/20,794.0
9/30/20,948.0
10/1/20,1010.0
10/2/20,1142.0
10/3/20,978.0
10/4/20,1291.0
10/5/20,987.0
10/6/20,1252.0
10/7/20,1400.0
10/8/20,1012.0
10/9/20,1461.0
10/10/20,2158.0
10/11/20,1910.0
10/12/20,1340.0
10/13/20,1123.0
10/14/20,888.0
10/15/20,1026.0
10/16/20,1137.0
10/17/20,1387.0
10/18/20,1150.0
10/19/20,1180.0
10/20/20,1297.0
10/21/20,1194.0
10/22/20,1312.0
10/23/20,1357.0
10/24/20,1423.0
10/25/20,986.0
10/26/20,1426.0
10/27/20,1466.0
10/28/20,1406.0
10/29/20,1331.0
10/30/20,1093.0
10/31/20,1210.0
11/1/20,699.0
11/2/20,1202.0
11/3/20,1197.0
11/4/20,1136.0
11/5/20,995.0
11/6/20,1342.0
11/7/20,1071.0
11/8/20,1029.0
11/9/20,598.0
11/10/20,1266.0
11/11/20,1212.0
11/12/20,1145.0
11/13/20,1136.0
11/14/20,1277.0
11/15/20,983.0
11/16/20,1167.0
11/17/20,1569.0
11/18/20,1592.0
11/19/20,1560.0
11/20/20,1532.0
11/21/20,1434.0
11/22/20,1398.0
11/23/20,1259.0
11/24/20,1731.0
11/25/20,1330.0
11/26/20,1639.0
11/27/20,1428.0
11/28/20,1344.0
11/29/20,1509.0
11/30/20,1227.0
12/1/20,1476.0
12/2/20,1411.0
12/3/20,1418.0
12/4/20,1502.0
12/5/20,1527.0
12/6/20,1108.0
12/7/20,1276.0
12/8/20,1308.0
12/9/20,1427.0
12/10/20,1321.0
12/11/20,1376.0
12/12/20,1352.0
12/13/20,1127.0
12/14/20,1170.0
12/15/20,1155.0
12/16/20,1233.0
12/17/20,1182.0
12/18/20,1116.0
12/19/20,989.0
12/20/20,947.0
12/21/20,848.0
12/22/20,964.0
12/23/20,923.0
12/24/20,919.0
12/25/20,758.0
12/26/20,734.0
12/27/20,606.0
12/28/20,648.0
12/29/20,619.0
12/30/20,587.0
12/31/20,890.0
1/1/21,412.0
1/2/21,574.0
1/3/21,729.0
1/4/21,590.0
1/5/21,649.0
1/6/21,594.0
1/7/21,594.0
1/8/21,711.0
1/9/21,566.0
1/10/21,555.0
1/11/21,582.0
1/12/21,551.0
1/13/21,523.0
1/14/21,605.0
1/15/21,513.0
1/16/21,491.0
1/17/21,449.0
1/18/21,477.0
1/19/21,448.0
1/20/21,478.0
1/21/21,445.0
1/22/21,425.0
1/23/21,507.0
1/24/21,476.0
1/25/21,383.0
1/26/21,411.0
1/27/21,434.0
1/28/21,350.0
1/29/21,363.0
1/30/21,349.0
1/31/21,281.0
2/1/21,209.0
2/2/21,0.0
2/3/21,573.0
2/4/21,177.0
2/5/21,200.0
2/6/21,0.0
2/7/21,0.0
2/8/21,123.0
2/9/21,21.0
2/10/21,39.0
2/11/21,35.0
2/12/21,21.0
2/13/21,42.0
2/14/21,16.0
2/15/21,36.0
2/16/21,22.0
2/17/21,31.0
2/18/21,19.0
2/19/21,19.0
2/20/21,7.0
2/21/21,15.0
2/22/21,11.0
2/23/21,22.0
2/24/21,33.0
2/25/21,25.0
2/26/21,34.0
2/27/21,15.0
2/28/21,6.0
3/1/21,20.0
3/2/21,49.0
3/3/21,19.0
3/4/21,16.0
3/5/21,0.0
3/6/21,23.0
3/7/21,11.0
3/8/21,11.0
3/9/21,14.0
3/10/21,14.0
3/11/21,41.0
3/12/21,8.0
3/13/21,14.0
3/14/21,11.0
3/15/21,0.0
3/16/21,15.0
3/17/21,28.0
3/18/21,22.0
3/19/21,0.0
3/20/21,0.0
3/21/21,0.0
3/22/21,34.0
3/23/21,18.0
3/24/21,28.0
3/25/21,23.0
3/26/21,25.0
3/27/21,37.0
3/28/21,8.0
3/29/21,8.0
3/30/21,19.0
3/31/21,22.0
4/1/21,32.0
4/2/21,0.0
4/3/21,13.0
4/4/21,18.0
4/5/21,14.0
4/6/21,19.0
4/7/21,11.0
4/8/21,8.0
4/9/21,9.0
4/10/21,14.0
4/11/21,4.0
4/12/21,20.0
4/13/21,0.0
4/14/21,9.0
4/15/21,5.0
4/16/21,7.0
4/17/21,2.0
4/18/21,9.0
4/19/21,16.0
4/20/21,0.0
4/21/21,17.0
4/22/21,13.0
4/23/21,13.0
4/24/21,17.0
4/25/21,8.0
4/26/21,10.0
4/27/21,18.0
4/28/21,50.0
4/29/21,10.0
4/30/21,17.0
5/1/21,14.0
5/2/21,7.0
5/3/21,4.0
5/4/21,16.0
5/5/21,16.0
5/6/21,0.0
5/7/21,29.0
5/8/21,31.0
5/9/21,13.0
5/10/21,16.0
5/11/21,11.0
5/12/21,23.0
5/13/21,7.0
5/14/21,31.0
5/15/21,24.0
5/16/21,6.0
5/17/21,32.0
5/18/21,34.0
5/19/21,28.0
5/20/21,24.0
5/21/21,28.0
5/22/21,17.0
5/23/21,6.0
5/24/21,28.0
5/25/21,34.0
5/26/21,22.0
5/27/21,96.0
5/28/21,72.0
5/29/21,40.0
5/30/21,45.0
5/31/21,58.0
6/1/21,122.0
6/2/21,72.0
6/3/21,122.0
6/4/21,212.0
6/5/21,96.0
6/6/21,64.0
6/7/21,139.0
6/8/21,123.0
6/9/21,136.0
6/10/21,161.0
6/11/21,188.0
6/12/21,166.0
6/13/21,373.0
6/14/21,223.0
6/15/21,225.0
6/16/21,355.0
6/17/21,362.0
6/18/21,301.0
6/19/21,546.0
6/20/21,407.0
6/21/21,595.0
6/22/21,630.0
6/23/21,680.0
6/24/21,787.0
6/25/21,859.0
6/26/21,783.0
6/27/21,804.0
6/28/21,1225.0
