,Cabo Verde
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,1.0
3/21/20,2.0
3/22/20,0.0
3/23/20,0.0
3/24/20,0.0
3/25/20,1.0
3/26/20,0.0
3/27/20,1.0
3/28/20,0.0
3/29/20,1.0
3/30/20,0.0
3/31/20,0.0
4/1/20,0.0
4/2/20,0.0
4/3/20,0.0
4/4/20,1.0
4/5/20,0.0
4/6/20,0.0
4/7/20,0.0
4/8/20,0.0
4/9/20,0.0
4/10/20,0.0
4/11/20,1.0
4/12/20,0.0
4/13/20,2.0
4/14/20,1.0
4/15/20,45.0
4/16/20,0.0
4/17/20,0.0
4/18/20,2.0
4/19/20,3.0
4/20/20,6.0
4/21/20,1.0
4/22/20,5.0
4/23/20,9.0
4/24/20,6.0
4/25/20,2.0
4/26/20,16.0
4/27/20,3.0
4/28/20,5.0
4/29/20,0.0
4/30/20,7.0
5/1/20,1.0
5/2/20,30.0
5/3/20,13.0
5/4/20,10.0
5/5/20,11.0
5/6/20,5.0
5/7/20,27.0
5/8/20,12.0
5/9/20,6.0
5/10/20,10.0
5/11/20,14.0
5/12/20,7.0
5/13/20,22.0
5/14/20,26.0
5/15/20,11.0
5/16/20,2.0
5/17/20,0.0
5/18/20,0.0
5/19/20,7.0
5/20/20,14.0
5/21/20,7.0
5/22/20,6.0
5/23/20,9.0
5/24/20,9.0
5/25/20,10.0
5/26/20,0.0
5/27/20,0.0
5/28/20,0.0
5/29/20,15.0
5/30/20,16.0
5/31/20,14.0
6/1/20,23.0
6/2/20,8.0
6/3/20,11.0
6/4/20,25.0
6/5/20,34.0
6/6/20,6.0
6/7/20,12.0
6/8/20,13.0
6/9/20,18.0
6/10/20,30.0
6/11/20,42.0
6/12/20,40.0
6/13/20,29.0
6/14/20,24.0
6/15/20,10.0
6/16/20,21.0
6/17/20,11.0
6/18/20,31.0
6/19/20,25.0
6/20/20,15.0
6/21/20,27.0
6/22/20,54.0
6/23/20,38.0
6/24/20,17.0
6/25/20,4.0
6/26/20,24.0
6/27/20,64.0
6/28/20,64.0
6/29/20,10.0
6/30/20,62.0
7/1/20,40.0
7/2/20,34.0
7/3/20,81.0
7/4/20,39.0
7/5/20,30.0
7/6/20,12.0
7/7/20,36.0
7/8/20,43.0
7/9/20,10.0
7/10/20,39.0
7/11/20,32.0
7/12/20,0.0
7/13/20,75.0
7/14/20,24.0
7/15/20,58.0
7/16/20,114.0
7/17/20,45.0
7/18/20,75.0
7/19/20,31.0
7/20/20,26.0
7/21/20,36.0
7/22/20,47.0
7/23/20,36.0
7/24/20,30.0
7/25/20,38.0
7/26/20,49.0
7/27/20,21.0
7/28/20,26.0
7/29/20,19.0
7/30/20,45.0
7/31/20,33.0
8/1/20,29.0
8/2/20,67.0
8/3/20,36.0
8/4/20,48.0
8/5/20,58.0
8/6/20,45.0
8/7/20,46.0
8/8/20,55.0
8/9/20,23.0
8/10/20,25.0
8/11/20,37.0
8/12/20,80.0
8/13/20,73.0
8/14/20,63.0
8/15/20,27.0
8/16/20,16.0
8/17/20,24.0
8/18/20,50.0
8/19/20,68.0
8/20/20,47.0
8/21/20,44.0
8/22/20,43.0
8/23/20,54.0
8/24/20,23.0
8/25/20,36.0
8/26/20,62.0
8/27/20,69.0
8/28/20,46.0
8/29/20,33.0
8/30/20,74.0
8/31/20,32.0
9/1/20,86.0
9/2/20,78.0
9/3/20,77.0
9/4/20,75.0
9/5/20,75.0
9/6/20,55.0
9/7/20,28.0
9/8/20,42.0
9/9/20,73.0
9/10/20,84.0
9/11/20,94.0
9/12/20,60.0
9/13/20,102.0
9/14/20,26.0
9/15/20,65.0
9/16/20,74.0
9/17/20,85.0
9/18/20,78.0
9/19/20,45.0
9/20/20,71.0
9/21/20,24.0
9/22/20,56.0
9/23/20,75.0
9/24/20,67.0
9/25/20,149.0
9/26/20,73.0
9/27/20,70.0
9/28/20,46.0
9/29/20,83.0
9/30/20,124.0
10/1/20,102.0
10/2/20,79.0
10/3/20,91.0
10/4/20,64.0
10/5/20,73.0
10/6/20,85.0
10/7/20,106.0
10/8/20,93.0
10/9/20,92.0
10/10/20,104.0
10/11/20,159.0
10/12/20,83.0
10/13/20,99.0
10/14/20,117.0
10/15/20,73.0
10/16/20,82.0
10/17/20,112.0
10/18/20,114.0
10/19/20,48.0
10/20/20,101.0
10/21/20,132.0
10/22/20,89.0
10/23/20,76.0
10/24/20,124.0
10/25/20,74.0
10/26/20,27.0
10/27/20,49.0
10/28/20,76.0
10/29/20,55.0
10/30/20,91.0
10/31/20,99.0
11/1/20,55.0
11/2/20,34.0
11/3/20,62.0
11/4/20,109.0
11/5/20,96.0
11/6/20,75.0
11/7/20,67.0
11/8/20,78.0
11/9/20,50.0
11/10/20,80.0
11/11/20,61.0
11/12/20,134.0
11/13/20,47.0
11/14/20,39.0
11/15/20,42.0
11/16/20,18.0
11/17/20,120.0
11/18/20,40.0
11/19/20,82.0
11/20/20,70.0
11/21/20,82.0
11/22/20,42.0
11/23/20,26.0
11/24/20,98.0
11/25/20,126.0
11/26/20,44.0
11/27/20,56.0
11/28/20,74.0
11/29/20,47.0
11/30/20,14.0
12/1/20,55.0
12/2/20,51.0
12/3/20,71.0
12/4/20,58.0
12/5/20,40.0
12/6/20,27.0
12/7/20,35.0
12/8/20,20.0
12/9/20,74.0
12/10/20,11.0
12/11/20,59.0
12/12/20,40.0
12/13/20,55.0
12/14/20,4.0
12/15/20,34.0
12/16/20,63.0
12/17/20,44.0
12/18/20,24.0
12/19/20,41.0
12/20/20,12.0
12/21/20,21.0
12/22/20,36.0
12/23/20,32.0
12/24/20,20.0
12/25/20,8.0
12/26/20,2.0
12/27/20,16.0
12/28/20,9.0
12/29/20,29.0
12/30/20,41.0
12/31/20,47.0
1/1/21,32.0
1/2/21,11.0
1/3/21,37.0
1/4/21,29.0
1/5/21,34.0
1/6/21,69.0
1/7/21,94.0
1/8/21,91.0
1/9/21,79.0
1/10/21,76.0
1/11/21,41.0
1/12/21,73.0
1/13/21,86.0
1/14/21,72.0
1/15/21,112.0
1/16/21,125.0
1/17/21,92.0
1/18/21,53.0
1/19/21,93.0
1/20/21,85.0
1/21/21,83.0
1/22/21,74.0
1/23/21,33.0
1/24/21,75.0
1/25/21,68.0
1/26/21,62.0
1/27/21,103.0
1/28/21,62.0
1/29/21,113.0
1/30/21,84.0
1/31/21,89.0
2/1/21,28.0
2/2/21,54.0
2/3/21,62.0
2/4/21,76.0
2/5/21,16.0
2/6/21,74.0
2/7/21,43.0
2/8/21,28.0
2/9/21,28.0
2/10/21,64.0
2/11/21,58.0
2/12/21,46.0
2/13/21,53.0
2/14/21,41.0
2/15/21,20.0
2/16/21,24.0
2/17/21,63.0
2/18/21,37.0
2/19/21,63.0
2/20/21,51.0
2/21/21,49.0
2/22/21,24.0
2/23/21,17.0
2/24/21,72.0
2/25/21,40.0
2/26/21,52.0
2/27/21,71.0
2/28/21,76.0
3/1/21,32.0
3/2/21,51.0
3/3/21,75.0
3/4/21,63.0
3/5/21,62.0
3/6/21,41.0
3/7/21,58.0
3/8/21,24.0
3/9/21,20.0
3/10/21,66.0
3/11/21,40.0
3/12/21,54.0
3/13/21,49.0
3/14/21,66.0
3/15/21,19.0
3/16/21,34.0
3/17/21,96.0
3/18/21,48.0
3/19/21,76.0
3/20/21,66.0
3/21/21,51.0
3/22/21,26.0
3/23/21,38.0
3/24/21,106.0
3/25/21,126.0
3/26/21,124.0
3/27/21,107.0
3/28/21,107.0
3/29/21,65.0
3/30/21,89.0
3/31/21,191.0
4/1/21,117.0
4/2/21,130.0
4/3/21,104.0
4/4/21,50.0
4/5/21,68.0
4/6/21,84.0
4/7/21,191.0
4/8/21,208.0
4/9/21,207.0
4/10/21,0.0
4/11/21,376.0
4/12/21,105.0
4/13/21,121.0
4/14/21,294.0
4/15/21,255.0
4/16/21,195.0
4/17/21,0.0
4/18/21,491.0
4/19/21,161.0
4/20/21,154.0
4/21/21,398.0
4/22/21,321.0
4/23/21,284.0
4/24/21,310.0
4/25/21,255.0
4/26/21,237.0
4/27/21,186.0
4/28/21,409.0
4/29/21,373.0
4/30/21,328.0
5/1/21,245.0
5/2/21,241.0
5/3/21,180.0
5/4/21,194.0
5/5/21,417.0
5/6/21,367.0
5/7/21,311.0
5/8/21,274.0
5/9/21,330.0
5/10/21,137.0
5/11/21,131.0
5/12/21,320.0
5/13/21,357.0
5/14/21,286.0
5/15/21,279.0
5/16/21,217.0
5/17/21,113.0
5/18/21,129.0
5/19/21,289.0
5/20/21,199.0
5/21/21,135.0
5/22/21,165.0
5/23/21,136.0
5/24/21,77.0
5/25/21,138.0
5/26/21,214.0
5/27/21,176.0
5/28/21,183.0
5/29/21,151.0
5/30/21,86.0
5/31/21,80.0
6/1/21,84.0
6/2/21,171.0
6/3/21,80.0
6/4/21,133.0
6/5/21,96.0
6/6/21,94.0
6/7/21,50.0
6/8/21,78.0
6/9/21,114.0
6/10/21,94.0
6/11/21,79.0
6/12/21,59.0
6/13/21,0.0
6/14/21,76.0
6/15/21,57.0
6/16/21,79.0
6/17/21,75.0
6/18/21,52.0
6/19/21,54.0
6/20/21,38.0
6/21/21,37.0
6/22/21,72.0
6/23/21,81.0
6/24/21,65.0
6/25/21,56.0
6/26/21,31.0
6/27/21,28.0
6/28/21,27.0
6/29/21,58.0
6/30/21,0.0
7/1/21,137.0
7/2/21,72.0
7/3/21,39.0
7/4/21,30.0
7/5/21,10.0
