,Latvia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,4.0
3/10/20,2.0
3/11/20,2.0
3/12/20,0.0
3/13/20,7.0
3/14/20,9.0
3/15/20,4.0
3/16/20,4.0
3/17/20,15.0
3/18/20,22.0
3/19/20,15.0
3/20/20,25.0
3/21/20,13.0
3/22/20,15.0
3/23/20,41.0
3/24/20,17.0
3/25/20,24.0
3/26/20,23.0
3/27/20,36.0
3/28/20,25.0
3/29/20,42.0
3/30/20,29.0
3/31/20,22.0
4/1/20,48.0
4/2/20,12.0
4/3/20,35.0
4/4/20,16.0
4/5/20,24.0
4/6/20,9.0
4/7/20,6.0
4/8/20,29.0
4/9/20,12.0
4/10/20,23.0
4/11/20,18.0
4/12/20,21.0
4/13/20,4.0
4/14/20,2.0
4/15/20,9.0
4/16/20,9.0
4/17/20,7.0
4/18/20,30.0
4/19/20,15.0
4/20/20,12.0
4/21/20,9.0
4/22/20,13.0
4/23/20,17.0
4/24/20,6.0
4/25/20,20.0
4/26/20,8.0
4/27/20,6.0
4/28/20,18.0
4/29/20,13.0
4/30/20,9.0
5/1/20,12.0
5/2/20,1.0
5/3/20,8.0
5/4/20,17.0
5/5/20,0.0
5/6/20,4.0
5/7/20,9.0
5/8/20,19.0
5/9/20,2.0
5/10/20,9.0
5/11/20,7.0
5/12/20,4.0
5/13/20,1.0
5/14/20,11.0
5/15/20,8.0
5/16/20,27.0
5/17/20,11.0
5/18/20,1.0
5/19/20,3.0
5/20/20,4.0
5/21/20,9.0
5/22/20,5.0
5/23/20,16.0
5/24/20,1.0
5/25/20,2.0
5/26/20,4.0
5/27/20,4.0
5/28/20,4.0
5/29/20,3.0
5/30/20,1.0
5/31/20,1.0
6/1/20,0.0
6/2/20,5.0
6/3/20,8.0
6/4/20,3.0
6/5/20,3.0
6/6/20,1.0
6/7/20,2.0
6/8/20,0.0
6/9/20,1.0
6/10/20,3.0
6/11/20,2.0
6/12/20,2.0
6/13/20,1.0
6/14/20,0.0
6/15/20,0.0
6/16/20,1.0
6/17/20,6.0
6/18/20,4.0
6/19/20,2.0
6/20/20,1.0
6/21/20,0.0
6/22/20,0.0
6/23/20,0.0
6/24/20,0.0
6/25/20,0.0
6/26/20,1.0
6/27/20,3.0
6/28/20,1.0
6/29/20,1.0
6/30/20,1.0
7/1/20,3.0
7/2/20,1.0
7/3/20,0.0
7/4/20,1.0
7/5/20,1.0
7/6/20,3.0
7/7/20,7.0
7/8/20,7.0
7/9/20,13.0
7/10/20,11.0
7/11/20,8.0
7/12/20,0.0
7/13/20,1.0
7/14/20,0.0
7/15/20,4.0
7/16/20,1.0
7/17/20,6.0
7/18/20,4.0
7/19/20,3.0
7/20/20,0.0
7/21/20,1.0
7/22/20,4.0
7/23/20,6.0
7/24/20,2.0
7/25/20,1.0
7/26/20,13.0
7/27/20,0.0
7/28/20,1.0
7/29/20,4.0
7/30/20,4.0
7/31/20,3.0
8/1/20,7.0
8/2/20,5.0
8/3/20,3.0
8/4/20,3.0
8/5/20,8.0
8/6/20,18.0
8/7/20,6.0
8/8/20,7.0
8/9/20,2.0
8/10/20,0.0
8/11/20,3.0
8/12/20,10.0
8/13/20,4.0
8/14/20,1.0
8/15/20,7.0
8/16/20,7.0
8/17/20,1.0
8/18/20,0.0
8/19/20,3.0
8/20/20,1.0
8/21/20,3.0
8/22/20,3.0
8/23/20,4.0
8/24/20,0.0
8/25/20,5.0
8/26/20,18.0
8/27/20,6.0
8/28/20,9.0
8/29/20,6.0
8/30/20,12.0
8/31/20,3.0
9/1/20,8.0
9/2/20,2.0
9/3/20,4.0
9/4/20,6.0
9/5/20,9.0
9/6/20,3.0
9/7/20,1.0
9/8/20,3.0
9/9/20,11.0
9/10/20,5.0
9/11/20,11.0
9/12/20,5.0
9/13/20,10.0
9/14/20,3.0
9/15/20,5.0
9/16/20,4.0
9/17/20,8.0
9/18/20,4.0
9/19/20,17.0
9/20/20,10.0
9/21/20,1.0
9/22/20,34.0
9/23/20,12.0
9/24/20,22.0
9/25/20,31.0
9/26/20,29.0
9/27/20,22.0
9/28/20,21.0
9/29/20,32.0
9/30/20,95.0
10/1/20,44.0
10/2/20,77.0
10/3/20,74.0
10/4/20,67.0
10/5/20,40.0
10/6/20,68.0
10/7/20,67.0
10/8/20,109.0
10/9/20,137.0
10/10/20,89.0
10/11/20,74.0
10/12/20,95.0
10/13/20,75.0
10/14/20,102.0
10/15/20,114.0
10/16/20,148.0
10/17/20,188.0
10/18/20,58.0
10/19/20,44.0
10/20/20,115.0
10/21/20,188.0
10/22/20,161.0
10/23/20,250.0
10/24/20,259.0
10/25/20,211.0
10/26/20,79.0
10/27/20,136.0
10/28/20,251.0
10/29/20,251.0
10/30/20,284.0
10/31/20,215.0
11/1/20,242.0
11/2/20,132.0
11/3/20,171.0
11/4/20,313.0
11/5/20,367.0
11/6/20,357.0
11/7/20,404.0
11/8/20,215.0
11/9/20,92.0
11/10/20,208.0
11/11/20,453.0
11/12/20,533.0
11/13/20,455.0
11/14/20,395.0
11/15/20,316.0
11/16/20,89.0
11/17/20,278.0
11/18/20,442.0
11/19/20,366.0
11/20/20,380.0
11/21/20,642.0
11/22/20,376.0
11/23/20,116.0
11/24/20,457.0
11/25/20,580.0
11/26/20,898.0
11/27/20,637.0
11/28/20,753.0
11/29/20,414.0
11/30/20,100.0
12/1/20,612.0
12/2/20,690.0
12/3/20,930.0
12/4/20,686.0
12/5/20,794.0
12/6/20,526.0
12/7/20,207.0
12/8/20,584.0
12/9/20,712.0
12/10/20,890.0
12/11/20,680.0
12/12/20,660.0
12/13/20,629.0
12/14/20,210.0
12/15/20,587.0
12/16/20,1023.0
12/17/20,1040.0
12/18/20,892.0
12/19/20,870.0
12/20/20,643.0
12/21/20,395.0
12/22/20,1004.0
12/23/20,1145.0
12/24/20,1270.0
12/25/20,666.0
12/26/20,399.0
12/27/20,511.0
12/28/20,508.0
12/29/20,838.0
12/30/20,1367.0
12/31/20,1861.0
1/1/21,711.0
1/2/21,314.0
1/3/21,568.0
1/4/21,621.0
1/5/21,824.0
1/6/21,1229.0
1/7/21,1374.0
1/8/21,1237.0
1/9/21,1170.0
1/10/21,616.0
1/11/21,331.0
1/12/21,878.0
1/13/21,1255.0
1/14/21,950.0
1/15/21,1084.0
1/16/21,1031.0
1/17/21,567.0
1/18/21,244.0
1/19/21,812.0
1/20/21,1088.0
1/21/21,902.0
1/22/21,876.0
1/23/21,910.0
1/24/21,512.0
1/25/21,223.0
1/26/21,693.0
1/27/21,1103.0
1/28/21,965.0
1/29/21,931.0
1/30/21,785.0
1/31/21,533.0
2/1/21,411.0
2/2/21,775.0
2/3/21,1231.0
2/4/21,742.0
2/5/21,876.0
2/6/21,1044.0
2/7/21,480.0
2/8/21,288.0
2/9/21,781.0
2/10/21,990.0
2/11/21,842.0
2/12/21,808.0
2/13/21,773.0
2/14/21,424.0
2/15/21,278.0
2/16/21,713.0
2/17/21,946.0
2/18/21,708.0
2/19/21,689.0
2/20/21,1069.0
2/21/21,410.0
2/22/21,274.0
2/23/21,669.0
2/24/21,983.0
2/25/21,813.0
2/26/21,725.0
2/27/21,827.0
2/28/21,376.0
3/1/21,272.0
3/2/21,645.0
3/3/21,919.0
3/4/21,646.0
3/5/21,746.0
3/6/21,595.0
3/7/21,322.0
3/8/21,194.0
3/9/21,472.0
3/10/21,639.0
3/11/21,638.0
3/12/21,632.0
3/13/21,578.0
3/14/21,297.0
3/15/21,178.0
3/16/21,643.0
3/17/21,818.0
3/18/21,482.0
3/19/21,622.0
3/20/21,625.0
3/21/21,260.0
3/22/21,177.0
3/23/21,508.0
3/24/21,776.0
3/25/21,606.0
3/26/21,638.0
3/27/21,602.0
3/28/21,324.0
3/29/21,167.0
3/30/21,526.0
3/31/21,630.0
4/1/21,638.0
4/2/21,587.0
4/3/21,279.0
4/4/21,238.0
4/5/21,119.0
4/6/21,309.0
4/7/21,643.0
4/8/21,740.0
4/9/21,658.0
4/10/21,666.0
4/11/21,368.0
4/12/21,210.0
4/13/21,537.0
4/14/21,733.0
4/15/21,643.0
4/16/21,612.0
4/17/21,654.0
4/18/21,337.0
4/19/21,202.0
4/20/21,688.0
4/21/21,759.0
4/22/21,578.0
4/23/21,683.0
4/24/21,711.0
4/25/21,361.0
4/26/21,220.0
4/27/21,596.0
4/28/21,967.0
4/29/21,696.0
4/30/21,763.0
5/1/21,812.0
5/2/21,380.0
5/3/21,203.0
5/4/21,425.0
5/5/21,358.0
5/6/21,773.0
5/7/21,1036.0
5/8/21,786.0
5/9/21,632.0
5/10/21,338.0
5/11/21,659.0
5/12/21,729.0
5/13/21,689.0
5/14/21,675.0
5/15/21,544.0
5/16/21,381.0
5/17/21,147.0
5/18/21,563.0
5/19/21,609.0
5/20/21,497.0
5/21/21,477.0
5/22/21,441.0
5/23/21,233.0
5/24/21,134.0
5/25/21,435.0
5/26/21,396.0
5/27/21,348.0
5/28/21,354.0
5/29/21,306.0
5/30/21,180.0
5/31/21,101.0
6/1/21,319.0
6/2/21,348.0
6/3/21,296.0
6/4/21,259.0
6/5/21,256.0
6/6/21,135.0
6/7/21,76.0
6/8/21,256.0
6/9/21,244.0
6/10/21,196.0
6/11/21,178.0
6/12/21,178.0
6/13/21,90.0
6/14/21,74.0
6/15/21,143.0
6/16/21,156.0
6/17/21,141.0
6/18/21,108.0
6/19/21,84.0
6/20/21,74.0
6/21/21,40.0
6/22/21,125.0
6/23/21,102.0
6/24/21,33.0
6/25/21,20.0
6/26/21,39.0
6/27/21,41.0
6/28/21,30.0
6/29/21,89.0
6/30/21,100.0
7/1/21,71.0
7/2/21,40.0
7/3/21,60.0
