,Libya
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,0.0
3/23/20,0.0
3/24/20,1.0
3/25/20,0.0
3/26/20,0.0
3/27/20,0.0
3/28/20,2.0
3/29/20,5.0
3/30/20,0.0
3/31/20,2.0
4/1/20,0.0
4/2/20,1.0
4/3/20,0.0
4/4/20,7.0
4/5/20,0.0
4/6/20,1.0
4/7/20,1.0
4/8/20,1.0
4/9/20,3.0
4/10/20,0.0
4/11/20,0.0
4/12/20,1.0
4/13/20,1.0
4/14/20,9.0
4/15/20,13.0
4/16/20,1.0
4/17/20,0.0
4/18/20,0.0
4/19/20,2.0
4/20/20,0.0
4/21/20,0.0
4/22/20,8.0
4/23/20,1.0
4/24/20,1.0
4/25/20,0.0
4/26/20,0.0
4/27/20,0.0
4/28/20,0.0
4/29/20,0.0
4/30/20,0.0
5/1/20,2.0
5/2/20,0.0
5/3/20,0.0
5/4/20,0.0
5/5/20,0.0
5/6/20,1.0
5/7/20,0.0
5/8/20,0.0
5/9/20,0.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,0.0
5/15/20,0.0
5/16/20,1.0
5/17/20,0.0
5/18/20,0.0
5/19/20,3.0
5/20/20,1.0
5/21/20,2.0
5/22/20,1.0
5/23/20,3.0
5/24/20,0.0
5/25/20,0.0
5/26/20,2.0
5/27/20,22.0
5/28/20,6.0
5/29/20,13.0
5/30/20,12.0
5/31/20,26.0
6/1/20,12.0
6/2/20,14.0
6/3/20,14.0
6/4/20,13.0
6/5/20,30.0
6/6/20,17.0
6/7/20,0.0
6/8/20,76.0
6/9/20,27.0
6/10/20,19.0
6/11/20,15.0
6/12/20,16.0
6/13/20,9.0
6/14/20,36.0
6/15/20,13.0
6/16/20,17.0
6/17/20,16.0
6/18/20,10.0
6/19/20,10.0
6/20/20,24.0
6/21/20,27.0
6/22/20,24.0
6/23/20,44.0
6/24/20,31.0
6/25/20,28.0
6/26/20,15.0
6/27/20,14.0
6/28/20,35.0
6/29/20,40.0
6/30/20,22.0
7/1/20,50.0
7/2/20,17.0
7/3/20,27.0
7/4/20,71.0
7/5/20,57.0
7/6/20,71.0
7/7/20,65.0
7/8/20,86.0
7/9/20,74.0
7/10/20,0.0
7/11/20,47.0
7/12/20,44.0
7/13/20,79.0
7/14/20,51.0
7/15/20,26.0
7/16/20,63.0
7/17/20,52.0
7/18/20,87.0
7/19/20,75.0
7/20/20,114.0
7/21/20,108.0
7/22/20,88.0
7/23/20,138.0
7/24/20,110.0
7/25/20,123.0
7/26/20,122.0
7/27/20,158.0
7/28/20,190.0
7/29/20,205.0
7/30/20,216.0
7/31/20,183.0
8/1/20,70.0
8/2/20,146.0
8/3/20,226.0
8/4/20,161.0
8/5/20,251.0
8/6/20,404.0
8/7/20,200.0
8/8/20,153.0
8/9/20,219.0
8/10/20,478.0
8/11/20,373.0
8/12/20,309.0
8/13/20,439.0
8/14/20,277.0
8/15/20,411.0
8/16/20,434.0
8/17/20,407.0
8/18/20,489.0
8/19/20,395.0
8/20/20,244.0
8/21/20,414.0
8/22/20,316.0
8/23/20,0.0
8/24/20,572.0
8/25/20,272.0
8/26/20,553.0
8/27/20,440.0
8/28/20,355.0
8/29/20,329.0
8/30/20,465.0
8/31/20,543.0
9/1/20,658.0
9/2/20,532.0
9/3/20,617.0
9/4/20,672.0
9/5/20,649.0
9/6/20,655.0
9/7/20,1085.0
9/8/20,749.0
9/9/20,879.0
9/10/20,477.0
9/11/20,969.0
9/12/20,440.0
9/13/20,433.0
9/14/20,734.0
9/15/20,629.0
9/16/20,792.0
9/17/20,886.0
9/18/20,616.0
9/19/20,796.0
9/20/20,715.0
9/21/20,847.0
9/22/20,650.0
9/23/20,651.0
9/24/20,535.0
9/25/20,658.0
9/26/20,538.0
9/27/20,536.0
9/28/20,849.0
9/29/20,801.0
9/30/20,511.0
10/1/20,683.0
10/2/20,509.0
10/3/20,370.0
10/4/20,722.0
10/5/20,628.0
10/6/20,1031.0
10/7/20,1045.0
10/8/20,779.0
10/9/20,1076.0
10/10/20,318.0
10/11/20,1026.0
10/12/20,1109.0
10/13/20,1164.0
10/14/20,836.0
10/15/20,855.0
10/16/20,1169.0
10/17/20,0.0
10/18/20,945.0
10/19/20,1159.0
10/20/20,957.0
10/21/20,719.0
10/22/20,995.0
10/23/20,764.0
10/24/20,990.0
10/25/20,1639.0
10/26/20,1210.0
10/27/20,752.0
10/28/20,899.0
10/29/20,782.0
10/30/20,972.0
10/31/20,467.0
11/1/20,950.0
11/2/20,862.0
11/3/20,781.0
11/4/20,899.0
11/5/20,853.0
11/6/20,1004.0
11/7/20,595.0
11/8/20,1078.0
11/9/20,923.0
11/10/20,970.0
11/11/20,875.0
11/12/20,919.0
11/13/20,824.0
11/14/20,0.0
11/15/20,974.0
11/16/20,722.0
11/17/20,612.0
11/18/20,529.0
11/19/20,541.0
11/20/20,802.0
11/21/20,0.0
11/22/20,1015.0
11/23/20,650.0
11/24/20,707.0
11/25/20,617.0
11/26/20,610.0
11/27/20,866.0
11/28/20,0.0
11/29/20,1157.0
11/30/20,379.0
12/1/20,608.0
12/2/20,670.0
12/3/20,762.0
12/4/20,680.0
12/5/20,0.0
12/6/20,1051.0
12/7/20,517.0
12/8/20,889.0
12/9/20,536.0
12/10/20,661.0
12/11/20,697.0
12/12/20,0.0
12/13/20,899.0
12/14/20,578.0
12/15/20,660.0
12/16/20,560.0
12/17/20,706.0
12/18/20,489.0
12/19/20,0.0
12/20/20,788.0
12/21/20,640.0
12/22/20,506.0
12/23/20,640.0
12/24/20,846.0
12/25/20,461.0
12/26/20,0.0
12/27/20,728.0
12/28/20,532.0
12/29/20,437.0
12/30/20,585.0
12/31/20,342.0
1/1/21,467.0
1/2/21,0.0
1/3/21,670.0
1/4/21,561.0
1/5/21,481.0
1/6/21,424.0
1/7/21,635.0
1/8/21,487.0
1/9/21,0.0
1/10/21,743.0
1/11/21,633.0
1/12/21,652.0
1/13/21,640.0
1/14/21,764.0
1/15/21,583.0
1/16/21,0.0
1/17/21,1071.0
1/18/21,781.0
1/19/21,596.0
1/20/21,659.0
1/21/21,622.0
1/22/21,794.0
1/23/21,0.0
1/24/21,1148.0
1/25/21,741.0
1/26/21,870.0
1/27/21,765.0
1/28/21,715.0
1/29/21,871.0
1/30/21,0.0
1/31/21,981.0
2/1/21,771.0
2/2/21,1032.0
2/3/21,809.0
2/4/21,770.0
2/5/21,881.0
2/6/21,0.0
2/7/21,1132.0
2/8/21,856.0
2/9/21,679.0
2/10/21,467.0
2/11/21,333.0
2/12/21,520.0
2/13/21,0.0
2/14/21,473.0
2/15/21,351.0
2/16/21,331.0
2/17/21,312.0
2/18/21,392.0
2/19/21,585.0
2/20/21,0.0
2/21/21,472.0
2/22/21,415.0
2/23/21,489.0
2/24/21,561.0
2/25/21,571.0
2/26/21,625.0
2/27/21,0.0
2/28/21,880.0
3/1/21,789.0
3/2/21,840.0
3/3/21,618.0
3/4/21,1002.0
3/5/21,895.0
3/6/21,0.0
3/7/21,1158.0
3/8/21,1018.0
3/9/21,1030.0
3/10/21,910.0
3/11/21,1073.0
3/12/21,972.0
3/13/21,0.0
3/14/21,1350.0
3/15/21,1087.0
3/16/21,1041.0
3/17/21,1054.0
3/18/21,1032.0
3/19/21,1134.0
3/20/21,0.0
3/21/21,1264.0
3/22/21,905.0
3/23/21,901.0
3/24/21,909.0
3/25/21,912.0
3/26/21,884.0
3/27/21,0.0
3/28/21,733.0
3/29/21,696.0
3/30/21,706.0
3/31/21,706.0
4/1/21,1023.0
4/2/21,1108.0
4/3/21,0.0
4/4/21,1206.0
4/5/21,1148.0
4/6/21,876.0
4/7/21,969.0
4/8/21,869.0
4/9/21,732.0
4/10/21,0.0
4/11/21,937.0
4/12/21,851.0
4/13/21,828.0
4/14/21,541.0
4/15/21,513.0
4/16/21,573.0
4/17/21,0.0
4/18/21,749.0
4/19/21,584.0
4/20/21,625.0
4/21/21,594.0
4/22/21,533.0
4/23/21,536.0
4/24/21,0.0
4/25/21,534.0
4/26/21,467.0
4/27/21,501.0
4/28/21,447.0
4/29/21,371.0
4/30/21,436.0
5/1/21,0.0
5/2/21,363.0
5/3/21,464.0
5/4/21,337.0
5/5/21,255.0
5/6/21,266.0
5/7/21,504.0
5/8/21,0.0
5/9/21,273.0
5/10/21,256.0
5/11/21,466.0
5/12/21,253.0
5/13/21,234.0
5/14/21,0.0
5/15/21,0.0
5/16/21,231.0
5/17/21,304.0
5/18/21,298.0
5/19/21,338.0
5/20/21,299.0
5/21/21,250.0
5/22/21,0.0
5/23/21,412.0
5/24/21,281.0
5/25/21,340.0
5/26/21,219.0
5/27/21,321.0
5/28/21,343.0
5/29/21,0.0
5/30/21,366.0
5/31/21,595.0
6/1/21,296.0
6/2/21,251.0
6/3/21,244.0
6/4/21,386.0
6/5/21,0.0
6/6/21,328.0
6/7/21,404.0
6/8/21,243.0
6/9/21,229.0
6/10/21,229.0
6/11/21,376.0
6/12/21,0.0
6/13/21,297.0
6/14/21,225.0
6/15/21,271.0
6/16/21,333.0
6/17/21,258.0
6/18/21,280.0
6/19/21,0.0
6/20/21,322.0
6/21/21,290.0
6/22/21,215.0
6/23/21,223.0
6/24/21,184.0
6/25/21,469.0
6/26/21,0.0
6/27/21,341.0
6/28/21,316.0
6/29/21,452.0
6/30/21,236.0
7/1/21,431.0
