,Tunisia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,1.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,3.0
3/11/20,2.0
3/12/20,0.0
3/13/20,9.0
3/14/20,2.0
3/15/20,0.0
3/16/20,2.0
3/17/20,4.0
3/18/20,5.0
3/19/20,10.0
3/20/20,15.0
3/21/20,6.0
3/22/20,15.0
3/23/20,14.0
3/24/20,25.0
3/25/20,59.0
3/26/20,24.0
3/27/20,30.0
3/28/20,51.0
3/29/20,34.0
3/30/20,0.0
3/31/20,82.0
4/1/20,29.0
4/2/20,32.0
4/3/20,40.0
4/4/20,58.0
4/5/20,21.0
4/6/20,22.0
4/7/20,27.0
4/8/20,5.0
4/9/20,15.0
4/10/20,28.0
4/11/20,14.0
4/12/20,22.0
4/13/20,19.0
4/14/20,21.0
4/15/20,33.0
4/16/20,42.0
4/17/20,42.0
4/18/20,0.0
4/19/20,15.0
4/20/20,5.0
4/21/20,0.0
4/22/20,25.0
4/23/20,9.0
4/24/20,4.0
4/25/20,17.0
4/26/20,10.0
4/27/20,18.0
4/28/20,8.0
4/29/20,5.0
4/30/20,14.0
5/1/20,4.0
5/2/20,11.0
5/3/20,4.0
5/4/20,5.0
5/5/20,4.0
5/6/20,3.0
5/7/20,1.0
5/8/20,4.0
5/9/20,2.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,0.0
5/15/20,3.0
5/16/20,2.0
5/17/20,0.0
5/18/20,6.0
5/19/20,1.0
5/20/20,1.0
5/21/20,1.0
5/22/20,2.0
5/23/20,0.0
5/24/20,3.0
5/25/20,0.0
5/26/20,0.0
5/27/20,0.0
5/28/20,17.0
5/29/20,3.0
5/30/20,5.0
5/31/20,1.0
6/1/20,7.0
6/2/20,2.0
6/3/20,1.0
6/4/20,0.0
6/5/20,0.0
6/6/20,0.0
6/7/20,0.0
6/8/20,0.0
6/9/20,0.0
6/10/20,0.0
6/11/20,0.0
6/12/20,6.0
6/13/20,1.0
6/14/20,2.0
6/15/20,14.0
6/16/20,15.0
6/17/20,3.0
6/18/20,4.0
6/19/20,14.0
6/20/20,10.0
6/21/20,1.0
6/22/20,2.0
6/23/20,0.0
6/24/20,1.0
6/25/20,2.0
6/26/20,2.0
6/27/20,4.0
6/28/20,1.0
6/29/20,3.0
6/30/20,2.0
7/1/20,1.0
7/2/20,3.0
7/3/20,3.0
7/4/20,5.0
7/5/20,2.0
7/6/20,11.0
7/7/20,6.0
7/8/20,16.0
7/9/20,10.0
7/10/20,9.0
7/11/20,5.0
7/12/20,18.0
7/13/20,39.0
7/14/20,4.0
7/15/20,13.0
7/16/20,8.0
7/17/20,9.0
7/18/20,12.0
7/19/20,26.0
7/20/20,7.0
7/21/20,8.0
7/22/20,5.0
7/23/20,12.0
7/24/20,19.0
7/25/20,18.0
7/26/20,9.0
7/27/20,3.0
7/28/20,13.0
7/29/20,20.0
7/30/20,26.0
7/31/20,21.0
8/1/20,17.0
8/2/20,9.0
8/3/20,4.0
8/4/20,19.0
8/5/20,17.0
8/6/20,41.0
8/7/20,14.0
8/8/20,22.0
8/9/20,19.0
8/10/20,20.0
8/11/20,21.0
8/12/20,42.0
8/13/20,67.0
8/14/20,56.0
8/15/20,120.0
8/16/20,84.0
8/17/20,78.0
8/18/20,129.0
8/19/20,113.0
8/20/20,116.0
8/21/20,64.0
8/22/20,131.0
8/23/20,80.0
8/24/20,75.0
8/25/20,176.0
8/26/20,137.0
8/27/20,117.0
8/28/20,138.0
8/29/20,111.0
8/30/20,113.0
8/31/20,118.0
9/1/20,160.0
9/2/20,233.0
9/3/20,198.0
9/4/20,148.0
9/5/20,234.0
9/6/20,265.0
9/7/20,83.0
9/8/20,293.0
9/9/20,0.0
9/10/20,465.0
9/11/20,377.0
9/12/20,376.0
9/13/20,0.0
9/14/20,747.0
9/15/20,241.0
9/16/20,477.0
9/17/20,470.0
9/18/20,0.0
9/19/20,540.0
9/20/20,1622.0
9/21/20,528.0
9/22/20,0.0
9/23/20,1219.0
9/24/20,826.0
9/25/20,1087.0
9/26/20,0.0
9/27/20,1722.0
9/28/20,0.0
9/29/20,1291.0
9/30/20,1008.0
10/1/20,0.0
10/2/20,1308.0
10/3/20,1223.0
10/4/20,1286.0
10/5/20,0.0
10/6/20,0.0
10/7/20,2312.0
10/8/20,2357.0
10/9/20,0.0
10/10/20,4360.0
10/11/20,1297.0
10/12/20,0.0
10/13/20,0.0
10/14/20,2234.0
10/15/20,0.0
10/16/20,0.0
10/17/20,5752.0
10/18/20,0.0
10/19/20,2185.0
10/20/20,1723.0
10/21/20,1442.0
10/22/20,0.0
10/23/20,1322.0
10/24/20,1585.0
10/25/20,0.0
10/26/20,3600.0
10/27/20,0.0
10/28/20,1879.0
10/29/20,0.0
10/30/20,3751.0
10/31/20,1784.0
11/1/20,1302.0
11/2/20,791.0
11/3/20,1220.0
11/4/20,1237.0
11/5/20,1971.0
11/6/20,0.0
11/7/20,3209.0
11/8/20,1576.0
11/9/20,450.0
11/10/20,1424.0
11/11/20,1529.0
11/12/20,1584.0
11/13/20,1562.0
11/14/20,1671.0
11/15/20,1065.0
11/16/20,599.0
11/17/20,720.0
11/18/20,2049.0
11/19/20,0.0
11/20/20,2493.0
11/21/20,1206.0
11/22/20,1240.0
11/23/20,485.0
11/24/20,1017.0
11/25/20,1094.0
11/26/20,1168.0
11/27/20,1295.0
11/28/20,1210.0
11/29/20,1271.0
11/30/20,518.0
12/1/20,0.0
12/2/20,2511.0
12/3/20,0.0
12/4/20,2620.0
12/5/20,1091.0
12/6/20,1011.0
12/7/20,327.0
12/8/20,1116.0
12/9/20,1411.0
12/10/20,958.0
12/11/20,1290.0
12/12/20,1289.0
12/13/20,968.0
12/14/20,0.0
12/15/20,1880.0
12/16/20,1306.0
12/17/20,1419.0
12/18/20,1616.0
12/19/20,1569.0
12/20/20,1536.0
12/21/20,1031.0
12/22/20,1605.0
12/23/20,1677.0
12/24/20,1752.0
12/25/20,1826.0
12/26/20,1652.0
12/27/20,1362.0
12/28/20,1612.0
12/29/20,1598.0
12/30/20,2414.0
12/31/20,1924.0
1/1/21,1417.0
1/2/21,1422.0
1/3/21,1565.0
1/4/21,1252.0
1/5/21,2265.0
1/6/21,2820.0
1/7/21,2373.0
1/8/21,2649.0
1/9/21,2611.0
1/10/21,1762.0
1/11/21,3074.0
1/12/21,2586.0
1/13/21,3632.0
1/14/21,2327.0
1/15/21,4170.0
1/16/21,2166.0
1/17/21,2859.0
1/18/21,1795.0
1/19/21,2598.0
1/20/21,3890.0
1/21/21,2511.0
1/22/21,2389.0
1/23/21,2041.0
1/24/21,2059.0
1/25/21,1263.0
1/26/21,2026.0
1/27/21,1661.0
1/28/21,2028.0
1/29/21,1679.0
1/30/21,1438.0
1/31/21,1417.0
2/1/21,1160.0
2/2/21,1367.0
2/3/21,1267.0
2/4/21,1270.0
2/5/21,1163.0
2/6/21,1064.0
2/7/21,910.0
2/8/21,667.0
2/9/21,811.0
2/10/21,1086.0
2/11/21,828.0
2/12/21,977.0
2/13/21,1049.0
2/14/21,740.0
2/15/21,305.0
2/16/21,780.0
2/17/21,787.0
2/18/21,899.0
2/19/21,725.0
2/20/21,903.0
2/21/21,719.0
2/22/21,575.0
2/23/21,844.0
2/24/21,662.0
2/25/21,855.0
2/26/21,666.0
2/27/21,651.0
2/28/21,662.0
3/1/21,392.0
3/2/21,562.0
3/3/21,777.0
3/4/21,635.0
3/5/21,713.0
3/6/21,672.0
3/7/21,676.0
3/8/21,313.0
3/9/21,596.0
3/10/21,755.0
3/11/21,609.0
3/12/21,640.0
3/13/21,640.0
3/14/21,577.0
3/15/21,290.0
3/16/21,549.0
3/17/21,766.0
3/18/21,496.0
3/19/21,841.0
3/20/21,629.0
3/21/21,301.0
3/22/21,217.0
3/23/21,584.0
3/24/21,747.0
3/25/21,783.0
3/26/21,745.0
3/27/21,921.0
3/28/21,862.0
3/29/21,604.0
3/30/21,1002.0
3/31/21,1847.0
4/1/21,1290.0
4/2/21,1623.0
4/3/21,1404.0
4/4/21,1709.0
4/5/21,1133.0
4/6/21,1866.0
4/7/21,1951.0
4/8/21,1833.0
4/9/21,2010.0
4/10/21,1460.0
4/11/21,1564.0
4/12/21,1079.0
4/13/21,1664.0
4/14/21,2123.0
4/15/21,2649.0
4/16/21,2401.0
4/17/21,2199.0
4/18/21,1514.0
4/19/21,1571.0
4/20/21,2169.0
4/21/21,2603.0
4/22/21,2305.0
4/23/21,2205.0
4/24/21,2229.0
4/25/21,1770.0
4/26/21,1285.0
4/27/21,1957.0
4/28/21,1729.0
4/29/21,1902.0
4/30/21,1904.0
5/1/21,1615.0
5/2/21,1009.0
5/3/21,1004.0
5/4/21,1405.0
5/5/21,1448.0
5/6/21,1410.0
5/7/21,1226.0
5/8/21,1276.0
5/9/21,1301.0
5/10/21,1024.0
5/11/21,1161.0
5/12/21,1105.0
5/13/21,720.0
5/14/21,457.0
5/15/21,552.0
5/16/21,740.0
5/17/21,901.0
5/18/21,1055.0
5/19/21,1397.0
5/20/21,1749.0
5/21/21,1159.0
5/22/21,1266.0
5/23/21,1246.0
5/24/21,1069.0
5/25/21,1115.0
5/26/21,1324.0
5/27/21,1397.0
5/28/21,1702.0
5/29/21,1422.0
5/30/21,1314.0
5/31/21,786.0
6/1/21,1512.0
6/2/21,1925.0
6/3/21,1576.0
6/4/21,1816.0
6/5/21,1479.0
6/6/21,1950.0
6/7/21,1018.0
6/8/21,1433.0
6/9/21,2102.0
6/10/21,2373.0
6/11/21,2161.0
6/12/21,2228.0
6/13/21,1861.0
6/14/21,1316.0
6/15/21,1997.0
6/16/21,2091.0
