,Azerbaijan
12/2/20,3942.0
12/3/20,4189.0
12/4/20,4267.0
12/5/20,4323.0
12/6/20,4356.0
12/7/20,3086.0
12/8/20,4387.0
12/9/20,4403.0
12/10/20,4219.0
12/11/20,4381.0
12/12/20,4268.0
12/13/20,4451.0
12/14/20,3112.0
12/15/20,4273.0
12/16/20,4077.0
12/17/20,4124.0
12/18/20,3962.0
12/19/20,3705.0
12/20/20,2961.0
12/21/20,1505.0
12/22/20,2284.0
12/23/20,2334.0
12/24/20,1850.0
12/25/20,1703.0
12/26/20,1428.0
12/27/20,1519.0
12/28/20,772.0
12/29/20,1101.0
12/30/20,1052.0
12/31/20,1064.0
1/1/21,341.0
1/2/21,421.0
1/3/21,803.0
1/4/21,334.0
1/5/21,802.0
1/6/21,799.0
1/7/21,685.0
1/8/21,532.0
1/9/21,633.0
1/10/21,601.0
1/11/21,176.0
1/12/21,519.0
1/13/21,474.0
1/14/21,380.0
1/15/21,349.0
1/16/21,402.0
1/17/21,322.0
1/18/21,118.0
1/19/21,305.0
1/20/21,332.0
1/21/21,218.0
1/22/21,280.0
1/23/21,162.0
1/24/21,287.0
1/25/21,57.0
1/26/21,326.0
1/27/21,226.0
1/28/21,209.0
1/29/21,142.0
1/30/21,131.0
1/31/21,153.0
2/1/21,77.0
2/2/21,159.0
2/3/21,162.0
2/4/21,152.0
2/5/21,138.0
2/6/21,115.0
2/7/21,132.0
2/8/21,44.0
2/9/21,164.0
2/10/21,147.0
2/11/21,140.0
2/12/21,191.0
2/13/21,155.0
2/14/21,128.0
2/15/21,74.0
2/16/21,140.0
2/17/21,154.0
2/18/21,145.0
2/19/21,193.0
2/20/21,144.0
2/21/21,156.0
2/22/21,72.0
2/23/21,223.0
2/24/21,220.0
2/25/21,126.0
2/26/21,219.0
2/27/21,278.0
2/28/21,270.0
3/1/21,125.0
3/2/21,352.0
3/3/21,319.0
3/4/21,314.0
3/5/21,365.0
3/6/21,353.0
3/7/21,403.0
3/8/21,195.0
3/9/21,297.0
3/10/21,515.0
3/11/21,608.0
3/12/21,576.0
3/13/21,733.0
3/14/21,603.0
3/15/21,376.0
3/16/21,980.0
3/17/21,840.0
3/18/21,933.0
3/19/21,879.0
3/20/21,1187.0
3/21/21,814.0
3/22/21,670.0
3/23/21,1333.0
3/24/21,1185.0
3/25/21,1429.0
3/26/21,1759.0
3/27/21,1690.0
3/28/21,1831.0
3/29/21,1129.0
3/30/21,2146.0
3/31/21,2237.0
4/1/21,2248.0
4/2/21,2361.0
4/3/21,1852.0
4/4/21,2561.0
4/5/21,1099.0
4/6/21,2035.0
4/7/21,2595.0
4/8/21,2717.0
4/9/21,2206.0
4/10/21,2192.0
4/11/21,2414.0
4/12/21,1151.0
4/13/21,2457.0
4/14/21,2293.0
4/15/21,2317.0
4/16/21,2163.0
4/17/21,2148.0
4/18/21,2144.0
4/19/21,995.0
4/20/21,2197.0
4/21/21,2075.0
4/22/21,2047.0
4/23/21,1809.0
4/24/21,1676.0
4/25/21,1541.0
4/26/21,806.0
4/27/21,1307.0
4/28/21,1402.0
4/29/21,1392.0
4/30/21,1196.0
5/1/21,1213.0
5/2/21,1058.0
5/3/21,418.0
5/4/21,963.0
5/5/21,1080.0
5/6/21,844.0
5/7/21,722.0
5/8/21,649.0
5/9/21,660.0
5/10/21,371.0
5/11/21,514.0
5/12/21,558.0
5/13/21,509.0
5/14/21,326.0
5/15/21,377.0
5/16/21,472.0
5/17/21,426.0
5/18/21,432.0
5/19/21,339.0
5/20/21,437.0
5/21/21,406.0
5/22/21,352.0
5/23/21,219.0
5/24/21,156.0
5/25/21,284.0
5/26/21,203.0
5/27/21,220.0
5/28/21,242.0
5/29/21,164.0
5/30/21,141.0
5/31/21,92.0
6/1/21,176.0
6/2/21,156.0
6/3/21,128.0
6/4/21,123.0
6/5/21,108.0
6/6/21,68.0
6/7/21,32.0
6/8/21,102.0
6/9/21,68.0
6/10/21,75.0
6/11/21,73.0
6/12/21,61.0
6/13/21,45.0
6/14/21,25.0
6/15/21,68.0
6/16/21,27.0
6/17/21,48.0
6/18/21,60.0
6/19/21,38.0
6/20/21,56.0
6/21/21,28.0
6/22/21,47.0
6/23/21,57.0
6/24/21,51.0
6/25/21,65.0
6/26/21,55.0
6/27/21,40.0
6/28/21,38.0
6/29/21,87.0
6/30/21,86.0
7/1/21,75.0
7/2/21,101.0
7/3/21,95.0
7/4/21,99.0
7/5/21,62.0
7/6/21,78.0
7/7/21,127.0
7/8/21,104.0
7/9/21,174.0
7/10/21,136.0
7/11/21,156.0
7/12/21,69.0
7/13/21,133.0
7/14/21,146.0
7/15/21,199.0
7/16/21,169.0
7/17/21,213.0
7/18/21,255.0
7/19/21,148.0
7/20/21,251.0
7/21/21,225.0
7/22/21,212.0
7/23/21,371.0
7/24/21,412.0
7/25/21,386.0
7/26/21,272.0
7/27/21,468.0
7/28/21,750.0
7/29/21,615.0
7/30/21,668.0
7/31/21,633.0
8/1/21,671.0
8/2/21,431.0
8/3/21,931.0
8/4/21,996.0
8/5/21,1196.0
8/6/21,1242.0
8/7/21,1289.0
8/8/21,1220.0
8/9/21,1101.0
8/10/21,1736.0
8/11/21,2396.0
8/12/21,2674.0
8/13/21,1769.0
8/14/21,3508.0
8/15/21,2993.0
8/16/21,1851.0
8/17/21,3322.0
8/18/21,4129.0
8/19/21,3614.0
8/20/21,3968.0
8/21/21,3551.0
8/22/21,3069.0
8/23/21,2945.0
8/24/21,3583.0
8/25/21,3794.0
8/26/21,3714.0
8/27/21,4203.0
8/28/21,4241.0
8/29/21,4010.0
8/30/21,3107.0
8/31/21,3788.0
9/1/21,3845.0
9/2/21,3759.0
9/3/21,3762.0
9/4/21,3305.0
9/5/21,3310.0
9/6/21,2406.0
9/7/21,2447.0
9/8/21,0.0
9/9/21,0.0
9/10/21,7319.0
9/11/21,0.0
9/12/21,0.0
9/13/21,6205.0
9/14/21,2077.0
9/15/21,0.0
9/16/21,3847.0
9/17/21,0.0
9/18/21,0.0
9/19/21,0.0
9/20/21,6286.0
9/21/21,1594.0
9/22/21,1356.0
9/23/21,1178.0
9/24/21,1128.0
9/25/21,1099.0
9/26/21,1029.0
9/27/21,558.0
9/28/21,0.0
9/29/21,1727.0
9/30/21,774.0
10/1/21,689.0
10/2/21,684.0
10/3/21,712.0
10/4/21,391.0
10/5/21,826.0
10/6/21,1009.0
10/7/21,0.0
10/8/21,1917.0
10/9/21,1017.0
10/10/21,1032.0
10/11/21,611.0
10/12/21,1277.0
10/13/21,1265.0
10/14/21,1448.0
10/15/21,1850.0
10/16/21,0.0
10/17/21,3577.0
10/18/21,1245.0
10/19/21,2102.0
10/20/21,2303.0
10/21/21,2005.0
10/22/21,2112.0
10/23/21,2315.0
10/24/21,2036.0
10/25/21,1477.0
10/26/21,2266.0
10/27/21,2300.0
10/28/21,2420.0
10/29/21,2132.0
10/30/21,2189.0
10/31/21,2261.0
11/1/21,1200.0
11/2/21,2178.0
11/3/21,2256.0
11/4/21,2706.0
11/5/21,2440.0
11/6/21,2500.0
11/7/21,2631.0
11/8/21,1310.0
11/9/21,1855.0
11/10/21,1876.0
11/11/21,1774.0
11/12/21,2334.0
11/13/21,2001.0
11/14/21,2422.0
11/15/21,1072.0
11/16/21,2015.0
11/17/21,2025.0
11/18/21,2124.0
11/19/21,2233.0
11/20/21,1763.0
11/21/21,1889.0
11/22/21,825.0
11/23/21,1904.0
11/24/21,1924.0
11/25/21,1880.0
11/26/21,1997.0
11/27/21,1617.0
11/28/21,1662.0
11/29/21,857.0
11/30/21,1678.0
12/1/21,1795.0
12/2/21,1772.0
12/3/21,1703.0
12/4/21,1406.0
12/5/21,1394.0
12/6/21,585.0
12/7/21,1530.0
12/8/21,1210.0
12/9/21,1315.0
12/10/21,1109.0
12/11/21,1117.0
12/12/21,1226.0
12/13/21,518.0
12/14/21,922.0
12/15/21,1156.0
12/16/21,984.0
12/17/21,755.0
12/18/21,582.0
12/19/21,921.0
12/20/21,577.0
12/21/21,662.0
12/22/21,648.0
12/23/21,854.0
12/24/21,559.0
12/25/21,501.0
12/26/21,511.0
12/27/21,306.0
12/28/21,376.0
12/29/21,530.0
12/30/21,510.0
12/31/21,595.0
1/1/22,364.0
1/2/22,368.0
1/3/22,273.0
1/4/22,413.0
1/5/22,553.0
1/6/22,584.0
1/7/22,547.0
1/8/22,630.0
1/9/22,555.0
1/10/22,329.0
1/11/22,673.0
1/12/22,645.0
1/13/22,674.0
1/14/22,653.0
1/15/22,710.0
1/16/22,808.0
1/17/22,359.0
1/18/22,930.0
1/19/22,1151.0
1/20/22,1186.0
1/21/22,1068.0
1/22/22,1614.0
1/23/22,1697.0
1/24/22,757.0
1/25/22,2468.0
1/26/22,3192.0
1/27/22,3361.0
1/28/22,3564.0
1/29/22,4268.0
1/30/22,4943.0
1/31/22,2186.0
2/1/22,5223.0
2/2/22,6620.0
2/3/22,6113.0
2/4/22,7050.0
2/5/22,7704.0
2/6/22,7474.0
2/7/22,4680.0
2/8/22,7032.0
2/9/22,7779.0
2/10/22,7632.0
2/11/22,6603.0
2/12/22,5948.0
2/13/22,6841.0
2/14/22,2749.0
2/15/22,4687.0
2/16/22,7148.0
2/17/22,4449.0
2/18/22,3817.0
2/19/22,3690.0
2/20/22,2685.0
2/21/22,1038.0
2/22/22,2372.0
2/23/22,1979.0
2/24/22,1755.0
2/25/22,1210.0
2/26/22,0.0
2/27/22,2553.0
2/28/22,369.0
