,Rwanda
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,1.0
3/15/20,0.0
3/16/20,4.0
3/17/20,2.0
3/18/20,1.0
3/19/20,0.0
3/20/20,9.0
3/21/20,0.0
3/22/20,2.0
3/23/20,17.0
3/24/20,4.0
3/25/20,1.0
3/26/20,9.0
3/27/20,4.0
3/28/20,6.0
3/29/20,10.0
3/30/20,0.0
3/31/20,5.0
4/1/20,7.0
4/2/20,2.0
4/3/20,5.0
4/4/20,13.0
4/5/20,2.0
4/6/20,1.0
4/7/20,0.0
4/8/20,5.0
4/9/20,0.0
4/10/20,8.0
4/11/20,2.0
4/12/20,6.0
4/13/20,1.0
4/14/20,7.0
4/15/20,2.0
4/16/20,2.0
4/17/20,5.0
4/18/20,1.0
4/19/20,3.0
4/20/20,0.0
4/21/20,3.0
4/22/20,3.0
4/23/20,1.0
4/24/20,22.0
4/25/20,7.0
4/26/20,8.0
4/27/20,16.0
4/28/20,5.0
4/29/20,13.0
4/30/20,18.0
5/1/20,6.0
5/2/20,6.0
5/3/20,4.0
5/4/20,2.0
5/5/20,0.0
5/6/20,7.0
5/7/20,3.0
5/8/20,2.0
5/9/20,7.0
5/10/20,4.0
5/11/20,1.0
5/12/20,1.0
5/13/20,1.0
5/14/20,0.0
5/15/20,0.0
5/16/20,2.0
5/17/20,3.0
5/18/20,5.0
5/19/20,11.0
5/20/20,6.0
5/21/20,6.0
5/22/20,1.0
5/23/20,4.0
5/24/20,2.0
5/25/20,9.0
5/26/20,3.0
5/27/20,7.0
5/28/20,3.0
5/29/20,6.0
5/30/20,4.0
5/31/20,11.0
6/1/20,7.0
6/2/20,7.0
6/3/20,13.0
6/4/20,13.0
6/5/20,10.0
6/6/20,11.0
6/7/20,8.0
6/8/20,12.0
6/9/20,12.0
6/10/20,13.0
6/11/20,18.0
6/12/20,16.0
6/13/20,31.0
6/14/20,41.0
6/15/20,30.0
6/16/20,24.0
6/17/20,3.0
6/18/20,7.0
6/19/20,15.0
6/20/20,41.0
6/21/20,26.0
6/22/20,59.0
6/23/20,11.0
6/24/20,32.0
6/25/20,20.0
6/26/20,8.0
6/27/20,20.0
6/28/20,22.0
6/29/20,101.0
6/30/20,24.0
7/1/20,17.0
7/2/20,21.0
7/3/20,18.0
7/4/20,11.0
7/5/20,13.0
7/6/20,8.0
7/7/20,59.0
7/8/20,22.0
7/9/20,16.0
7/10/20,42.0
7/11/20,47.0
7/12/20,38.0
7/13/20,41.0
7/14/20,38.0
7/15/20,19.0
7/16/20,38.0
7/17/20,12.0
7/18/20,54.0
7/19/20,43.0
7/20/20,47.0
7/21/20,26.0
7/22/20,34.0
7/23/20,21.0
7/24/20,19.0
7/25/20,23.0
7/26/20,69.0
7/27/20,58.0
7/28/20,47.0
7/29/20,37.0
7/30/20,31.0
7/31/20,28.0
8/1/20,20.0
8/2/20,20.0
8/3/20,30.0
8/4/20,7.0
8/5/20,5.0
8/6/20,7.0
8/7/20,17.0
8/8/20,6.0
8/9/20,6.0
8/10/20,12.0
8/11/20,19.0
8/12/20,18.0
8/13/20,11.0
8/14/20,93.0
8/15/20,59.0
8/16/20,101.0
8/17/20,87.0
8/18/20,37.0
8/19/20,67.0
8/20/20,73.0
8/21/20,63.0
8/22/20,109.0
8/23/20,200.0
8/24/20,217.0
8/25/20,231.0
8/26/20,88.0
8/27/20,47.0
8/28/20,70.0
8/29/20,101.0
8/30/20,177.0
8/31/20,43.0
9/1/20,79.0
9/2/20,76.0
9/3/20,37.0
9/4/20,49.0
9/5/20,45.0
9/6/20,25.0
9/7/20,35.0
9/8/20,30.0
9/9/20,21.0
9/10/20,19.0
9/11/20,55.0
9/12/20,31.0
9/13/20,26.0
9/14/20,11.0
9/15/20,22.0
9/16/20,10.0
9/17/20,19.0
9/18/20,18.0
9/19/20,18.0
9/20/20,22.0
9/21/20,11.0
9/22/20,16.0
9/23/20,41.0
9/24/20,10.0
9/25/20,9.0
9/26/20,13.0
9/27/20,9.0
9/28/20,12.0
9/29/20,4.0
9/30/20,4.0
10/1/20,3.0
10/2/20,4.0
10/3/20,5.0
10/4/20,14.0
10/5/20,1.0
10/6/20,6.0
10/7/20,10.0
10/8/20,2.0
10/9/20,5.0
10/10/20,2.0
10/11/20,4.0
10/12/20,9.0
10/13/20,3.0
10/14/20,32.0
10/15/20,13.0
10/16/20,12.0
10/17/20,6.0
10/18/20,3.0
10/19/20,18.0
10/20/20,4.0
10/21/20,16.0
10/22/20,5.0
10/23/20,35.0
10/24/20,8.0
10/25/20,6.0
10/26/20,7.0
10/27/20,11.0
10/28/20,45.0
10/29/20,2.0
10/30/20,3.0
10/31/20,3.0
11/1/20,9.0
11/2/20,9.0
11/3/20,7.0
11/4/20,12.0
11/5/20,18.0
11/6/20,16.0
11/7/20,5.0
11/8/20,9.0
11/9/20,20.0
11/10/20,20.0
11/11/20,50.0
11/12/20,7.0
11/13/20,43.0
11/14/20,32.0
11/15/20,61.0
11/16/20,36.0
11/17/20,16.0
11/18/20,36.0
11/19/20,29.0
11/20/20,14.0
11/21/20,34.0
11/22/20,45.0
11/23/20,61.0
11/24/20,24.0
11/25/20,29.0
11/26/20,72.0
11/27/20,21.0
11/28/20,19.0
11/29/20,28.0
11/30/20,15.0
12/1/20,14.0
12/2/20,46.0
12/3/20,17.0
12/4/20,32.0
12/5/20,41.0
12/6/20,45.0
12/7/20,62.0
12/8/20,46.0
12/9/20,41.0
12/10/20,71.0
12/11/20,79.0
12/12/20,100.0
12/13/20,131.0
12/14/20,88.0
12/15/20,85.0
12/16/20,122.0
12/17/20,78.0
12/18/20,73.0
12/19/20,127.0
12/20/20,61.0
12/21/20,109.0
12/22/20,109.0
12/23/20,87.0
12/24/20,72.0
12/25/20,73.0
12/26/20,74.0
12/27/20,153.0
12/28/20,51.0
12/29/20,107.0
12/30/20,122.0
12/31/20,133.0
1/1/21,77.0
1/2/21,107.0
1/3/21,109.0
1/4/21,172.0
1/5/21,107.0
1/6/21,103.0
1/7/21,167.0
1/8/21,143.0
1/9/21,93.0
1/10/21,169.0
1/11/21,154.0
1/12/21,166.0
1/13/21,172.0
1/14/21,194.0
1/15/21,257.0
1/16/21,277.0
1/17/21,182.0
1/18/21,227.0
1/19/21,289.0
1/20/21,312.0
1/21/21,310.0
1/22/21,273.0
1/23/21,204.0
1/24/21,328.0
1/25/21,336.0
1/26/21,574.0
1/27/21,281.0
1/28/21,363.0
1/29/21,255.0
1/30/21,334.0
1/31/21,186.0
2/1/21,155.0
2/2/21,229.0
2/3/21,146.0
2/4/21,154.0
2/5/21,198.0
2/6/21,151.0
2/7/21,114.0
2/8/21,170.0
2/9/21,190.0
2/10/21,130.0
2/11/21,127.0
2/12/21,132.0
2/13/21,67.0
2/14/21,76.0
2/15/21,141.0
2/16/21,110.0
2/17/21,122.0
2/18/21,119.0
2/19/21,94.0
2/20/21,59.0
2/21/21,65.0
2/22/21,146.0
2/23/21,126.0
2/24/21,118.0
2/25/21,110.0
2/26/21,136.0
2/27/21,101.0
2/28/21,60.0
3/1/21,136.0
3/2/21,125.0
3/3/21,87.0
3/4/21,136.0
3/5/21,92.0
3/6/21,83.0
3/7/21,42.0
3/8/21,108.0
3/9/21,120.0
3/10/21,67.0
3/11/21,99.0
3/12/21,112.0
3/13/21,86.0
3/14/21,43.0
3/15/21,116.0
3/16/21,110.0
3/17/21,68.0
3/18/21,71.0
3/19/21,130.0
3/20/21,80.0
3/21/21,67.0
3/22/21,68.0
3/23/21,79.0
3/24/21,131.0
3/25/21,104.0
3/26/21,99.0
3/27/21,61.0
3/28/21,49.0
3/29/21,71.0
3/30/21,155.0
3/31/21,138.0
4/1/21,135.0
4/2/21,249.0
4/3/21,76.0
4/4/21,239.0
4/5/21,202.0
4/6/21,178.0
4/7/21,179.0
4/8/21,111.0
4/9/21,108.0
4/10/21,83.0
4/11/21,83.0
4/12/21,109.0
4/13/21,68.0
4/14/21,69.0
4/15/21,72.0
4/16/21,68.0
4/17/21,54.0
4/18/21,22.0
4/19/21,46.0
4/20/21,71.0
4/21/21,107.0
4/22/21,150.0
4/23/21,197.0
4/24/21,76.0
4/25/21,58.0
4/26/21,84.0
4/27/21,137.0
4/28/21,74.0
4/29/21,107.0
4/30/21,121.0
5/1/21,109.0
5/2/21,28.0
5/3/21,58.0
5/4/21,40.0
5/5/21,70.0
5/6/21,65.0
5/7/21,53.0
5/8/21,47.0
5/9/21,66.0
5/10/21,62.0
5/11/21,59.0
5/12/21,73.0
5/13/21,88.0
5/14/21,99.0
5/15/21,66.0
5/16/21,42.0
5/17/21,74.0
5/18/21,129.0
5/19/21,80.0
5/20/21,105.0
5/21/21,72.0
5/22/21,57.0
5/23/21,30.0
5/24/21,42.0
5/25/21,50.0
5/26/21,37.0
5/27/21,26.0
5/28/21,35.0
5/29/21,14.0
5/30/21,26.0
5/31/21,45.0
6/1/21,60.0
6/2/21,41.0
6/3/21,55.0
6/4/21,43.0
6/5/21,49.0
6/6/21,34.0
6/7/21,62.0
6/8/21,127.0
6/9/21,114.0
6/10/21,112.0
6/11/21,202.0
6/12/21,284.0
6/13/21,227.0
6/14/21,241.0
6/15/21,298.0
6/16/21,263.0
6/17/21,422.0
6/18/21,451.0
6/19/21,469.0
6/20/21,296.0
6/21/21,622.0
6/22/21,861.0
6/23/21,964.0
6/24/21,883.0
6/25/21,875.0
6/26/21,868.0
6/27/21,741.0
6/28/21,757.0
6/29/21,814.0
6/30/21,849.0
7/1/21,867.0
7/2/21,884.0
7/3/21,898.0
7/4/21,889.0
7/5/21,811.0
