,Morocco
11/25/20,4979.0
11/26/20,4178.0
11/27/20,4592.0
11/28/20,4412.0
11/29/20,4115.0
11/30/20,2533.0
12/1/20,3508.0
12/2/20,4346.0
12/3/20,4434.0
12/4/20,3996.0
12/5/20,4118.0
12/6/20,2919.0
12/7/20,1531.0
12/8/20,2900.0
12/9/20,4096.0
12/10/20,3345.0
12/11/20,3035.0
12/12/20,3033.0
12/13/20,2012.0
12/14/20,1217.0
12/15/20,2793.0
12/16/20,3351.0
12/17/20,2776.0
12/18/20,2647.0
12/19/20,2833.0
12/20/20,1899.0
12/21/20,877.0
12/22/20,2646.0
12/23/20,2566.0
12/24/20,2650.0
12/25/20,2329.0
12/26/20,2369.0
12/27/20,1517.0
12/28/20,950.0
12/29/20,2160.0
12/30/20,2143.0
12/31/20,1861.0
1/1/21,1777.0
1/2/21,1171.0
1/3/21,1005.0
1/4/21,656.0
1/5/21,1637.0
1/6/21,1642.0
1/7/21,1597.0
1/8/21,1543.0
1/9/21,1416.0
1/10/21,895.0
1/11/21,456.0
1/12/21,801.0
1/13/21,1266.0
1/14/21,1279.0
1/15/21,1291.0
1/16/21,1240.0
1/17/21,806.0
1/18/21,473.0
1/19/21,1246.0
1/20/21,1152.0
1/21/21,1164.0
1/22/21,1138.0
1/23/21,925.0
1/24/21,520.0
1/25/21,337.0
1/26/21,867.0
1/27/21,890.0
1/28/21,756.0
1/29/21,851.0
1/30/21,701.0
1/31/21,466.0
2/1/21,281.0
2/2/21,835.0
2/3/21,774.0
2/4/21,620.0
2/5/21,712.0
2/6/21,587.0
2/7/21,389.0
2/8/21,234.0
2/9/21,536.0
2/10/21,564.0
2/11/21,471.0
2/12/21,496.0
2/13/21,479.0
2/14/21,339.0
2/15/21,121.0
2/16/21,476.0
2/17/21,508.0
2/18/21,477.0
2/19/21,448.0
2/20/21,444.0
2/21/21,207.0
2/22/21,108.0
2/23/21,446.0
2/24/21,419.0
2/25/21,386.0
2/26/21,480.0
2/27/21,416.0
2/28/21,244.0
3/1/21,112.0
3/2/21,393.0
3/3/21,594.0
3/4/21,394.0
3/5/21,420.0
3/6/21,407.0
3/7/21,249.0
3/8/21,102.0
3/9/21,508.0
3/10/21,453.0
3/11/21,464.0
3/12/21,431.0
3/13/21,451.0
3/14/21,305.0
3/15/21,159.0
3/16/21,526.0
3/17/21,466.0
3/18/21,487.0
3/19/21,444.0
3/20/21,444.0
3/21/21,246.0
3/22/21,125.0
3/23/21,569.0
3/24/21,439.0
3/25/21,511.0
3/26/21,514.0
3/27/21,491.0
3/28/21,301.0
3/29/21,97.0
3/30/21,665.0
3/31/21,676.0
4/1/21,579.0
4/2/21,581.0
4/3/21,575.0
4/4/21,365.0
4/5/21,132.0
4/6/21,696.0
4/7/21,663.0
4/8/21,635.0
4/9/21,625.0
4/10/21,740.0
4/11/21,414.0
4/12/21,175.0
4/13/21,684.0
4/14/21,703.0
4/15/21,596.0
4/16/21,587.0
4/17/21,600.0
4/18/21,364.0
4/19/21,138.0
4/20/21,720.0
4/21/21,669.0
4/22/21,600.0
4/23/21,592.0
4/24/21,507.0
4/25/21,326.0
4/26/21,102.0
4/27/21,507.0
4/28/21,493.0
4/29/21,421.0
4/30/21,363.0
5/1/21,313.0
5/2/21,294.0
5/3/21,56.0
5/4/21,373.0
5/5/21,371.0
5/6/21,360.0
5/7/21,298.0
5/8/21,314.0
5/9/21,236.0
5/10/21,58.0
5/11/21,242.0
5/12/21,268.0
5/13/21,238.0
5/14/21,35.0
5/15/21,112.0
5/16/21,127.0
5/17/21,79.0
5/18/21,397.0
5/19/21,338.0
5/20/21,333.0
5/21/21,358.0
5/22/21,363.0
5/23/21,211.0
5/24/21,90.0
5/25/21,310.0
5/26/21,385.0
5/27/21,314.0
5/28/21,336.0
5/29/21,410.0
5/30/21,240.0
5/31/21,108.0
6/1/21,394.0
6/2/21,418.0
6/3/21,395.0
6/4/21,346.0
6/5/21,426.0
6/6/21,231.0
6/7/21,104.0
6/8/21,473.0
6/9/21,386.0
6/10/21,376.0
6/11/21,400.0
6/12/21,455.0
6/13/21,270.0
6/14/21,109.0
6/15/21,476.0
6/16/21,500.0
6/17/21,468.0
6/18/21,481.0
6/19/21,439.0
6/20/21,288.0
6/21/21,86.0
6/22/21,437.0
6/23/21,522.0
6/24/21,484.0
6/25/21,551.0
6/26/21,493.0
6/27/21,452.0
6/28/21,219.0
6/29/21,690.0
6/30/21,776.0
7/1/21,789.0
7/2/21,844.0
7/3/21,951.0
7/4/21,605.0
7/5/21,247.0
7/6/21,1177.0
7/7/21,1279.0
7/8/21,1336.0
7/9/21,1250.0
7/10/21,1566.0
7/11/21,1057.0
7/12/21,657.0
7/13/21,1897.0
7/14/21,2257.0
7/15/21,2571.0
7/16/21,2791.0
7/17/21,2853.0
7/18/21,2144.0
7/19/21,1153.0
7/20/21,3631.0
7/21/21,3940.0
7/22/21,1402.0
7/23/21,1910.0
7/24/21,5494.0
7/25/21,4110.0
7/26/21,2205.0
7/27/21,6971.0
7/28/21,9428.0
7/29/21,8995.0
7/30/21,9128.0
7/31/21,7529.0
8/1/21,6189.0
8/2/21,4206.0
8/3/21,8760.0
8/4/21,10603.0
8/5/21,12039.0
8/6/21,11358.0
8/7/21,10609.0
8/8/21,8990.0
8/9/21,5043.0
8/10/21,9778.0
8/11/21,9153.0
8/12/21,10828.0
8/13/21,10752.0
8/14/21,10240.0
8/15/21,7380.0
8/16/21,3897.0
8/17/21,9041.0
8/18/21,9703.0
8/19/21,9462.0
8/20/21,8216.0
8/21/21,6513.0
8/22/21,4661.0
8/23/21,2996.0
8/24/21,7184.0
8/25/21,8008.0
8/26/21,7357.0
8/27/21,6863.0
8/28/21,6175.0
8/29/21,3841.0
8/30/21,2676.0
8/31/21,4899.0
9/1/21,6020.0
9/2/21,5383.0
9/3/21,4381.0
9/4/21,4310.0
9/5/21,3043.0
9/6/21,1923.0
9/7/21,3524.0
9/8/21,3930.0
9/9/21,3451.0
9/10/21,2668.0
9/11/21,3113.0
9/12/21,1953.0
9/13/21,917.0
9/14/21,2785.0
9/15/21,2642.0
9/16/21,2432.0
9/17/21,2412.0
9/18/21,2291.0
9/19/21,1555.0
9/20/21,693.0
9/21/21,1848.0
9/22/21,1702.0
9/23/21,1583.0
9/24/21,1620.0
9/25/21,1444.0
9/26/21,734.0
9/27/21,394.0
9/28/21,1192.0
9/29/21,1082.0
9/30/21,1098.0
10/1/21,936.0
10/2/21,821.0
10/3/21,504.0
10/4/21,228.0
10/5/21,676.0
10/6/21,727.0
10/7/21,668.0
10/8/21,655.0
10/9/21,515.0
10/10/21,386.0
10/11/21,169.0
10/12/21,566.0
10/13/21,581.0
10/14/21,506.0
10/15/21,437.0
10/16/21,417.0
10/17/21,269.0
10/18/21,148.0
10/19/21,499.0
10/20/21,188.0
10/21/21,255.0
10/22/21,430.0
10/23/21,424.0
10/24/21,201.0
10/25/21,101.0
10/26/21,425.0
10/27/21,398.0
10/28/21,303.0
10/29/21,216.0
10/30/21,240.0
10/31/21,185.0
11/1/21,138.0
11/2/21,260.0
11/3/21,223.0
11/4/21,191.0
11/5/21,182.0
11/6/21,168.0
11/7/21,89.0
11/8/21,55.0
11/9/21,159.0
11/10/21,151.0
11/11/21,141.0
11/12/21,123.0
11/13/21,132.0
11/14/21,69.0
11/15/21,45.0
11/16/21,120.0
11/17/21,148.0
11/18/21,94.0
11/19/21,72.0
11/20/21,125.0
11/21/21,93.0
11/22/21,53.0
11/23/21,157.0
11/24/21,130.0
11/25/21,115.0
11/26/21,154.0
11/27/21,116.0
11/28/21,84.0
11/29/21,53.0
11/30/21,132.0
12/1/21,171.0
12/2/21,135.0
12/3/21,151.0
12/4/21,127.0
12/5/21,90.0
12/6/21,52.0
12/7/21,158.0
12/8/21,145.0
12/9/21,146.0
12/10/21,175.0
12/11/21,113.0
12/12/21,102.0
12/13/21,62.0
12/14/21,219.0
12/15/21,221.0
12/16/21,205.0
12/17/21,209.0
12/18/21,230.0
12/19/21,186.0
12/20/21,102.0
12/21/21,381.0
12/22/21,427.0
12/23/21,475.0
12/24/21,654.0
12/25/21,734.0
12/26/21,532.0
12/27/21,291.0
12/28/21,1184.0
12/29/21,1504.0
12/30/21,1960.0
12/31/21,2034.0
1/1/22,2328.0
1/2/22,1357.0
1/3/22,885.0
1/4/22,4299.0
1/5/22,5618.0
1/6/22,6050.0
1/7/22,6428.0
1/8/22,7064.0
1/9/22,4963.0
1/10/22,2622.0
1/11/22,7336.0
1/12/22,5518.0
1/13/22,8338.0
1/14/22,8501.0
1/15/22,8826.0
1/16/22,5428.0
1/17/22,3177.0
1/18/22,7756.0
1/19/22,9355.0
1/20/22,9061.0
1/21/22,8338.0
1/22/22,7638.0
1/23/22,4435.0
1/24/22,2750.0
1/25/22,6362.0
1/26/22,7002.0
1/27/22,5560.0
1/28/22,4899.0
1/29/22,4154.0
1/30/22,2255.0
1/31/22,1321.0
2/1/22,3080.0
2/2/22,3051.0
2/3/22,2861.0
2/4/22,2266.0
2/5/22,2067.0
2/6/22,1202.0
2/7/22,721.0
2/8/22,1618.0
2/9/22,1499.0
2/10/22,1333.0
2/11/22,1148.0
2/12/22,969.0
2/13/22,634.0
2/14/22,369.0
2/15/22,822.0
2/16/22,645.0
2/17/22,636.0
2/18/22,508.0
2/19/22,524.0
2/20/22,298.0
2/21/22,190.0
2/22/22,427.0
2/23/22,357.0
2/24/22,362.0
2/25/22,259.0
2/26/22,188.0
2/27/22,142.0
2/28/22,83.0
