,Cuba
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,3.0
3/13/20,1.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,1.0
3/18/20,2.0
3/19/20,4.0
3/20/20,5.0
3/21/20,5.0
3/22/20,14.0
3/23/20,5.0
3/24/20,8.0
3/25/20,9.0
3/26/20,10.0
3/27/20,13.0
3/28/20,39.0
3/29/20,20.0
3/30/20,31.0
3/31/20,16.0
4/1/20,26.0
4/2/20,21.0
4/3/20,36.0
4/4/20,19.0
4/5/20,32.0
4/6/20,30.0
4/7/20,46.0
4/8/20,61.0
4/9/20,58.0
4/10/20,49.0
4/11/20,56.0
4/12/20,49.0
4/13/20,57.0
4/14/20,40.0
4/15/20,48.0
4/16/20,48.0
4/17/20,61.0
4/18/20,63.0
4/19/20,49.0
4/20/20,52.0
4/21/20,50.0
4/22/20,52.0
4/23/20,46.0
4/24/20,50.0
4/25/20,52.0
4/26/20,32.0
4/27/20,20.0
4/28/20,48.0
4/29/20,30.0
4/30/20,34.0
5/1/20,36.0
5/2/20,74.0
5/3/20,38.0
5/4/20,19.0
5/5/20,17.0
5/6/20,18.0
5/7/20,26.0
5/8/20,12.0
5/9/20,13.0
5/10/20,12.0
5/11/20,17.0
5/12/20,21.0
5/13/20,6.0
5/14/20,20.0
5/15/20,10.0
5/16/20,22.0
5/17/20,10.0
5/18/20,9.0
5/19/20,6.0
5/20/20,13.0
5/21/20,8.0
5/22/20,8.0
5/23/20,15.0
5/24/20,10.0
5/25/20,6.0
5/26/20,16.0
5/27/20,11.0
5/28/20,9.0
5/29/20,22.0
5/30/20,20.0
5/31/20,20.0
6/1/20,38.0
6/2/20,9.0
6/3/20,15.0
6/4/20,12.0
6/5/20,14.0
6/6/20,40.0
6/7/20,18.0
6/8/20,9.0
6/9/20,5.0
6/10/20,6.0
6/11/20,8.0
6/12/20,14.0
6/13/20,5.0
6/14/20,10.0
6/15/20,14.0
6/16/20,11.0
6/17/20,7.0
6/18/20,15.0
6/19/20,10.0
6/20/20,4.0
6/21/20,3.0
6/22/20,3.0
6/23/20,3.0
6/24/20,1.0
6/25/20,2.0
6/26/20,4.0
6/27/20,5.0
6/28/20,2.0
6/29/20,8.0
6/30/20,1.0
7/1/20,7.0
7/2/20,5.0
7/3/20,8.0
7/4/20,8.0
7/5/20,3.0
7/6/20,8.0
7/7/20,15.0
7/8/20,4.0
7/9/20,4.0
7/10/20,10.0
7/11/20,7.0
7/12/20,6.0
7/13/20,2.0
7/14/20,4.0
7/15/20,6.0
7/16/20,2.0
7/17/20,4.0
7/18/20,1.0
7/19/20,1.0
7/20/20,0.0
7/21/20,3.0
7/22/20,13.0
7/23/20,4.0
7/24/20,3.0
7/25/20,9.0
7/26/20,17.0
7/27/20,37.0
7/28/20,23.0
7/29/20,33.0
7/30/20,9.0
7/31/20,11.0
8/1/20,25.0
8/2/20,13.0
8/3/20,24.0
8/4/20,31.0
8/5/20,25.0
8/6/20,49.0
8/7/20,54.0
8/8/20,59.0
8/9/20,65.0
8/10/20,93.0
8/11/20,47.0
8/12/20,35.0
8/13/20,46.0
8/14/20,55.0
8/15/20,63.0
8/16/20,24.0
8/17/20,48.0
8/18/20,44.0
8/19/20,74.0
8/20/20,83.0
8/21/20,17.0
8/22/20,35.0
8/23/20,65.0
8/24/20,35.0
8/25/20,27.0
8/26/20,15.0
8/27/20,47.0
8/28/20,60.0
8/29/20,59.0
8/30/20,48.0
8/31/20,59.0
9/1/20,33.0
9/2/20,61.0
9/3/20,88.0
9/4/20,52.0
9/5/20,32.0
9/6/20,11.0
9/7/20,43.0
9/8/20,25.0
9/9/20,82.0
9/10/20,92.0
9/11/20,42.0
9/12/20,60.0
9/13/20,31.0
9/14/20,42.0
9/15/20,77.0
9/16/20,73.0
9/17/20,57.0
9/18/20,71.0
9/19/20,51.0
9/20/20,36.0
9/21/20,50.0
9/22/20,81.0
9/23/20,48.0
9/24/20,40.0
9/25/20,40.0
9/26/20,62.0
9/27/20,45.0
9/28/20,26.0
9/29/20,48.0
9/30/20,66.0
10/1/20,73.0
10/2/20,48.0
10/3/20,62.0
10/4/20,29.0
10/5/20,36.0
10/6/20,38.0
10/7/20,15.0
10/8/20,19.0
10/9/20,26.0
10/10/20,5.0
10/11/20,30.0
10/12/20,22.0
10/13/20,17.0
10/14/20,18.0
10/15/20,27.0
10/16/20,56.0
10/17/20,52.0
10/18/20,50.0
10/19/20,38.0
10/20/20,47.0
10/21/20,63.0
10/22/20,53.0
10/23/20,58.0
10/24/20,55.0
10/25/20,32.0
10/26/20,29.0
10/27/20,83.0
10/28/20,49.0
10/29/20,39.0
10/30/20,35.0
10/31/20,86.0
11/1/20,48.0
11/2/20,35.0
11/3/20,65.0
11/4/20,109.0
11/5/20,40.0
11/6/20,44.0
11/7/20,39.0
11/8/20,30.0
11/9/20,52.0
11/10/20,43.0
11/11/20,37.0
11/12/20,58.0
11/13/20,54.0
11/14/20,27.0
11/15/20,22.0
11/16/20,49.0
11/17/20,28.0
11/18/20,37.0
11/19/20,21.0
11/20/20,38.0
11/21/20,35.0
11/22/20,48.0
11/23/20,33.0
11/24/20,71.0
11/25/20,76.0
11/26/20,49.0
11/27/20,35.0
11/28/20,63.0
11/29/20,60.0
11/30/20,51.0
12/1/20,97.0
12/2/20,75.0
12/3/20,75.0
12/4/20,79.0
12/5/20,104.0
12/6/20,68.0
12/7/20,124.0
12/8/20,76.0
12/9/20,124.0
12/10/20,75.0
12/11/20,86.0
12/12/20,87.0
12/13/20,69.0
12/14/20,69.0
12/15/20,96.0
12/16/20,83.0
12/17/20,100.0
12/18/20,122.0
12/19/20,131.0
12/20/20,103.0
12/21/20,115.0
12/22/20,142.0
12/23/20,116.0
12/24/20,217.0
12/25/20,183.0
12/26/20,138.0
12/27/20,167.0
12/28/20,229.0
12/29/20,167.0
12/30/20,86.0
12/31/20,176.0
1/1/21,193.0
1/2/21,169.0
1/3/21,199.0
1/4/21,316.0
1/5/21,224.0
1/6/21,201.0
1/7/21,314.0
1/8/21,344.0
1/9/21,365.0
1/10/21,388.0
1/11/21,431.0
1/12/21,487.0
1/13/21,550.0
1/14/21,505.0
1/15/21,547.0
1/16/21,405.0
1/17/21,650.0
1/18/21,292.0
1/19/21,330.0
1/20/21,349.0
1/21/21,408.0
1/22/21,530.0
1/23/21,567.0
1/24/21,634.0
1/25/21,567.0
1/26/21,786.0
1/27/21,825.0
1/28/21,666.0
1/29/21,659.0
1/30/21,910.0
1/31/21,1012.0
2/1/21,906.0
2/2/21,1044.0
2/3/21,893.0
2/4/21,816.0
2/5/21,845.0
2/6/21,821.0
2/7/21,820.0
2/8/21,653.0
2/9/21,580.0
2/10/21,858.0
2/11/21,850.0
2/12/21,823.0
2/13/21,888.0
2/14/21,806.0
2/15/21,715.0
2/16/21,937.0
2/17/21,824.0
2/18/21,923.0
2/19/21,859.0
2/20/21,937.0
2/21/21,1039.0
2/22/21,838.0
2/23/21,836.0
2/24/21,699.0
2/25/21,670.0
2/26/21,875.0
2/27/21,720.0
2/28/21,618.0
3/1/21,811.0
3/2/21,997.0
3/3/21,914.0
3/4/21,807.0
3/5/21,777.0
3/6/21,750.0
3/7/21,858.0
3/8/21,873.0
3/9/21,1041.0
3/10/21,772.0
3/11/21,778.0
3/12/21,762.0
3/13/21,639.0
3/14/21,914.0
3/15/21,734.0
3/16/21,792.0
3/17/21,727.0
3/18/21,689.0
3/19/21,735.0
3/20/21,813.0
3/21/21,796.0
3/22/21,718.0
3/23/21,774.0
3/24/21,736.0
3/25/21,816.0
3/26/21,832.0
3/27/21,950.0
3/28/21,919.0
3/29/21,701.0
3/30/21,1008.0
3/31/21,1051.0
4/1/21,1013.0
4/2/21,1077.0
4/3/21,1029.0
4/4/21,1162.0
4/5/21,1066.0
4/6/21,1030.0
4/7/21,961.0
4/8/21,914.0
4/9/21,1017.0
4/10/21,1040.0
4/11/21,959.0
4/12/21,854.0
4/13/21,1060.0
4/14/21,959.0
4/15/21,1004.0
4/16/21,1040.0
4/17/21,1026.0
4/18/21,1037.0
4/19/21,1060.0
4/20/21,1183.0
4/21/21,1006.0
4/22/21,1207.0
4/23/21,1241.0
4/24/21,1110.0
4/25/21,1185.0
4/26/21,938.0
4/27/21,1083.0
4/28/21,988.0
4/29/21,1149.0
4/30/21,1046.0
5/1/21,915.0
5/2/21,1071.0
5/3/21,932.0
5/4/21,1019.0
5/5/21,1010.0
5/6/21,1060.0
5/7/21,1162.0
5/8/21,1036.0
5/9/21,1069.0
5/10/21,1116.0
5/11/21,1071.0
5/12/21,1207.0
5/13/21,1186.0
5/14/21,1277.0
5/15/21,1383.0
5/16/21,1233.0
5/17/21,1057.0
5/18/21,1244.0
5/19/21,1339.0
5/20/21,1252.0
5/21/21,1197.0
5/22/21,1289.0
5/23/21,1221.0
5/24/21,1155.0
5/25/21,1291.0
5/26/21,1129.0
5/27/21,1102.0
5/28/21,1169.0
5/29/21,1188.0
5/30/21,1079.0
5/31/21,1100.0
6/1/21,1057.0
6/2/21,1191.0
6/3/21,1053.0
6/4/21,1129.0
6/5/21,1135.0
6/6/21,1087.0
6/7/21,1185.0
6/8/21,1156.0
6/9/21,1161.0
6/10/21,1158.0
6/11/21,1288.0
6/12/21,1372.0
6/13/21,1470.0
6/14/21,1349.0
6/15/21,1537.0
6/16/21,1403.0
6/17/21,1418.0
6/18/21,1481.0
6/19/21,1472.0
6/20/21,1436.0
6/21/21,1561.0
6/22/21,1489.0
6/23/21,2055.0
6/24/21,1880.0
6/25/21,2464.0
6/26/21,2403.0
