,Hungary
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,2.0
3/5/20,0.0
3/6/20,0.0
3/7/20,2.0
3/8/20,3.0
3/9/20,2.0
3/10/20,0.0
3/11/20,4.0
3/12/20,0.0
3/13/20,6.0
3/14/20,11.0
3/15/20,2.0
3/16/20,7.0
3/17/20,11.0
3/18/20,8.0
3/19/20,15.0
3/20/20,12.0
3/21/20,18.0
3/22/20,28.0
3/23/20,36.0
3/24/20,20.0
3/25/20,39.0
3/26/20,35.0
3/27/20,39.0
3/28/20,43.0
3/29/20,65.0
3/30/20,39.0
3/31/20,45.0
4/1/20,33.0
4/2/20,60.0
4/3/20,38.0
4/4/20,55.0
4/5/20,55.0
4/6/20,11.0
4/7/20,73.0
4/8/20,78.0
4/9/20,85.0
4/10/20,210.0
4/11/20,120.0
4/12/20,100.0
4/13/20,48.0
4/14/20,54.0
4/15/20,67.0
4/16/20,73.0
4/17/20,111.0
4/18/20,71.0
4/19/20,82.0
4/20/20,68.0
4/21/20,114.0
4/22/20,70.0
4/23/20,116.0
4/24/20,159.0
4/25/20,0.0
4/26/20,57.0
4/27/20,83.0
4/28/20,66.0
4/29/20,78.0
4/30/20,48.0
5/1/20,88.0
5/2/20,79.0
5/3/20,56.0
5/4/20,37.0
5/5/20,30.0
5/6/20,46.0
5/7/20,39.0
5/8/20,28.0
5/9/20,35.0
5/10/20,50.0
5/11/20,21.0
5/12/20,29.0
5/13/20,28.0
5/14/20,39.0
5/15/20,37.0
5/16/20,56.0
5/17/20,36.0
5/18/20,26.0
5/19/20,21.0
5/20/20,42.0
5/21/20,43.0
5/22/20,37.0
5/23/20,35.0
5/24/20,28.0
5/25/20,15.0
5/26/20,15.0
5/27/20,22.0
5/28/20,23.0
5/29/20,25.0
5/30/20,26.0
5/31/20,9.0
6/1/20,16.0
6/2/20,29.0
6/3/20,10.0
6/4/20,23.0
6/5/20,16.0
6/6/20,20.0
6/7/20,18.0
6/8/20,6.0
6/9/20,3.0
6/10/20,10.0
6/11/20,12.0
6/12/20,14.0
6/13/20,11.0
6/14/20,5.0
6/15/20,7.0
6/16/20,1.0
6/17/20,1.0
6/18/20,1.0
6/19/20,2.0
6/20/20,5.0
6/21/20,8.0
6/22/20,8.0
6/23/20,5.0
6/24/20,7.0
6/25/20,9.0
6/26/20,4.0
6/27/20,11.0
6/28/20,4.0
6/29/20,3.0
6/30/20,10.0
7/1/20,2.0
7/2/20,9.0
7/3/20,6.0
7/4/20,2.0
7/5/20,9.0
7/6/20,6.0
7/7/20,16.0
7/8/20,5.0
7/9/20,10.0
7/10/20,3.0
7/11/20,6.0
7/12/20,5.0
7/13/20,13.0
7/14/20,11.0
7/15/20,5.0
7/16/20,16.0
7/17/20,14.0
7/18/20,22.0
7/19/20,18.0
7/20/20,6.0
7/21/20,8.0
7/22/20,19.0
7/23/20,14.0
7/24/20,18.0
7/25/20,26.0
7/26/20,11.0
7/27/20,13.0
7/28/20,8.0
7/29/20,9.0
7/30/20,19.0
7/31/20,21.0
8/1/20,21.0
8/2/20,9.0
8/3/20,9.0
8/4/20,9.0
8/5/20,11.0
8/6/20,33.0
8/7/20,24.0
8/8/20,32.0
8/9/20,43.0
8/10/20,35.0
8/11/20,15.0
8/12/20,22.0
8/13/20,45.0
8/14/20,40.0
8/15/20,24.0
8/16/20,39.0
8/17/20,30.0
8/18/20,24.0
8/19/20,32.0
8/20/20,44.0
8/21/20,52.0
8/22/20,35.0
8/23/20,22.0
8/24/20,36.0
8/25/20,24.0
8/26/20,73.0
8/27/20,91.0
8/28/20,132.0
8/29/20,158.0
8/30/20,292.0
8/31/20,178.0
9/1/20,118.0
9/2/20,365.0
9/3/20,301.0
9/4/20,459.0
9/5/20,510.0
9/6/20,495.0
9/7/20,576.0
9/8/20,341.0
9/9/20,411.0
9/10/20,476.0
9/11/20,718.0
9/12/20,916.0
9/13/20,484.0
9/14/20,844.0
9/15/20,726.0
9/16/20,581.0
9/17/20,710.0
9/18/20,941.0
9/19/20,809.0
9/20/20,1070.0
9/21/20,876.0
9/22/20,633.0
9/23/20,951.0
9/24/20,750.0
9/25/20,927.0
9/26/20,950.0
9/27/20,937.0
9/28/20,702.0
9/29/20,851.0
9/30/20,894.0
10/1/20,848.0
10/2/20,1322.0
10/3/20,1086.0
10/4/20,858.0
10/5/20,905.0
10/6/20,818.0
10/7/20,816.0
10/8/20,932.0
10/9/20,1176.0
10/10/20,1374.0
10/11/20,1068.0
10/12/20,1173.0
10/13/20,1025.0
10/14/20,920.0
10/15/20,950.0
10/16/20,1293.0
10/17/20,1791.0
10/18/20,1474.0
10/19/20,1478.0
10/20/20,989.0
10/21/20,1423.0
10/22/20,2032.0
10/23/20,2066.0
10/24/20,1820.0
10/25/20,3149.0
10/26/20,2316.0
10/27/20,2079.0
10/28/20,2291.0
10/29/20,2194.0
10/30/20,3286.0
10/31/20,3908.0
11/1/20,3878.0
11/2/20,3581.0
11/3/20,3989.0
11/4/20,4219.0
11/5/20,3928.0
11/6/20,4709.0
11/7/20,5318.0
11/8/20,4673.0
11/9/20,5162.0
11/10/20,4140.0
11/11/20,3945.0
11/12/20,3927.0
11/13/20,5097.0
11/14/20,4836.0
11/15/20,4238.0
11/16/20,6495.0
11/17/20,5203.0
11/18/20,4290.0
11/19/20,4512.0
11/20/20,4440.0
11/21/20,4397.0
11/22/20,4320.0
11/23/20,3334.0
11/24/20,3929.0
11/25/20,3806.0
11/26/20,6360.0
11/27/20,6393.0
11/28/20,6268.0
11/29/20,6819.0
11/30/20,5595.0
12/1/20,3951.0
12/2/20,4136.0
12/3/20,6635.0
12/4/20,6212.0
12/5/20,5525.0
12/6/20,6697.0
12/7/20,3870.0
12/8/20,2219.0
12/9/20,3221.0
12/10/20,5415.0
12/11/20,6197.0
12/12/20,5047.0
12/13/20,4153.0
12/14/20,3470.0
12/15/20,1893.0
12/16/20,2804.0
12/17/20,2982.0
12/18/20,4428.0
12/19/20,4045.0
12/20/20,2967.0
12/21/20,2141.0
12/22/20,1238.0
12/23/20,1894.0
12/24/20,3292.0
12/25/20,2610.0
12/26/20,1198.0
12/27/20,698.0
12/28/20,609.0
12/29/20,902.0
12/30/20,1972.0
12/31/20,2971.0
1/1/21,2764.0
1/2/21,1410.0
1/3/21,1307.0
1/4/21,856.0
1/5/21,870.0
1/6/21,2047.0
1/7/21,3068.0
1/8/21,2907.0
1/9/21,2716.0
1/10/21,1778.0
1/11/21,1419.0
1/12/21,696.0
1/13/21,1358.0
1/14/21,1926.0
1/15/21,1513.0
1/16/21,1438.0
1/17/21,1241.0
1/18/21,875.0
1/19/21,573.0
1/20/21,976.0
1/21/21,1410.0
1/22/21,1311.0
1/23/21,1344.0
1/24/21,1257.0
1/25/21,844.0
1/26/21,459.0
1/27/21,1004.0
1/28/21,1569.0
1/29/21,1459.0
1/30/21,1370.0
1/31/21,1307.0
2/1/21,1124.0
2/2/21,578.0
2/3/21,1048.0
2/4/21,1652.0
2/5/21,1576.0
2/6/21,1561.0
2/7/21,1370.0
2/8/21,1160.0
2/9/21,1079.0
2/10/21,1279.0
2/11/21,1862.0
2/12/21,1860.0
2/13/21,2020.0
2/14/21,1707.0
2/15/21,1337.0
2/16/21,823.0
2/17/21,1548.0
2/18/21,2853.0
2/19/21,3093.0
2/20/21,2995.0
2/21/21,2912.0
2/22/21,2623.0
2/23/21,1628.0
2/24/21,2855.0
2/25/21,4385.0
2/26/21,4668.0
2/27/21,4948.0
2/28/21,4469.0
3/1/21,4326.0
3/2/21,2764.0
3/3/21,4211.0
3/4/21,6278.0
3/5/21,6369.0
3/6/21,7269.0
3/7/21,6201.0
3/8/21,2696.0
3/9/21,6494.0
3/10/21,5653.0
3/11/21,8312.0
3/12/21,9011.0
3/13/21,9444.0
3/14/21,8863.0
3/15/21,7706.0
3/16/21,4926.0
3/17/21,3456.0
3/18/21,6502.0
3/19/21,10759.0
3/20/21,11132.0
3/21/21,10625.0
3/22/21,9046.0
3/23/21,5481.0
3/24/21,7587.0
3/25/21,9637.0
3/26/21,11265.0
3/27/21,10167.0
3/28/21,9082.0
3/29/21,7263.0
3/30/21,4609.0
3/31/21,6700.0
4/1/21,9288.0
4/2/21,9055.0
4/3/21,8637.0
4/4/21,6566.0
4/5/21,3874.0
4/6/21,1890.0
4/7/21,1933.0
4/8/21,4814.0
4/9/21,7325.0
4/10/21,8053.0
4/11/21,6296.0
4/12/21,5077.0
4/13/21,2837.0
4/14/21,3597.0
4/15/21,5307.0
4/16/21,5216.0
4/17/21,4604.0
4/18/21,3706.0
4/19/21,2680.0
4/20/21,1645.0
4/21/21,2527.0
4/22/21,3607.0
4/23/21,3427.0
4/24/21,2796.0
4/25/21,2328.0
4/26/21,1936.0
4/27/21,1253.0
4/28/21,1692.0
4/29/21,2584.0
4/30/21,2365.0
5/1/21,1951.0
5/2/21,1593.0
5/3/21,1219.0
5/4/21,726.0
5/5/21,1130.0
5/6/21,1680.0
5/7/21,1541.0
5/8/21,1376.0
5/9/21,1145.0
5/10/21,677.0
5/11/21,493.0
5/12/21,905.0
5/13/21,1416.0
5/14/21,1190.0
5/15/21,1039.0
5/16/21,718.0
5/17/21,426.0
5/18/21,382.0
5/19/21,633.0
5/20/21,780.0
5/21/21,657.0
5/22/21,647.0
5/23/21,416.0
5/24/21,258.0
5/25/21,164.0
5/26/21,213.0
5/27/21,396.0
5/28/21,448.0
5/29/21,465.0
5/30/21,350.0
5/31/21,156.0
6/1/21,174.0
6/2/21,275.0
6/3/21,315.0
6/4/21,269.0
6/5/21,300.0
6/6/21,137.0
6/7/21,81.0
6/8/21,117.0
6/9/21,179.0
6/10/21,206.0
6/11/21,199.0
6/12/21,0.0
6/13/21,0.0
6/14/21,255.0
6/15/21,57.0
