,Norway
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,0.0
2/28/20,5.0
2/29/20,9.0
3/1/20,4.0
3/2/20,6.0
3/3/20,7.0
3/4/20,24.0
3/5/20,31.0
3/6/20,21.0
3/7/20,39.0
3/8/20,29.0
3/9/20,29.0
3/10/20,195.0
3/11/20,198.0
3/12/20,104.0
3/13/20,294.0
3/14/20,94.0
3/15/20,131.0
3/16/20,112.0
3/17/20,130.0
3/18/20,87.0
3/19/20,196.0
3/20/20,168.0
3/21/20,204.0
3/22/20,267.0
3/23/20,236.0
3/24/20,242.0
3/25/20,221.0
3/26/20,285.0
3/27/20,386.0
3/28/20,260.0
3/29/20,269.0
3/30/20,161.0
3/31/20,196.0
4/1/20,222.0
4/2/20,284.0
4/3/20,223.0
4/4/20,180.0
4/5/20,137.0
4/6/20,178.0
4/7/20,221.0
4/8/20,0.0
4/9/20,125.0
4/10/20,103.0
4/11/20,95.0
4/12/20,116.0
4/13/20,78.0
4/14/20,20.0
4/15/20,117.0
4/16/20,156.0
4/17/20,41.0
4/18/20,99.0
4/19/20,42.0
4/20/20,78.0
4/21/20,35.0
4/22/20,147.0
4/23/20,63.0
4/24/20,62.0
4/25/20,36.0
4/26/20,28.0
4/27/20,72.0
4/28/20,61.0
4/29/20,50.0
4/30/20,28.0
5/1/20,45.0
5/2/20,26.0
5/3/20,38.0
5/4/20,57.0
5/5/20,51.0
5/6/20,41.0
5/7/20,38.0
5/8/20,36.0
5/9/20,29.0
5/10/20,6.0
5/11/20,27.0
5/12/20,25.0
5/13/20,18.0
5/14/20,21.0
5/15/20,23.0
5/16/20,18.0
5/17/20,12.0
5/18/20,8.0
5/19/20,10.0
5/20/20,14.0
5/21/20,28.0
5/22/20,23.0
5/23/20,14.0
5/24/20,6.0
5/25/20,12.0
5/26/20,19.0
5/27/20,18.0
5/28/20,10.0
5/29/20,11.0
5/30/20,15.0
5/31/20,3.0
6/1/20,6.0
6/2/20,9.0
6/3/20,22.0
6/4/20,27.0
6/5/20,18.0
6/6/20,9.0
6/7/20,16.0
6/8/20,14.0
6/9/20,15.0
6/10/20,18.0
6/11/20,14.0
6/12/20,12.0
6/13/20,8.0
6/14/20,3.0
6/15/20,16.0
6/16/20,13.0
6/17/20,32.0
6/18/20,16.0
6/19/20,18.0
6/20/20,16.0
6/21/20,3.0
6/22/20,6.0
6/23/20,21.0
6/24/20,16.0
6/25/20,0.0
6/26/20,44.0
6/27/20,14.0
6/28/20,9.0
6/29/20,7.0
6/30/20,17.0
7/1/20,17.0
7/2/20,6.0
7/3/20,19.0
7/4/20,5.0
7/5/20,4.0
7/6/20,6.0
7/7/20,11.0
7/8/20,3.0
7/9/20,15.0
7/10/20,9.0
7/11/20,3.0
7/12/20,4.0
7/13/20,3.0
7/14/20,17.0
7/15/20,10.0
7/16/20,4.0
7/17/20,10.0
7/18/20,3.0
7/19/20,0.0
7/20/20,6.0
7/21/20,19.0
7/22/20,6.0
7/23/20,26.0
7/24/20,7.0
7/25/20,19.0
7/26/20,6.0
7/27/20,15.0
7/28/20,18.0
7/29/20,22.0
7/30/20,36.0
7/31/20,32.0
8/1/20,13.0
8/2/20,15.0
8/3/20,66.0
8/4/20,28.0
8/5/20,47.0
8/6/20,59.0
8/7/20,83.0
8/8/20,48.0
8/9/20,39.0
8/10/20,46.0
8/11/20,67.0
8/12/20,32.0
8/13/20,68.0
8/14/20,57.0
8/15/20,57.0
8/16/20,40.0
8/17/20,55.0
8/18/20,51.0
8/19/20,51.0
8/20/20,35.0
8/21/20,78.0
8/22/20,24.0
8/23/20,24.0
8/24/20,72.0
8/25/20,59.0
8/26/20,50.0
8/27/20,38.0
8/28/20,40.0
8/29/20,29.0
8/30/20,32.0
8/31/20,139.0
9/1/20,89.0
9/2/20,163.0
9/3/20,86.0
9/4/20,111.0
9/5/20,65.0
9/6/20,92.0
9/7/20,133.0
9/8/20,102.0
9/9/20,123.0
9/10/20,121.0
9/11/20,136.0
9/12/20,76.0
9/13/20,75.0
9/14/20,122.0
9/15/20,117.0
9/16/20,105.0
9/17/20,146.0
9/18/20,125.0
9/19/20,89.0
9/20/20,39.0
9/21/20,108.0
9/22/20,148.0
9/23/20,124.0
9/24/20,129.0
9/25/20,139.0
9/26/20,82.0
9/27/20,71.0
9/28/20,90.0
9/29/20,127.0
9/30/20,112.0
10/1/20,122.0
10/2/20,135.0
10/3/20,78.0
10/4/20,95.0
10/5/20,148.0
10/6/20,179.0
10/7/20,229.0
10/8/20,208.0
10/9/20,167.0
10/10/20,78.0
10/11/20,58.0
10/12/20,115.0
10/13/20,154.0
10/14/20,160.0
10/15/20,184.0
10/16/20,135.0
10/17/20,97.0
10/18/20,88.0
10/19/20,146.0
10/20/20,169.0
10/21/20,192.0
10/22/20,270.0
10/23/20,298.0
10/24/20,217.0
10/25/20,160.0
10/26/20,433.0
10/27/20,324.0
10/28/20,403.0
10/29/20,495.0
10/30/20,498.0
10/31/20,269.0
11/1/20,304.0
11/2/20,704.0
11/3/20,617.0
11/4/20,622.0
11/5/20,651.0
11/6/20,606.0
11/7/20,408.0
11/8/20,489.0
11/9/20,593.0
11/10/20,562.0
11/11/20,624.0
11/12/20,717.0
11/13/20,688.0
11/14/20,518.0
11/15/20,0.0
11/16/20,0.0
11/17/20,1680.0
11/18/20,656.0
11/19/20,671.0
11/20/20,573.0
11/21/20,338.0
11/22/20,413.0
11/23/20,418.0
11/24/20,534.0
11/25/20,551.0
11/26/20,480.0
11/27/20,445.0
11/28/20,353.0
11/29/20,282.0
11/30/20,322.0
12/1/20,441.0
12/2/20,378.0
12/3/20,402.0
12/4/20,430.0
12/5/20,272.0
12/6/20,250.0
12/7/20,380.0
12/8/20,460.0
12/9/20,362.0
12/10/20,498.0
12/11/20,416.0
12/12/20,364.0
12/13/20,200.0
12/14/20,331.0
12/15/20,518.0
12/16/20,460.0
12/17/20,464.0
12/18/20,431.0
12/19/20,375.0
12/20/20,323.0
12/21/20,431.0
12/22/20,596.0
12/23/20,523.0
12/24/20,476.0
12/25/20,317.0
12/26/20,430.0
12/27/20,381.0
12/28/20,526.0
12/29/20,693.0
12/30/20,732.0
12/31/20,557.0
1/1/21,236.0
1/2/21,463.0
1/3/21,450.0
1/4/21,529.0
1/5/21,935.0
1/6/21,787.0
1/7/21,825.0
1/8/21,684.0
1/9/21,443.0
1/10/21,555.0
1/11/21,429.0
1/12/21,712.0
1/13/21,667.0
1/14/21,454.0
1/15/21,466.0
1/16/21,243.0
1/17/21,206.0
1/18/21,383.0
1/19/21,422.0
1/20/21,431.0
1/21/21,372.0
1/22/21,306.0
1/23/21,238.0
1/24/21,279.0
1/25/21,233.0
1/26/21,279.0
1/27/21,367.0
1/28/21,315.0
1/29/21,299.0
1/30/21,218.0
1/31/21,173.0
2/1/21,296.0
2/2/21,291.0
2/3/21,286.0
2/4/21,373.0
2/5/21,271.0
2/6/21,170.0
2/7/21,119.0
2/8/21,346.0
2/9/21,220.0
2/10/21,209.0
2/11/21,264.0
2/12/21,425.0
2/13/21,156.0
2/14/21,109.0
2/15/21,353.0
2/16/21,286.0
2/17/21,358.0
2/18/21,326.0
2/19/21,283.0
2/20/21,208.0
2/21/21,217.0
2/22/21,226.0
2/23/21,390.0
2/24/21,341.0
2/25/21,551.0
2/26/21,524.0
2/27/21,262.0
2/28/21,180.0
3/1/21,729.0
3/2/21,499.0
3/3/21,689.0
3/4/21,570.0
3/5/21,690.0
3/6/21,363.0
3/7/21,396.0
3/8/21,828.0
3/9/21,714.0
3/10/21,685.0
3/11/21,872.0
3/12/21,905.0
3/13/21,854.0
3/14/21,640.0
3/15/21,865.0
3/16/21,1150.0
3/17/21,1064.0
3/18/21,1034.0
3/19/21,989.0
3/20/21,820.0
3/21/21,577.0
3/22/21,1096.0
3/23/21,1085.0
3/24/21,984.0
3/25/21,831.0
3/26/21,1072.0
3/27/21,462.0
3/28/21,681.0
3/29/21,989.0
3/30/21,1069.0
3/31/21,871.0
4/1/21,691.0
4/2/21,640.0
4/3/21,692.0
4/4/21,574.0
4/5/21,573.0
4/6/21,900.0
4/7/21,933.0
4/8/21,878.0
4/9/21,759.0
4/10/21,255.0
4/11/21,647.0
4/12/21,648.0
4/13/21,739.0
4/14/21,599.0
4/15/21,617.0
4/16/21,503.0
4/17/21,417.0
4/18/21,366.0
4/19/21,518.0
4/20/21,314.0
4/21/21,795.0
4/22/21,444.0
4/23/21,480.0
4/24/21,329.0
4/25/21,222.0
4/26/21,550.0
4/27/21,524.0
4/28/21,470.0
4/29/21,385.0
4/30/21,429.0
5/1/21,289.0
5/2/21,210.0
5/3/21,483.0
5/4/21,484.0
5/5/21,469.0
5/6/21,506.0
5/7/21,407.0
5/8/21,316.0
5/9/21,231.0
5/10/21,657.0
5/11/21,473.0
5/12/21,500.0
5/13/21,320.0
5/14/21,425.0
5/15/21,312.0
5/16/21,247.0
5/17/21,201.0
5/18/21,314.0
5/19/21,478.0
5/20/21,505.0
5/21/21,714.0
5/22/21,452.0
5/23/21,451.0
5/24/21,238.0
5/25/21,511.0
5/26/21,499.0
5/27/21,409.0
5/28/21,339.0
5/29/21,245.0
5/30/21,169.0
5/31/21,292.0
6/1/21,460.0
6/2/21,353.0
6/3/21,289.0
6/4/21,303.0
6/5/21,168.0
6/6/21,128.0
6/7/21,249.0
6/8/21,188.0
6/9/21,212.0
6/10/21,210.0
6/11/21,198.0
6/12/21,112.0
6/13/21,60.0
6/14/21,231.0
6/15/21,222.0
6/16/21,180.0
6/17/21,219.0
6/18/21,197.0
6/19/21,130.0
6/20/21,108.0
6/21/21,212.0
6/22/21,221.0
6/23/21,178.0
6/24/21,326.0
6/25/21,72.0
6/26/21,149.0
6/27/21,97.0
6/28/21,156.0
6/29/21,293.0
6/30/21,279.0
7/1/21,193.0
7/2/21,240.0
7/3/21,112.0
7/4/21,88.0
